,MS4A1,LYPD8,TRGC2,EDNRA,TRDC,CD3D,TBX2,KLRD1,XCL2,MZB1,TNFRSF17,TCL1A,CD2,MS4A4A,LGALS4,IGHA2,CD163,CDH19,CLEC10A,PLA2G10,DERL3,IGHD,FCRL4,HDC,IGHV1-24,P2RY13,SPARCL1,KRT1,VPREB3,CD7,CD79A,TM4SF18,AKR1B10,GUCA2B,CSF1R,CD300E,NRXN1,IL17A,XCL1,PLP1,IGLL5,MS4A12,SLC26A3,IFNG,PHGR1,MS4A6A,IGLL1,IGLV5-48,AQP8,KRT81,IGHA1,LMOD1,LILRB2,TIFAB,CA1,FPR3,IGKC,IL22,IGLC2,FABP1,FCER1A,GJA5,KLRB1,KRT86,CLEC9A,GUCA2A,CCL5,CTLA4
B Cell,0.6811954734336314,0.0002996740667933,0.0007446311873105,0.0,0.0008852767142217,0.0089205613807126,0.0006129736662912,0.001439584220613,0.0006589022675673,0.5617216799011161,0.1350446293781195,0.3029384657694408,0.0097080169435924,5.928903648291223e-05,0.0163641333560649,0.3787589704070722,0.0003230798318371,0.0,0.0001649595312871,0.000554211102493,0.2165869429157784,0.1850704763626943,0.0108738773765176,0.0002573287396449,0.008380626346726,0.0011427683952783,0.0074857814117172,0.0,0.3816709686823039,0.0042973153652178,0.832159768955749,0.0002925946825839,0.0013497458341431,0.0010517102447754,0.0,0.0001295163841622,7.905234958715043e-05,0.0010008683766729,0.0001649037375971,1.8676984634334572e-05,0.0563227851912185,0.0014152158810791,0.0042987380111975,0.0068204298234062,0.0013751599098164,0.0003223552170621,0.0017656923961315,0.0010427160993429,0.0002762214276009,0.0,1.0996966036466795,0.0,0.0001329013813712,7.970834333785556e-05,0.002634635395889,0.0,1.6467508535293598,0.0011386920874344,0.4608585690884703,0.0028987936150387,4.29895937955277e-05,0.0002214626770952,0.0059261900421036,0.0,0.0002087802469575,0.0029042045284309,0.0262750887487607,0.0034622101284901
Epithelium,0.0014435426092474,0.0736682405861603,0.0003918510618388,8.519927704611807e-05,0.0004801250373767,0.0043726339249836,0.0003908224283601,0.0012785754113465,0.0003140927799904,0.0113484298533932,0.0019928714098964,0.000196095867304,0.0027426333586891,0.0005226307699568,1.1697238656403406,0.0278765762387352,0.0004597539144692,0.0010120100818639,0.0003552097662774,0.0594932869355553,0.0141641458504699,0.0007782113166208,0.0002604263745926,0.0001049194739828,0.0003446698446322,0.0003893228279422,0.0072594186560611,0.0002731410367474,0.0014840172327828,0.0028888496912567,0.0054615024855572,0.0006736221132219,0.0526750657141821,0.0531646214275775,0.0004424560214345,0.0001711973614768,0.0038296680233935,0.0005334579077061,0.0003719573411885,0.000748479230402,0.001358243111729,0.0625578899028564,0.1428160659464414,0.0018688694489732,0.9944906445530598,0.0017263473565877,0.0009293831483651,0.0,0.0388310048199733,7.273594135387406e-05,0.0137367219897086,0.0003185990733293,0.0004066124828759,5.458587153505179e-05,0.1353746311197134,0.0003996920779745,0.018318875551377,0.0002622447313027,0.0218546896387536,0.4290150239533687,0.0001310778164792,0.0,0.0053477368885969,0.000103340740545,7.036233919720159e-05,0.1833014545302134,0.0074405892510134,0.0011630255885665
Myeloid,0.0038980361334174,0.0008581950152085,0.0020663497050392,5.1859480766862125e-05,0.0008054134351385,0.0039104940966853,0.0003433276312257,0.0005291484552328,0.0001027319315952,0.0260009781407668,0.003174578687639,0.0108741251708892,0.0093854151068815,0.0936029762397382,0.0167513867090846,0.019316167245034,0.0767558658329932,0.0,0.2672765642762613,0.0007518213402846,0.0203555560190121,0.0008030732543117,0.0003062626044532,0.0983976343111539,0.0003571861993958,0.1059337833306628,0.0059180577478142,0.0732923345876733,0.0034053674314559,0.0089749053968689,0.0079747977865489,0.0002645107586812,0.0012173657980194,0.0016236954261651,0.1329635180284843,0.066048981146138,0.0003506913631609,0.0001870946568713,0.000815925124031,0.0004153015251029,0.0013796665352411,0.0014826736395017,0.0051051307632799,0.001793231751318,0.0018008800797724,0.3948377230171541,0.0004164055473675,2.954394058095113e-05,0.003052472661794,0.0,0.0096416743823017,3.0857920717047274e-05,0.0946269207413545,0.0621138230931246,0.0030889377782682,0.1203545219725582,0.0130417520343757,0.0003785775332837,0.0096568603036479,0.0016298288568961,0.1231840901637192,0.0,0.0055601565763996,9.49993506135534e-05,0.1131933517617717,0.0039592193146427,0.0166989250821415,0.0045242526766745
Stroma,0.0011951660037262,0.0011188610632861,0.0004672354726219,0.1000853365412536,0.0004846373413064,0.0025342320074667,0.1534055565464355,0.00213877262023,0.000104477055183,0.0097302807908819,0.0019108791401012,0.0001819404833931,0.0014743875441311,0.0003056296321764,0.0204285306244026,0.0165921004075962,0.0004120858340658,0.0923441148581474,0.0006854996828642,0.0007773855785795,0.0077448635559647,0.0002729972063534,1.7870689112902768e-05,0.0001068188024468,0.0006317903991888,0.0001684199362932,1.1275116705962522,2.333627879026832e-05,0.000863203063623,0.0019182329322105,0.0030872817923229,0.1270071310697518,0.0015310645729311,0.0011803263932699,0.0009553831855141,0.0009277600417717,0.1511178027920837,0.0002632410749915,0.0002867521651062,0.1224736283385173,0.0010887792890937,0.0016550359035523,0.0039658466963863,0.0010073787466294,0.0023198540409617,0.0008615541315117,0.0002932730920816,0.0,0.0012422470625698,0.000107016004719,0.0072168579478486,0.1516644332120535,0.0001922014349328,0.0001891158061493,0.0041296419878113,0.0002370678227219,0.0187062341761229,0.0002976154554784,0.0130091737497206,0.0023238845824176,0.0001311127556455,0.0180259311484133,0.0029139330369102,7.460330735880908e-05,3.527372678389498e-05,0.0034673354963693,0.0064108894428061,0.0008707563359097
T Cell,0.0063719505146609,0.0007795613231284,0.1557888217190902,0.0002486938994824,0.1718728396541071,0.9407774183157964,0.0010669789700731,0.1968954472206944,0.1406581926636333,0.0370963043801712,0.0030514835889635,0.0019675598032664,0.7781055830251392,0.0003670530318037,0.0234828719456853,0.023311451846912,0.0004037728978626,0.0005527842543893,0.000653252191164,0.0009060870350506,0.0101386620467585,0.0014774335048827,0.0016049565366674,0.0006313199337361,0.0004508593563263,0.0003834183012206,0.0072530289995103,0.0003871893726931,0.0030147965382585,0.7196798571732558,0.0155016909649673,0.0006501592681472,0.0016760813542377,0.0013384466268578,0.0002917734789741,0.0001762643170728,0.0001202252567663,0.0863931423580391,0.1459324367505619,0.0003228027368269,0.0016115915871583,0.0020888126494007,0.0054755782925235,0.3089913258091193,0.0022924209160695,0.0017211146836907,0.0008095542065524,0.0,0.0008533879144358,0.0279924957231775,0.0065760655871036,0.0002607172522152,0.0001998905247975,0.0001292514226992,0.0042086077970143,0.0002131308850131,0.0121599831345328,0.0618809373343363,0.0126129824699636,0.0020932829040466,0.0001842679963599,0.0001374047824461,0.7361354471315062,0.0383856656339093,0.0004783941398265,0.0046694958406235,0.8439573143877659,0.1869553088548335
