,KDR,MS4A1,KCNE4,LYPD8,TRGC2,EDNRA,CD1E,GZMB,TRDC,CPA3,IGHM,COL4A4,CD3D,IGLC3,TBX2,KLRD1,XCL2,IGLV6-57,MZB1,TNFRSF17,TCL1A,CD2,IGLV4-60,FCGR2A,TRGC1,MS4A4A,LGALS4,CPVL,IGHA2,CD163,TSPAN1,COL4A1,TXK,CDH19,IGKV5-2,COX4I2,RASGRP1,FGF23,PRKCQ,IGHG3,CD163L1,IGHV4-28,KLRC2,DNAAF1,AICDA,C1QB,FXYD3,CLEC10A,IGSF6,CXCL13,OLR1,ABCB4,PSTPIP1,PLA2G10,MPEG1,DERL3,IGHD,FCRL4,HDC,IGHV1-24,P2RY13,ADAMTS1,IGLV1-51,SPARCL1,KRT1,NKG7,ARL4C,VPREB3,CD7,TYROBP,IGLC7,IL7R,CD79A,CRTAM,TM4SF18,AKR1B10,GUCA2B,AIF1,IGHG4,CSF1R,TNFAIP3,C1QC,LILRB5,MS4A8,CD300E,NRXN1,C5AR1,IGLV3-1,DNASE1L3,CEACAM7,CREM,CNN1,LAG3,IGKV1-12,TCF7,CLEC7A,IL17A,FCER1G,TREM1,SOX18,IGKV1D-43,VSIG4,XCL1,IGKV2-24,PLP1,IGLL5,LYZ,FAM110D,MS4A12,SLC26A3,CD209,IFNG,SH2D6,SLC18A2,PHGR1,MS4A6A,GNLY,IGHG2,PLA2G7,IL2RA,MYOCD,IGLL1,PIGR,IGLV5-48,MMRN2,CSF2,C1QA,AQP8,KRT81,PTPRC,FEV,IGHA1,MS4A7,ADCYAP1,LMOD1,SDS,LILRB2,IL1B,TIFAB,CA1,IGKV2-28,IGKV2D-28,BATF,CFP,FPR3,IGKC,KLRC1,IL22,IGLC2,FABP1,MYCT1,FCER1A,GJA5,AC026202.3,SCML4,MNDA,IGHG1,KLRB1,PCDH17,KRT86,CLEC9A,MMP12,TLR2,GUCA2A,CCL5,CTLA4,SOX17
B Cell,0.0005702895902497,0.6811954734336314,0.0002450694022202,0.0002996740667933,0.0007446311873105,0.0,0.0001614666645394,0.0028753725629708,0.0008852767142217,0.0004094200481792,0.3913442900378635,0.0182486521953542,0.0089205613807126,0.3127801816801003,0.0006129736662912,0.001439584220613,0.0006589022675673,0.0241631195641915,0.5617216799011161,0.1350446293781195,0.3029384657694408,0.0097080169435924,0.0013739045957426,0.0059311577796614,0.0002731505131106,5.928903648291223e-05,0.0163641333560649,0.00084563015132,0.3787589704070722,0.0003230798318371,0.0062701558033881,0.0035320839736073,0.0037419126972249,0.0,0.0021384188574246,0.0005177039216546,0.0364092487109598,0.0016036571670748,0.0013433811045293,0.2808285408121267,0.0007173154719875,0.0029950317723903,0.0001638470423552,0.0059309560292316,0.0401506807637963,0.0005268026348162,0.0008972689428941,0.0001649595312871,0.0023261771333072,0.0019606720872925,0.0008958588657653,0.0205630032597804,0.0143476785100077,0.000554211102493,0.030191969404314,0.2165869429157784,0.1850704763626943,0.0108738773765176,0.0002573287396449,0.008380626346726,0.0011427683952783,0.0019324135226718,0.0115199498400178,0.0074857814117172,0.0,0.0058847825063202,0.1143623410287028,0.3816709686823039,0.0042973153652178,0.0054350407975503,0.023842182941921,0.0063858233340839,0.832159768955749,0.0001845957264021,0.0002925946825839,0.0013497458341431,0.0010517102447754,0.011724793420532,0.1276835694702756,0.0,0.2186909948520912,0.0009446751830626,0.0003531023255111,0.0009287676064998,0.0001295163841622,7.905234958715043e-05,0.0007518080726691,0.0221209424825143,0.0154265906789128,0.0027159353760248,0.2802103811011263,0.0001030351144984,0.0032546258818487,0.0006800987749362,0.041914179750566,0.0004812067419654,0.0010008683766729,0.0040565612957766,0.0006676363965268,0.0013482928033221,0.001534716342925,0.0004046702654307,0.0001649037375971,0.0037020244958745,1.8676984634334572e-05,0.0563227851912185,0.0038645050278534,0.0007035359814748,0.0014152158810791,0.0042987380111975,0.0,0.0068204298234062,0.0007768104437994,0.0021450867195936,0.0013751599098164,0.0003223552170621,0.0036784328655871,0.0781069899589073,0.0,0.0089662929006491,0.0,0.0017656923961315,0.0086830648597515,0.0010427160993429,0.0005421360190738,0.0006208770383813,0.0008151009142506,0.0002762214276009,0.0,0.4477556992025732,6.533856154489318e-05,1.0996966036466795,0.0286932806433188,5.702119953058834e-06,0.0,0.0002370198499176,0.0001329013813712,0.0023051892976907,7.970834333785556e-05,0.002634635395889,8.839750809565565e-05,0.0023116657025836,0.0333985945213957,0.0012452057366298,0.0,1.6467508535293598,0.0,0.0011386920874344,0.4608585690884703,0.0028987936150387,0.0005469173937886,4.29895937955277e-05,0.0002214626770952,0.0017363934948447,0.0091944041341048,0.0170136519034155,0.2809012741687726,0.0059261900421036,8.385619075983388e-05,0.0,0.0002087802469575,0.0005376301214197,0.0007069145255364,0.0029042045284309,0.0262750887487607,0.0034622101284901,0.0001337331081123
Epithelium,0.001089038365382,0.0014435426092474,0.0016029065267611,0.0736682405861603,0.0003918510618388,8.519927704611807e-05,1.911296876494058e-05,0.0004292910370787,0.0004801250373767,0.0004058154059076,0.0259144963365893,0.0023477748055008,0.0043726339249836,0.0292395439444312,0.0003908224283601,0.0012785754113465,0.0003140927799904,0.0003553842871619,0.0113484298533932,0.0019928714098964,0.000196095867304,0.0027426333586891,4.890090720072216e-05,0.005496020766592,0.0003996201433159,0.0005226307699568,1.1697238656403406,0.0031386113435204,0.0278765762387352,0.0004597539144692,0.2727220019448265,0.0049168553127252,0.0018116060384719,0.0010120100818639,0.0,4.406139380147569e-06,0.0040778350912448,0.0007931357155168,0.0040612751973209,0.0072960982769897,0.0004561130378335,3.411973004612884e-05,0.0010065012868856,0.0010536136998268,0.0002242762469305,0.0011333940395575,0.1225256284874705,0.0003552097662774,0.0012978658374356,0.000196328390123,0.0002004579374737,0.0012205946227939,0.0095345428520237,0.0594932869355553,0.0010640249715168,0.0141641458504699,0.0007782113166208,0.0002604263745926,0.0001049194739828,0.0003446698446322,0.0003893228279422,0.0034980045618491,0.000579995784146,0.0072594186560611,0.0002731410367474,0.0017220840866932,0.0151608378181164,0.0014840172327828,0.0028888496912567,0.0023893811002346,0.0036733968726414,0.0087146036307729,0.0054615024855572,7.599700120428156e-05,0.0006736221132219,0.0526750657141821,0.0531646214275775,0.0079511351470495,0.0067830781257207,0.0004424560214345,0.1197386975940904,0.0015600164597961,0.0,0.1234120521215524,0.0001711973614768,0.0038296680233935,0.0112967129140653,0.0016131051692996,0.0016722383009265,0.0996468683395845,0.0346730786215137,0.0005733823924384,0.0107006536052535,0.0,0.0374554411056249,0.000417889514479,0.0005334579077061,0.0026074269925623,0.0002372005491184,0.0025874551610722,3.6038644585230064e-05,0.000276102221637,0.0003719573411885,7.936029183219253e-05,0.000748479230402,0.001358243111729,0.1494198386663688,0.0003563911403831,0.0625578899028564,0.1428160659464414,0.0004315835049562,0.0018688694489732,0.3030567982064717,0.0015659423659672,0.9944906445530598,0.0017263473565877,0.0014480882940326,0.0041987511692915,0.0005184888165008,0.0004056560969356,0.0014807848094054,0.0009293831483651,0.9434006615074816,0.0,0.001378128184555,0.0003454518916691,0.0027662476083326,0.0388310048199733,7.273594135387406e-05,0.0134067827836477,0.0932659981406479,0.0137367219897086,0.0007323114029289,0.0005111050208182,0.0003185990733293,0.0002249637510908,0.0004066124828759,0.0368086141889997,5.458587153505179e-05,0.1353746311197134,0.0,0.00017466975985,0.0014339147382779,0.0074990824537521,0.0003996920779745,0.018318875551377,0.0007263578909786,0.0002622447313027,0.0218546896387536,0.4290150239533687,0.0002800002960184,0.0001310778164792,0.0,0.0015862350672836,0.0050198826106118,0.000539684180506,0.0077851305156626,0.0053477368885969,0.0004992642252466,0.000103340740545,7.036233919720159e-05,0.0004889018835765,0.0015297406291198,0.1833014545302134,0.0074405892510134,0.0011630255885665,0.0003716231154435
Myeloid,0.0007344355604586,0.0038980361334174,6.035763199825694e-05,0.0008581950152085,0.0020663497050392,5.1859480766862125e-05,0.0504382722152772,0.0598308290260884,0.0008054134351385,0.2652387255005479,0.017991409991902,0.0007670657529552,0.0039104940966853,0.0121147674206529,0.0003433276312257,0.0005291484552328,0.0001027319315952,0.0008450678751718,0.0260009781407668,0.003174578687639,0.0108741251708892,0.0093854151068815,0.0001686854097296,0.1571525552503923,0.0071497215711355,0.0936029762397382,0.0167513867090846,0.539834456418661,0.019316167245034,0.0767558658329932,0.0070094056946529,0.0017868751862991,0.0030217729596851,0.0,0.0,0.0005599334967968,0.0021456196967524,0.0002766987164801,0.0016264201516116,0.0042164458076504,0.038712265554757,0.0001616824164499,0.000297063589272,0.0073041344084147,0.0002442508098408,0.4463571871924793,0.0012555579668178,0.2672765642762613,0.2591485335924983,0.0016924102087625,0.0699476149165865,0.0038298098639855,0.0381904734886478,0.0007518213402846,0.3490639850462056,0.0203555560190121,0.0008030732543117,0.0003062626044532,0.0983976343111539,0.0003571861993958,0.1059337833306628,0.0012749228457138,8.509622609436561e-05,0.0059180577478142,0.0732923345876733,0.0289600694133964,0.3464153147609269,0.0034053674314559,0.0089749053968689,0.917628164380817,0.0030632112247805,0.0993167327941062,0.0079747977865489,0.0136243898361263,0.0002645107586812,0.0012173657980194,0.0016236954261651,0.957840327297076,0.0073837941708869,0.1329635180284843,0.439707683993369,0.4219334228396458,0.0296490421706289,0.0011228756399134,0.066048981146138,0.0003506913631609,0.1235820163040913,0.0006463263148202,0.5428217556127439,0.0022881925941808,0.220309925221073,0.0005919101764269,0.028486835129083,0.0,0.0179445002760708,0.2007857862715246,0.0001870946568713,0.8489124652454431,0.0322586871342255,0.0009688066919278,0.0,0.0894674711027925,0.000815925124031,0.0002761439064315,0.0004153015251029,0.0013796665352411,1.2295717262853303,0.0001485718666894,0.0014826736395017,0.0051051307632799,0.0590230782627038,0.001793231751318,0.0008118463380374,0.0947748183621708,0.0018008800797724,0.3948377230171541,0.001913151107856,0.0038770222256732,0.1221385874916015,0.0281508719995714,7.164080656184288e-05,0.0004164055473675,0.0081019417306568,2.954394058095113e-05,0.000488293839185,0.0007122026004001,0.4741113452054538,0.003052472661794,0.0,0.4092807019386061,0.0001374929254811,0.0096416743823017,0.2613726862118902,0.0238247971521216,3.0857920717047274e-05,0.0800174169514224,0.0946269207413545,0.7919438425150204,0.0621138230931246,0.0030889377782682,0.0,0.00013861869862,0.0426217463852375,0.1358305884333615,0.1203545219725582,0.0130417520343757,5.836243443089881e-05,0.0003785775332837,0.0096568603036479,0.0016298288568961,0.000457264468899,0.1231840901637192,0.0,0.0015354193302771,0.000373525186284,0.2642070958855998,0.006307443413188,0.0055601565763996,0.0011472413609984,9.49993506135534e-05,0.1131933517617717,0.1303446805703941,0.0434350479635688,0.0039592193146427,0.0166989250821415,0.0045242526766745,0.0002110216514548
Stroma,0.1245412482820077,0.0011951660037262,0.0908094113783462,0.0011188610632861,0.0004672354726219,0.1000853365412536,0.0002735161227103,0.0006997987305702,0.0004846373413064,0.0002641073911245,0.0124639492018668,0.0029457857206635,0.0025342320074667,0.0128459865870284,0.1534055565464355,0.00213877262023,0.000104477055183,0.0003694827257694,0.0097302807908819,0.0019108791401012,0.0001819404833931,0.0014743875441311,5.692809005841171e-05,0.0133717932230394,0.0003584466426428,0.0003056296321764,0.0204285306244026,0.0062370324981964,0.0165921004075962,0.0004120858340658,0.0066383502524257,0.6157999861644821,0.0003213533038014,0.0923441148581474,6.968238123643924e-05,0.1309954554674862,0.0013805336759618,0.0006725312964795,0.0006198428892785,0.0042029104368275,0.0066676131312328,0.0001708061543224,0.000223078289737,0.0011120666287126,5.513601572665282e-05,0.0014999055916811,0.0049318590987266,0.0006854996828642,0.0018384298587542,0.0046377521138819,0.0001617818937731,0.0076239341921205,0.0010829441939252,0.0007773855785795,0.0007263952796956,0.0077448635559647,0.0002729972063534,1.7870689112902768e-05,0.0001068188024468,0.0006317903991888,0.0001684199362932,0.2952924288539174,0.0002945768300246,1.1275116705962522,2.333627879026832e-05,0.0012342416280926,0.0414862142152997,0.000863203063623,0.0019182329322105,0.0086414785774228,0.0023569774603442,0.027146439142205,0.0030872817923229,0.0002964219479294,0.1270071310697518,0.0015310645729311,0.0011803263932699,0.0033346229308651,0.0062873981565026,0.0009553831855141,0.154491874726648,0.0015553457856155,0.0001513151232715,0.0004321545534403,0.0009277600417717,0.1511178027920837,0.0029428613828861,0.00122897928183,0.0081615272288581,0.0031292480443122,0.0726579555773497,0.1068926476908976,0.0135764461936891,0.0,0.0271890119631395,0.0094569832695515,0.0002632410749915,0.0034027580426123,0.0011796261751955,0.2696695904687811,3.5678034622581514e-05,0.0001979582209528,0.0002867521651062,0.0001177884205964,0.1224736283385173,0.0010887792890937,0.0023764831103809,0.0637910579533274,0.0016550359035523,0.0039658466963863,0.0001226177017718,0.0010073787466294,0.0002993471806109,0.0001070477374878,0.0023198540409617,0.0008615541315117,0.0030808535048322,0.0029845854027026,0.0006190399386897,0.0005695819782798,0.0751146587670968,0.0002932730920816,0.0098646188005006,0.0,0.12421979561597,0.001595742886666,0.0011580752407916,0.0012422470625698,0.000107016004719,0.0034583289375133,0.0002256071237629,0.0072168579478486,0.0016446774409114,3.922482499448307e-06,0.1516644332120535,0.0003160249063829,0.0001922014349328,0.0053173855218295,0.0001891158061493,0.0041296419878113,0.0,0.0,0.008288381349677,0.0066316986172899,0.0002370678227219,0.0187062341761229,4.127919040868512e-05,0.0002976154554784,0.0130091737497206,0.0023238845824176,0.0802105049059288,0.0001311127556455,0.0180259311484133,0.0003949022104901,0.0003030938453784,0.0033437007274005,0.0061414106898718,0.0029139330369102,0.1544019265325704,7.460330735880908e-05,3.527372678389498e-05,0.0007856278817396,0.0003279867340402,0.0034673354963693,0.0064108894428061,0.0008707563359097,0.0576680246620084
T Cell,0.0006243379789941,0.0063719505146609,0.0003882818862522,0.0007795613231284,0.1557888217190902,0.0002486938994824,4.737311127197728e-05,0.1849216047135342,0.1718728396541071,0.0005636869835731,0.0252477002009539,0.005591658532998,0.9407774183157964,0.0163652686506364,0.0010669789700731,0.1968954472206944,0.1406581926636333,0.0008693586200488,0.0370963043801712,0.0030514835889635,0.0019675598032664,0.7781055830251392,2.741414188375837e-05,0.0012658404929289,0.0711490037195911,0.0003670530318037,0.0234828719456853,0.0009362412403805,0.023311451846912,0.0004037728978626,0.0062963956371762,0.0044096161045946,0.1087647312781807,0.0005527842543893,0.0001109679946697,0.0003813142230826,0.1852128752530525,0.0010998788781198,0.0768331767634826,0.006167201381226,0.0001463184771816,0.000143984334633,0.0684395389851545,0.0004892896577634,0.0007956471574152,0.0018917898286821,0.0013589200965278,0.000653252191164,0.0036903661817295,0.0396520707530498,0.0001591204645101,0.0005980100200417,0.1320966585450335,0.0009060870350506,0.0009956861921888,0.0101386620467585,0.0014774335048827,0.0016049565366674,0.0006313199337361,0.0004508593563263,0.0003834183012206,0.0035861472729153,0.0009346797440332,0.0072530289995103,0.0003871893726931,0.4440365271575391,0.5836108702932196,0.0030147965382585,0.7196798571732558,0.1277728258026381,0.0032987504484577,0.9213961337917728,0.0155016909649673,0.0756158836829514,0.0006501592681472,0.0016760813542377,0.0013384466268578,0.0356679482557666,0.007631771665656,0.0002917734789741,1.4217946500461671,0.0024108987877412,0.0001323535965817,0.0011406199055356,0.0001762643170728,0.0001202252567663,0.0008725048166233,0.0021262835977447,0.0014414282280101,0.003712934815852,0.9427877986021912,0.0001404287341902,0.1763000602541248,0.0,0.2516315487417911,0.0116691295567669,0.0863931423580391,0.1286102748134367,3.451657608336104e-05,0.0035863447907056,0.0001267525790923,0.0005443548846019,0.1459324367505619,8.074900250126471e-05,0.0003228027368269,0.0016115915871583,0.003688594420893,0.0003817392906724,0.0020888126494007,0.0054755782925235,0.0003337654528543,0.3089913258091193,0.0009707005785119,0.0005729848304095,0.0022924209160695,0.0017211146836907,0.3561872047407132,0.004955308888195,0.0003320367987187,0.0733848705155553,6.483951944687178e-05,0.0008095542065524,0.0125972581507649,0.0,0.0006656182779543,0.0507652222319157,0.0017174814063859,0.0008533879144358,0.0279924957231775,1.0585001768676732,0.0002205842365516,0.0065760655871036,0.0009077171581404,4.879712352873813e-05,0.0002607172522152,0.0003263224280345,0.0001998905247975,0.0032418381896601,0.0001292514226992,0.0042086077970143,0.0,0.0001473596125585,0.2667567797353841,0.0051994852000933,0.0002131308850131,0.0121599831345328,0.0595334087613846,0.0618809373343363,0.0126129824699636,0.0020932829040466,0.000227247561029,0.0001842679963599,0.0001374047824461,0.0007296508644723,0.1165126413929197,0.0009694763809135,0.0053530174838503,0.7361354471315062,0.0009918224981338,0.0383856656339093,0.0004783941398265,0.0010925049816785,0.0019129495979332,0.0046694958406235,0.8439573143877659,0.1869553088548335,0.0004413267934621
