,B Cell,Epithelium,Myeloid,Stroma,T Cell,rho_Spearman,rho_Pearson
CID005093-1,0.39685988587496424,0.028423101984099797,0.03596112187768183,0.33029800322662456,0.20845788703662968,0.9287087912087912,0.6608200483436056
CID005215-1,0.2200110713317609,0.0022859313273887838,0.32582820962690423,0.005410027136834245,0.44646476057711176,0.6222016651248844,0.5477899538193259
CID005217-1,0.27527570967955556,0.12122755859891754,0.006025694704467897,0.3020645441334118,0.2954064928836472,0.9004466160247356,0.7022546385082883
CID005219-1,0.3396921784925979,0.019733303138752174,0.03895005475436953,0.4955162582586968,0.10610820535558363,0.9138294541279615,0.6856021744524704
CID005222-1,0.2794454716363454,0.044570946918904925,0.0997161529608042,0.2968327029790635,0.279434725504882,0.8794900179409856,0.7249689330264862
CID005224-1,0.04258574258420488,0.7837803592848588,0.04996996490578717,0.04259510945262469,0.08106882377252447,0.7966179333511471,0.660822192958355
CID005225-1,0.04110685743471749,0.13706896067868563,0.07336606918134306,0.27573651072598016,0.47272160197927365,0.8365843417185175,0.7142629196765325
CID005416-1,0.1375204983079811,0.026707452943034865,0.06030979372733402,0.38447333788985044,0.39098891713179945,0.8952551818910561,0.6888102161499866
CID005418-1,0.005888936161683447,0.9271842109506708,0.007676579151847341,0.026827083336523068,0.03242319039927535,0.853375642849327,0.7185927384859668
CID005420-1,0.022221402522905543,0.0005072662113945451,0.10621676019194483,0.8218563071992888,0.04919826387446629,0.8692917166866747,0.7050943522951172
CID005422-1,0.1737642123991252,0.3934500774698853,0.037403397216704874,0.19957966618597203,0.19580264672831246,0.830667633698515,0.6804635290887947
CID005424-1,0.23493212363775529,0.447227709846264,0.03717724250440312,0.09057615744594305,0.19008676656563459,0.8245421245421245,0.759643904315711
CID005425-1,0.36444608245283033,0.2686467835059502,0.15839200602787992,0.1195496404310608,0.08896548758227871,0.6735174395402665,0.6892630570752281
CID005614-1,0.3034002365288604,0.12862549439568519,0.05948686607562745,0.26315433614484113,0.24533306685498585,0.8986906897736383,0.768347914230859
CID005616-1,0.04920318229908667,0.5143613698451213,0.005570079205104203,0.20767279970477523,0.22319256894591266,0.800437062937063,0.6013409413992264
CID005618-1,0.324360552732758,0.011014858689440108,0.06956268104545549,0.3097239878380184,0.28533791969432803,0.9302447552447553,0.6794481823228848
CID005620-1,0.4746690307618729,0.03269107887369144,0.04512582182388015,0.17202869604371854,0.27548537249683697,0.874211828557746,0.5934699825474298
CID005844-1,0.16906708692074754,0.05968217448380787,0.08265442079666477,0.5807579586184949,0.107838359180285,0.835820895522388,0.6017578566245412
CID005845-1,0.353657476127885,0.11423248237646208,0.002698904531972386,0.0092603605130512,0.5201507764506293,0.8920027341079972,0.6973240927378057
CID005860-1,0.22111352599526413,0.0820994046131111,0.026150280652178146,0.5790927728006505,0.09154401593879609,0.879029304029304,0.6905958049832308
CID005868-1,0.15470360224412535,0.1603483602728915,0.002253778965193537,0.6203398024893682,0.062354456028421504,0.8838805683563747,0.6366709529168382
CID005874-1,0.2049439241715383,0.17938164762276668,0.0708523188293122,0.2127073198233889,0.33211478955299384,0.819810040705563,0.7505031605376585
CID005875-1,0.44822956415306886,0.07470454724459062,0.02891894739398796,0.09041780726704399,0.35772913394130856,0.9037034080932238,0.7164805433508709
CID006320-1,0.08493221451379285,0.06475565248998483,0.04268784549844291,0.3050048563433702,0.5026194311544092,0.8713704206241519,0.6614323809746353
CID006322-1,0.2816702628498552,0.28169181809271693,0.018148611709320552,0.33066067612711597,0.08782863122099129,0.9196241258741259,0.7410153635713144
CID006328-1,0.1853816561432913,0.13168229034906417,0.029313483652895846,0.5259589524112489,0.12766361744349974,0.9205549155145929,0.7024150473817646
CID006331-1,0.29248774313093284,0.0443630937461932,0.1645903807059343,0.10882362007353515,0.38973516234340455,0.8125874125874125,0.6841133355546314
CID006336-1,0.12635111375440491,0.09986439819644885,0.014814805817247341,0.3975645886611925,0.3614050935707064,0.8904072985456349,0.7172259491850718
CID006340-1,0.3852185666011876,0.04368191711501581,0.07766692277475737,0.1806662502590286,0.3127663432500106,0.9008300742277915,0.6771150570641695
CID006468-1,0.4601004142360949,0.2708911547471069,0.031940945359301004,0.05564131070832722,0.18142617494917002,0.8614631336405528,0.6675102181505829
CID006469-1,0.09717693411894436,0.2476549397298231,0.0019652970695946304,0.024513574939956314,0.6286892541416815,0.8112519201228878,0.639187123488448
CID006478-1,0.15168058828499026,0.05960662513364586,0.03354024011766281,0.3621969525757496,0.3929755938879515,0.9000267206168645,0.7068804380831168
CID006480-1,0.21958309383802835,0.09186127826160866,0.0615697457273418,0.2532369941147573,0.37374888805826395,0.880184331797235,0.7583182313671318
CID006484-1,0.3486647574760786,0.14703759913763845,0.04575882704642562,0.1754111567283344,0.2831276596115228,0.8627289377289378,0.7582974061591714
CID006486-1,0.048579028487926716,0.07804753435276046,0.09207946539227202,0.23231411530922758,0.5489798564578132,0.7114173378631141,0.5967105660395766
CID006493-1,0.30877246629841204,0.06696489636171708,0.06038423395980046,0.22865694816252669,0.33522145521754376,0.9207161125319693,0.6944842336317494
CID006494-1,0.28211808974032954,0.0668431026073032,0.06063747282716424,0.30756236659027625,0.28283896823492677,0.8987947960731103,0.7438020286347707
CID006494-2,0.21555352455044832,0.15051520729395332,0.07542796726026102,0.38193695810658457,0.17656634278875258,0.8599648814749781,0.7308586544375452
CID006515-1,0.2634602492511348,0.09386471550983501,0.04938658745802082,0.2582087720630964,0.335079675717913,0.8726398601398601,0.707713164682808
CID006527-1,0.05003056951312382,0.06729137502621867,0.06633170896019766,0.535992419289678,0.28035392721078184,0.9495969351105434,0.7043307812147617
CID006542-1,0.3919021514743755,0.10126917219189319,0.023478582980675063,0.12315781452152826,0.360192278831528,0.8955015134119612,0.6977309827818127
CID006544-1,0.23474618586385804,0.16033601922532834,0.07908003918149036,0.28333785158008,0.24249990414924322,0.882684479699405,0.77256424763636
CID006548-1,0.4622943782043459,0.03985044579736444,0.04120234158506485,0.24555619485034946,0.2110966395628754,0.9215948230873603,0.7033924512168083
CID006551-1,0.05111694076941339,0.07925826793301746,0.04134689964656527,0.3427058890769586,0.48557200257404537,0.9060099846390168,0.6898752141360148
CID007329-1,0.06034451044994009,0.05811608607060045,0.014470189297894445,0.5675519990552917,0.2995172151262733,0.8068681318681319,0.6583755176003133
CID007330-1,0.000677064848293562,0.07263534872318338,0.12551530573999312,0.29189895704125424,0.5092733236472757,0.86996336996337,0.7164304120123193
CID007338-1,0.22426729185407304,0.07078906265585469,0.07590222183595186,0.2579859783430468,0.3710554453110736,0.9012482345306714,0.6965910017249263
CID007346-1,0.036949022381125914,0.5670449647475035,0.02830837869062481,0.11300049780390846,0.2546971363768373,0.8360695084485407,0.6543924047893271
CID007352-1,0.551122482803941,0.06167433168615518,0.03147628117333455,0.23659865077000952,0.11912825356655965,0.9083602964199979,0.6503944246227051
CID007358-1,0.348615027399248,0.048828032434881055,0.0619252385981162,0.19656556814796308,0.34406613341979164,0.8934472024902226,0.7240973551555351
CID007659-1,0.37386464330538505,0.08292185498549444,0.056697289881913505,0.10175157436871805,0.38476463745848904,0.8197781147737249,0.6948578817261938
CID007661-1,0.24133257830798568,0.1366778802542779,0.06704821866396615,0.16904186936899174,0.38589945340477855,0.8500365306335456,0.6863132686044956
CID007664-1,0.04202144310493916,0.24164569821093781,0.09131669707094589,0.34146988856402627,0.28354627304915087,0.7983091535330341,0.7075308459032467
CID007665-1,0.3444759803641216,0.07562217773375862,0.03966139706882051,0.262400126490002,0.2778403183432973,0.8865137229453753,0.7441800322177959
CID007666-1,0.40730787949485203,0.05091498046929002,0.0400838459386943,0.20692697241577102,0.2947663216813926,0.8311240997808161,0.6894223948307867
CID007667-1,0.3339966150884212,0.07289225100389275,0.041052926190994765,0.07829377360063736,0.4737644341160539,0.860938275375043,0.689044667515341
CID007672-1,0.36873578636775467,0.04092340794295217,0.08036660950906722,0.42346220802937506,0.08651198815085077,0.7477851384787293,0.5725530693593275
CID007676-1,0.373309087976825,0.06879085232450936,0.0008735994747237663,0.20122040628238777,0.3558060539415541,0.9120342344222941,0.6912336258185778
CID007681-1,0.4748645272181156,0.12723843193539172,0.02794439859556219,0.07044474859793619,0.2995078936529943,0.8370979327959135,0.695238223329903
CID007688-1,0.034569465512638065,0.6218821092280158,0.01824856452735236,0.23061892695221622,0.09468093377977756,0.8606431467351615,0.7716724626522553
CID007694-1,0.08996983047085104,0.25986618021068536,0.009383606172429379,0.30436108339509677,0.3364192997509375,0.864514652014652,0.7304922531472472
CID007697-1,0.10118103214039177,0.07270299429459158,0.05451558040454234,0.4033477854709041,0.36825260768957024,0.8300343203767261,0.6611410691956086
CID007704-1,0.20208992113252583,0.06165974123964429,0.06739958307265774,0.24896789764597854,0.4198828569091937,0.901790435899373,0.7069242745011695
CID007707-1,0.30567159362403185,0.3837369777501675,0.02930531304101775,0.11923365622422903,0.16205245936055385,0.8787600459242251,0.6698219354712646
CID007825-1,0.20472368959100792,0.20001477862588501,0.013628062949113423,0.006381130057211297,0.5752523387767824,0.8752185314685316,0.6991831954886287
CID007827-1,0.3752484644986286,0.15567919246669687,0.07368975791170328,0.05341068441053994,0.34197190071243133,0.8916513688243276,0.7651852695476032
CID007829-1,0.34468753251808304,0.019138770721212117,0.04070553885915643,0.1572632987675436,0.43820485913400475,0.9027937788018433,0.6891711435277644
CID007845-1,0.15993024201174827,0.1416172053667216,0.10818820502478829,0.323991002472908,0.2662733451238339,0.8728549764546253,0.6585551047286589
CID007847-1,0.38761791488250175,0.170691934760303,0.05736358138817438,0.1397276389861698,0.24459892998285107,0.883040042752987,0.7772034742092371
CID007849-1,0.46823953370611154,0.1870034002750334,0.030961763348925826,0.1522181803152212,0.16157712235470795,0.8450174825174824,0.7253577965061092
CID008109-1,0.3498883427930077,0.1365011001428009,0.09001407283648058,0.05158836082572622,0.37200812340198464,0.8782051282051282,0.7183386816841435
CID008114-1,0.4281270126994871,0.027092897367841408,0.07576051590943692,0.0631352864314971,0.40588428759173734,0.8598901098901099,0.6395456539744305
CID008122-1,0.104565215675092,0.3754376043525987,0.0017814576133378904,0.18573968109718567,0.3324760412617857,0.8827401642622044,0.6717417400940251
CID008457-1,0.11605525364132027,0.045653902479680875,0.06073562768505126,0.5751427915913573,0.2024124246025903,0.8754120879120879,0.6509987250499749
CID008459-1,0.2080974550480489,0.12596824402857998,0.023429181770076683,0.5205217648878792,0.12198335426541528,0.8814350706361241,0.658029740916634
CID008460-1,0.22900594451830383,0.049704607712693284,0.017108518643951486,0.47593116670723934,0.22824976241781206,0.9076923076923077,0.7196340586740008
