,CID005093-1,CID005215-1,CID005217-1,CID005219-1,CID005222-1,CID005224-1,CID005225-1,CID005416-1,CID005418-1,CID005420-1,CID005422-1,CID005424-1,CID005425-1,CID005614-1,CID005616-1,CID005618-1,CID005620-1,CID005844-1,CID005845-1,CID005860-1,CID005868-1,CID005874-1,CID005875-1,CID006320-1,CID006322-1,CID006328-1,CID006331-1,CID006336-1,CID006340-1,CID006468-1,CID006469-1,CID006478-1,CID006480-1,CID006484-1,CID006486-1,CID006493-1,CID006494-1,CID006494-2,CID006515-1,CID006527-1,CID006542-1,CID006544-1,CID006548-1,CID006551-1,CID007329-1,CID007330-1,CID007338-1,CID007346-1,CID007352-1,CID007358-1,CID007659-1,CID007661-1,CID007664-1,CID007665-1,CID007666-1,CID007667-1,CID007672-1,CID007676-1,CID007681-1,CID007688-1,CID007694-1,CID007697-1,CID007704-1,CID007707-1,CID007825-1,CID007827-1,CID007829-1,CID007845-1,CID007847-1,CID007849-1,CID008109-1,CID008114-1,CID008122-1,CID008457-1,CID008459-1,CID008460-1
B Cell,0.373303620487401,0.2524158970844828,0.2935011131167911,0.3739759057334735,0.3532177216900327,0.2368516196041556,0.2368871069499315,0.3291958376631279,0.09,0.2155674796540376,0.2810470592861712,0.2652405844551407,0.3595752612181057,0.3218703154205232,0.3134658801673958,0.4362997134082784,0.3914533610578384,0.3050474106191635,0.3489181664036188,0.3955762343335769,0.369964654094997,0.2941292101539786,0.3543707958449108,0.2621603876049079,0.3077429310705685,0.3071236785497805,0.2983639062537004,0.334180103025398,0.3337800753843261,0.3726460598065849,0.3188621959653869,0.3409727809764175,0.2775356271930028,0.3921124325528452,0.3171221054162628,0.3184916048346633,0.3532731507387769,0.2931617989952071,0.2538976541517691,0.1777935085617472,0.3205960754644694,0.2938611669697362,0.4078970133449353,0.2058107032721023,0.3136263478819375,0.09,0.2730967543457245,0.2451583713274469,0.4142037575331507,0.4142705673796215,0.3136404340587413,0.2498991507019899,0.3083493578339281,0.3670057248023377,0.3723474848942198,0.3611922927856181,0.3775377305875672,0.3015306653907664,0.3744440407233695,0.2179679545587663,0.2848638737895922,0.3360137842899736,0.3070239046829141,0.2417562339866213,0.4029184213320728,0.4045490946499978,0.3127600663245414,0.1911101650131992,0.3846745865575067,0.3934671494194935,0.3732910765359959,0.3926022439062293,0.2976649355416267,0.2267297837724589,0.286421445635993,0.2695527537951554
Epithelium,0.0516369639778269,0.0,0.2540895396743794,0.0237870950817147,0.0627760689187185,0.3634454230693292,0.2077724175803701,0.0724902788771934,0.8897222467430266,0.0,0.2933004038690703,0.273270319618529,0.180394704375731,0.166738932708402,0.3062438845284663,0.0,0.0670272442775102,0.1643743098939274,0.2296861699954713,0.1299090870079707,0.3176384624113331,0.2239421270789918,0.255272468576493,0.1295927466897422,0.3155776282034376,0.2011081561461045,0.1260586896797806,0.2211515050400968,0.0661457991492653,0.2647344072886591,0.2712113777057406,0.1744011731884427,0.2081966083793895,0.1236046083919662,0.1098631781428041,0.181044940396895,0.1800423332874611,0.2136654303122367,0.1284171674754846,0.1268415934446814,0.1684293743732155,0.1794861740990747,0.0964430570985331,0.2163947443721737,0.1663440499535711,0.1334001241196417,0.2057443447062219,0.3093249267478192,0.1015101434575685,0.1113814102594027,0.2068270953857591,0.2182622801775848,0.2404998498780469,0.1480014642843608,0.1121689357632324,0.1830015782132843,0.133614865242885,0.2058790166757051,0.276327861555851,0.3672179099943932,0.2667410587469938,0.1595949990148094,0.1128759541368951,0.3516364915942878,0.2989397930516625,0.203145435609235,0.0,0.218948108856786,0.1656811470940599,0.2536625302009568,0.2772902453488308,0.1037738864897033,0.2808135794312054,0.0600470085086648,0.242645603826053,0.1317745760528362
Myeloid,-0.0503252550749419,0.331185435490312,-0.078,-0.078,0.0711224989930936,0.0904699855620925,0.0185841429737478,0.0479060302839745,0.011975855833735,0.1601712452695511,-0.0170338906282411,0.0151191158727665,0.1309022923120575,-0.0002157570589527,-0.078,0.0596404962101951,0.0343885157940997,0.0284799028763099,-0.078,-0.078,-0.078,-0.0076376436111473,-0.0712972499472444,0.09157077371032,-0.078,-0.0404002219933299,0.1543303621718788,-0.0097622561776919,0.0535501273592502,-0.0704324715472504,-0.078,-0.078,-0.078,-0.078,0.0224794613750421,-0.0053265877801454,-0.0519089621359234,0.056333576708235,-0.078,0.0454652632777679,-0.078,0.0285795762518604,-0.078,-0.0671232241910561,-0.078,0.168921594149853,0.0337923612899844,-0.0165094117328297,-0.078,-0.031339355678997,0.0046224184176863,0.0127891498596953,0.0254741285490796,-0.0286192888919923,-0.0035354113258797,0.0154958849037163,-0.026105972444675,-0.078,-0.078,-0.0590043696995459,-0.078,0.0108682543646853,-0.0250302722767016,-0.078,-0.077713387621049,-0.0362572742629259,-0.078,0.0854374571930994,0.0191788886680327,-0.078,0.0064130974332397,0.0633787254524006,-0.078,0.0575344543455417,-0.055452137294029,-0.0396306801225675
Stroma,0.3821516043308447,0.078,0.3213015909048098,0.4955038388056353,0.2837917678921162,0.2055313014582677,0.3132831806181594,0.3614572294093698,0.0983018974232383,0.5330594590760673,0.3033043954485575,0.2662973991300967,0.2547759240077991,0.313929638115666,0.3192905437598378,0.2875615937247013,0.2930975532341792,0.440627829807353,0.116064170737749,0.402779859685318,0.4041329781126327,0.3060981806094527,0.1831965008636444,0.3324195565255263,0.3296277628334838,0.4142440398022267,0.1557201167196794,0.2966759815216865,0.3119778185002387,0.1520884067107462,0.2311508722767116,0.3604052972239408,0.3236219243948989,0.3340131537849994,0.2684985874133599,0.307017220372737,0.2987433314207748,0.3050327092625831,0.3504133907413023,0.5120089057088131,0.3036040975885499,0.3490876073705465,0.3438725036187205,0.3718267667706324,0.4364913721877718,0.3014898011516349,0.2776391476977984,0.2940018509999037,0.3825115703195769,0.3043859262903735,0.2267295169114616,0.3030319373504543,0.3233769366494672,0.3033870630601502,0.3178992238768989,0.206946310905597,0.4222388260643635,0.34709356864047,0.2422966683304978,0.3552725045379386,0.324294961797438,0.3423190541654402,0.3351914224928922,0.3042633089774546,0.1066742036930282,0.1669639741108178,0.3398792558261005,0.3025220647208172,0.2554708820675667,0.2646676618041152,0.0973541894767189,0.1880770000494115,0.3139780026772775,0.4793537598937607,0.3819372662837499,0.5018818901054551
T Cell,0.2432330662788692,0.3383986674252052,0.2091077563040193,0.1847331603791765,0.2290919425060386,0.1037016703061549,0.2234731518777908,0.1889506237663341,-0.09,0.0912018160003437,0.1393820320244421,0.1800725809234668,0.0743518180863063,0.1976768708143612,0.1389996915443001,0.2164981966568253,0.2140333256363721,0.061470546803246,0.3833314928631608,0.1497348189731343,-0.0137360946189628,0.1834681257687241,0.2784574846621962,0.1842565354695035,0.12505167789251,0.1179243474952179,0.2655269251749604,0.1577546665905105,0.2345461796069195,0.28096359774126,0.2567755540521607,0.2022207486111988,0.2686458400327086,0.2282698052701891,0.2820366676525309,0.1987728221758498,0.2198501466889104,0.1318064847217378,0.3452717876314439,0.1378907290069903,0.2853704525737651,0.148985475308782,0.2297874259378109,0.2730910097761475,0.1615382299767195,0.3061884805788701,0.2097273919602706,0.1680242626576597,0.1797745286897038,0.2013014517495992,0.2481805352263516,0.2160174819102756,0.1022997270894779,0.2102250367451435,0.2011197667915284,0.233363933191784,0.092714550549859,0.2234967492930583,0.1849314293902814,0.1185460006084476,0.2021001056659759,0.1512039081650912,0.2699389909640001,0.1803439654416362,0.2691809695442854,0.2615987698928751,0.425360677849358,0.2019822042160981,0.1749944956128339,0.1662026585754341,0.2456513912052146,0.2521681441022551,0.1855434823498901,0.1763349934795738,0.1444478215482329,0.1364214601691207
