,CID005226-1,CID005227-1,CID005798-1,CID005799-1,CID005800-1,CID005801-1,CID006004-1,CID007374-1,CID007376-1,CID007378-1,CID007380-1,CID007382-1,CID007384-1,CID007386-1,CID007790-1,CID007792-1,CID007794-1,CID007796-1,CID007798-1,CID007800-1,CID007802-1,CID007804-1,CID008392-1,CID008394-1,CID008396-1,CID008398-1,CID008400-1,CID008402-1,CID008404-1,CID008406-1
CD209+ moDC,0.12289839834812553,0.09921245650237549,0.08844084667706037,0.12086534480773624,0.0,0.058144759395204824,0.08140465301351082,0.054070903240851786,0.059200204366547715,0.0723292699634762,0.08607067321509522,0.08705790994957582,0.05953830024416662,0.09900563262563389,0.08902924664882206,0.07103114187024943,0.07994370610405464,0.09307877001585485,0.08465901257741477,0.06729508523588264,0.08863678905869551,0.08419700722423218,0.06884392769338196,0.07447336358976442,0.09378410677872874,0.08836819443160397,0.0689068099723856,0.07698273768793173,0.07540249683017296,0.08063858406955848
CD83+ CLEC9A+ DC,0.005073497846741466,0.04855619137257471,0.006314467791009608,0.0,0.02605591461501877,0.006519195139703095,0.0,0.02611634069092634,0.03853573627802191,0.008615091993160401,0.016793404395294458,0.0058536552367349165,0.0220962475932132,0.0,0.02968387211875759,0.0,0.009797415950276389,0.018121641942921107,0.017171092166081797,0.016088322482628974,0.012893607242524448,0.016895011716789057,0.002478060090117998,0.0,0.01704305774890915,0.023359497399119966,0.023735921708688497,0.026068962470785127,0.0043175882650081,0.02156000312115822
CD83- CLEC9A+ DC,0.03228958154905509,0.005125560944196446,0.05125834962097121,0.04988107308944147,0.011701514468354273,0.01329327514430952,0.04434019612260888,0.0,0.0,0.02508000208559117,0.020287756219887657,0.027436837859381086,0.0,0.03950970125825057,0.007658942534952515,0.03523438472300192,0.011095592974493024,0.019435442897919063,0.023796001286098656,0.008895867052873426,0.013193847374253241,0.033154372249325915,0.015071235612300442,0.013894391300289325,0.013484565039285131,0.019129881147319606,0.0014360199391195276,0.003649067318274326,0.01983642119881216,0.015293289244566827
CLEC10A+ DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL7R+ Activated DC,0.0,0.0,0.0055346584682522135,0.07622046209663613,0.00031335481953788266,0.020515164702240504,0.05869541107368931,0.03375070441571435,0.0038670213488540914,0.0,0.014319215332146758,0.043460166258355394,0.00365881182902132,0.0,0.022613102906241883,0.006156657819415721,0.008447539345174466,0.0,0.007999348615503282,0.03221293185639026,0.020583916174072608,0.009751942356744375,0.0014705380197862301,0.09832150721348006,0.014806257989990006,0.00589519527820702,0.014477355174421802,0.002001537051205972,0.00943654618837351,0.0
Mast Cell,0.0,0.006241511849344798,0.0,0.0,0.0,0.0048572995679827405,0.0,0.0054470519904095595,0.014649423553119266,0.0,0.0,0.0,0.01861589340623207,0.0,0.0,0.010305222027200963,0.011950819551513317,0.007234692510029889,0.004053160914822497,0.03473697878739592,0.0013992452228445468,0.014828759444974445,0.023069322364794958,0.004813637648104119,0.0,0.007859930768345225,0.014528342534217292,0.03207241922735793,0.004734503381296366,0.014875696277290329
Monocyte Inflammatory,0.017411640535320305,0.010724501840159216,0.03141300615936227,0.05243499743181824,0.031221830022564616,0.029779373549482745,0.059845282101618436,0.03455536721552122,0.026512132848019787,0.012927861870859692,0.04276798720223387,0.06782947836177684,0.019967636984786,0.013310055151353743,0.0362253274819722,0.0200698135537352,0.014434591019364102,0.0027186326888109756,0.049523137907310576,0.029398502670108406,0.05132133490111831,0.04877455727457634,0.016708459213722257,0.052803862532695214,0.029480582829161623,0.01211138568585321,0.01394550739208782,0.016362757250783875,0.03788449794493952,0.018306084594682182
Proliferating myeloid,0.04014910492853846,0.049456562370110806,0.0,0.0,0.0,0.052072166917085674,0.0,0.0,0.010647687434585955,0.03350573033351592,0.07022279820697318,0.0014521182261408474,0.052199997802773415,0.044169601488812826,0.0,0.024473612937034678,0.020276921063314135,0.04117093527852475,0.02608135146973108,0.0,0.0044611151323546965,0.022279213263532247,0.016415792689516796,0.0,0.007103616027551887,0.05068449104913405,0.04155447309878418,0.04601598432529803,0.02057066839952533,0.02130911686441493
Resident Macrophage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4 SELL naive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02876978190490153,0.009010032059247565,0.0,0.025865703279577407,0.0014655025366924201,0.009191211089746567,0.0,0.0054547036934044215,0.034350842407952935,3.090781350002581e-05,0.018522110213704358,0.0,0.0027193400855323956,0.013750550570350961,0.023776016074067468,0.007272139979043174,0.009515080166576075,0.03611183887013788,0.0,0.02929638913382031,0.0063581889586341225,0.0,0.0
