,SRR6337113,SRR6337114,SRR6337115,SRR6337116,SRR6337117,SRR6337118,SRR6337119,SRR6337120,SRR6337121
CD4-naive,16.261829903801786,10.019608153696511,5.176630710669778,1.7334680758324523,2.33370048022782,7.15577121979079,3.400440259909125,12.457620784692272,8.184979899839869
CD14,19.57649922019803,17.57961788060572,16.442268426716154,23.701845261367787,21.425600558071682,17.106951026728126,19.089046261719538,22.54670889975376,17.896425229388672
CD4,0.012440806441645611,0.09882817832261326,0.030873559162286904,0.03956144122661339,0.11166078290638635,0.02507561532435825,0.033262013342992024,0.0342570529524314,0.08729736281760785
NK,3.1479009653574885,6.592403382626146,6.6993416560035195,3.7810700839276934,6.878875172773337,15.878492664393207,12.445571254058049,5.300103975012637,10.659585439825062
CD8,3.395179686167249,3.595221098560513,1.436783787426254,12.741174675321187,1.9785201684201073,10.000585484627072,4.445924448965096,0.31720422254468433,8.151946471335119
CD16,14.71999909803918,15.34284644973888,16.990114817512154,17.176295998977896,11.505212672337723,16.003064591875802,18.17181398243897,17.8816257298856,18.001757054889943
B-naive,0.8625225521405658,0.05998378034977977,0.5964381285348501,0.7460802397462598,1.0406891541108885,0.5109548698556438,0.47606876924857816,0.9971238373128691,1.793387779369204
Treg,1.625320439842611,0.20102285820063115,1.558375960188333,0.25856248441344354,2.046669410032084,0.14430253823803288,1.1341167496800137,0.35906937706257375,0.02210923154650331
gdT,5.471766192268021,0.18931234776079317,17.03751513798838,14.860578963936403,0.5257504174564138,0.01173635547375321,0.017003311744605554,0.5663082805404748,3.5188748627230084
CD8-naive,3.5546140990170083,14.610703355145969,4.582515807322574,1.1048851478080501,11.640482812717831,2.77777353117304,4.499036686635428,4.8926324923482065,6.678178021071527
B,0.7150160958508018,0.1913063440841047,1.9152471870801866,4.508899166811721,0.5827409581834129,0.023480939730391295,0.0033965334966685017,0.033236536921655846,0.020118997065849666
T_undef,0.10689449088179749,2.752384784650547,11.686292431756202,0.210721204125434,2.0547936615733136,0.47763123035736305,4.282314419840571,0.39643115644586585,1.1643523811732845
cDC,13.036400467568479,10.787422579808945,3.560309276597857,5.687403016153807,16.894924885472665,10.620187378470913,11.506535517639396,13.107897754925673,7.76552306059434
platelet_cont,0.7685156281980665,0.39965327497551084,0.6590675541820358,0.08378268749834898,0.6974500221611097,0.6076466972203497,1.0506175104079307,1.9602098445899812,1.335308544122121
CD14-PPBP,0.06825863078457917,1.0838060809346701,0.09938489232366304,3.7371579877849337,4.492556630789734,1.6550797051380426,3.0326096291387254,0.28519246846162927,0.9879744736921168
HSC,0.0075543562021125835,0.061884514802046896,0.00030772477129959976,0.003926423867477142,0.09292738463323155,0.007967093059208676,0.03369397786065023,0.01036850930839566,0.0011034179208197397
pDC,0.06703281686229061,1.4883261985496385,0.014806408298657477,0.34550609908307567,0.2851517479265548,0.11151621408830262,0.061632775616099054,0.008444992441683338,0.020138937813975084
other,16.602254550378298,14.945668737186987,11.513726533465833,9.279081042117403,15.41229308020571,16.88178284445561,16.31691589825757,18.845564084799594,13.710938834810982
rho_Spearman,64.12575469752959,62.61120131293432,64.35416944794892,69.66001947583615,63.14660491333507,65.11717118797519,64.18199045669076,63.041545459255566,67.26755906440565
rho_Pearson,78.33119560816833,74.89892321267256,76.50767177519215,75.8830342906603,77.29313311690393,71.43908625468629,75.89182750340254,76.61223163684969,77.63296356798875
B_cells,1.5775386479913678,0.2512901244338845,2.5116853156150367,5.254979406557981,1.6234301122943013,0.5344358095860351,0.4794653027452467,1.030360374234525,1.8135067764350536
CD4_T_cells,16.27427071024343,10.118436332019124,5.207504269832065,1.7730295170590658,2.4453612631342065,7.1808468351151475,3.433702273252117,12.491877837644704,8.272277262657477
CD8_T_cells,3.395179686167249,3.595221098560513,1.436783787426254,12.741174675321187,1.9785201684201073,10.000585484627072,4.445924448965096,0.31720422254468433,8.151946471335119
NK_cells,3.1479009653574885,6.592403382626146,6.6993416560035195,3.7810700839276934,6.878875172773337,15.878492664393207,12.445571254058049,5.300103975012637,10.659585439825062
Tregs,1.625320439842611,0.20102285820063115,1.558375960188333,0.25856248441344354,2.046669410032084,0.14430253823803288,1.1341167496800137,0.35906937706257375,0.02210923154650331
T_cells,21.40166532713509,16.667065073430816,19.888956449202855,14.98348788091913,8.525344503159712,17.80336608833762,13.296057891737798,13.564582593697828,17.610685346712387
Lymphocytes,26.127104940483946,23.510758580490844,29.09998342082141,24.019537371404805,17.02764978822735,34.21629456231686,26.221094448541095,19.89504694294499,30.083777562972504
