,SRR6337113,SRR6337114,SRR6337115,SRR6337116,SRR6337117,SRR6337118,SRR6337119,SRR6337120,SRR6337121
CD4-naive,39.76427070528806,44.09787586687387,35.287189118300155,30.181382228803976,38.127019299137125,38.39200996815626,35.406140225548505,36.81891934505237,39.83871733943624
CD14,18.224514819471764,13.674614410266846,16.484379444741602,22.59791302296805,19.44398596148713,14.669392457493297,17.671165227286927,17.345359535001307,14.27204177381111
CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK,0.0,0.0,1.150213330479188,1.6854425837909093,0.0,0.785974533064773,1.4600595157805767,0.0,0.3113981471074218
CD8,0.0,0.0,0.0,0.4233888339637004,0.0,0.0,0.0,0.0,0.0
CD16,0.0,1.0749886376471627,2.919961753629292,3.4961796405799612,0.48208373081159667,2.426760304689956,3.011160277328787,2.3133646243974937,3.6830258354909517
B-naive,0.0,0.0,1.1918926699442682,1.3436399186192578,0.0011484053158310702,0.40384657903940235,0.31544697379320963,1.3299759958296398,1.5584522201713902
Treg,3.7830096366687367,2.984507908395303,0.0,0.0,3.681911486198966,1.0611271443347878,1.9275604945735447,4.444045443626007,1.6328433859203053
gdT,13.265264513194039,12.19052775530846,17.505987688920797,16.673526307977067,12.534571728774399,16.64669602234417,15.72682272430196,10.21551424403214,17.0734177246033
CD8-naive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,1.6880283295277017,2.387886495295748,3.027579638613526,2.0420243420717856,1.867905510759202,0.9942301568419502,0.8830863712551762,1.121474666328505,0.22456968752693723
T_undef,2.6976765224108137,3.524083296350486,2.514202495064248,0.6386748049011055,1.1234966426361388,2.9757423665706497,1.321247202022412,4.994633650270357,0.9759921329270208
cDC,6.80132913388173,6.434065109876124,4.567831289238823,6.145666007805954,8.143985199640296,7.130873707357295,7.342414461727226,7.291265516396002,6.51892966144762
platelet_cont,2.4457892115282496,2.0387056943770796,2.0811347439879153,2.469394892386603,2.9833651557568515,2.1525718708532504,2.669571338614074,2.3788121763917203,2.437792485664442
CD14-PPBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other,11.330117128028903,11.592744825608921,13.269627827080186,12.302767416131626,11.610526879482455,12.360774889254213,12.265325187767601,11.746634802674457,11.472819605893266
