Gene,SRR6337113,SRR6337114,SRR6337115,SRR6337116,SRR6337117,SRR6337118,SRR6337119,SRR6337120,SRR6337121
A1BG,0.0,0.0,0.1904051065791235,0.0,0.0,0.0,0.0,0.0,0.0
A1CF,0.0,0.0,0.0,2.2865389332761367e-10,5.8009683812329715e-11,3.7256850999690906e-11,0.0,0.0,0.0
A2M,0.2107316144651516,0.1508143152277345,0.4985041712937594,0.9167381743570376,0.0364487846227249,0.364394575799172,0.3452330734392132,0.0954124481888629,0.2621375870923555
A2ML1,0.0316954022985697,0.0537740871180616,0.351833089285648,0.035129125071904,0.069743540666118,0.0,0.0034957279267851,0.0,0.0
A4GALT,0.0492643163643975,0.0,0.0,0.0387028699255723,0.0,0.0,0.0,0.0,0.0
A4GNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,15.420267804034625,13.976900721993468,14.995202831347775,15.93479368694667,18.2952965702602,13.061465615675326,12.804349719610094,16.019555232037035,11.279856670738676
AACS,7.687136590529376,4.032617268093847,4.701952974997133,7.776805929719154,6.228201976480051,6.656060151992892,5.5492994815256464,7.824799996921582,7.156199011234027
AADAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADAT,0.0,0.0,0.4223352037908296,0.0157858680788703,0.0,0.0733990724978895,0.0,0.0460440552791254,0.0
AAED1,9.013533530115154,9.923230214208049,9.706845985605046,12.072235139225704,10.630616496155774,11.999029546175253,10.22660308975746,7.364023269064106,10.293282688941638
AAGAB,16.41378927368225,10.390995064795533,16.59077973523002,23.362839937011863,15.871370919357732,19.839678802499314,12.215995626662774,12.725294425494427,21.040177251238912
AAK1,22.50357927398473,19.75535473982862,39.14581260679466,32.51314757106467,17.521878762438046,19.531655049762925,12.305994150560355,15.866182406907336,20.0701748140236
AAMDC,15.43877205871765,15.331399348078554,13.226938104057156,11.574108101674652,20.607134786547554,17.262693820116095,18.26861744741329,18.561309841565716,14.518119721441789
AAMP,24.1374414709271,37.055120114337576,18.92498072205196,15.86217429582914,22.239009753785005,32.560977714447844,27.96713019248348,37.36054487515762,23.210095429640287
AANAT,0.0722999390935621,0.0,2.3128943120375283,0.8275764902478944,0.0535237310622353,0.288611079919656,0.089209898447589,0.3473469227728969,0.1744434045713638
AAR2,21.952985505712228,20.30046660866323,23.2594538611055,27.19559654403116,25.658530307091212,24.239671383492336,22.740989869344755,24.23990857179141,23.96314358008965
AARD,0.1565470726741513,0.6641879524749059,3.8138959405536927,0.4668540487980651,0.1057101807926394,0.7869972157925967,0.6290718835224247,0.0708120243916241,0.2834105084159826
AARS,22.90659129673913,15.875182782702089,27.41544998436032,23.78339484767003,25.28987391990721,19.66703846555604,16.036143904751025,18.71182951637536,20.204056895760875
AARS2,5.449100347054917,3.5292778002879985,11.346517007364886,10.337533602584127,2.8428165838599124,4.284966835163727,2.630200099089572,4.368947427098107,4.501857489942611
AASDH,1.7332053874957487,0.153353783473466,3.6567371409915,4.703194088217359,0.3936971283987261,2.6406732022548427,3.637433334233544,3.796109994224123,3.5001993910858493
AASDHPPT,13.187185590432366,7.802533913224809,7.654591132962317,11.18229771874256,9.832622711929906,10.964800985608496,9.907506086867642,9.141467599011838,11.98094712901555
AASS,0.5783783442808359,0.0,1.616011044885329,1.8511880160551608,0.2151106643091149,0.2846895978085359,0.1244007263313651,0.3205375034598999,0.5458848469274111
AATF,74.56178986315537,57.90507627895092,65.36893825410536,78.40499511307466,69.59956696239057,66.20900730263523,62.43624169623144,71.37246076007969,74.7295099488404
AATK,0.6814995722890239,3.398506610482208,1.7790917635374297,6.55125651591821,0.9024751661983204,0.7272570650648854,1.1142766040276677,0.3842936469858977,0.058047204534986
ABAT,5.360192782878111,3.933875052594285,6.216253818807198,8.160991276583907,3.772735481746656,3.373550723961701,2.532657716841125,2.981422796534781,2.081586995867818
ABC7-42404400C24.1,0.2946780595846451,0.0,0.7343537456501401,0.6974812613404143,0.2087278301105306,0.3294168438189651,0.3308934619331595,0.2092120458462769,0.1589307319489456
ABCA1,1.3242507456258614,1.5786728447092229,1.9911890294022303,6.272509237891233,1.7112055940664983,1.0920676332241035,1.106128436733717,1.018117032396677,1.2173640918127748
ABCA10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA12,0.0,0.0,0.0841662705155563,0.0213957407986033,0.0,0.0,0.0,0.0,0.0
ABCA13,0.0,0.0262941726680904,0.0,0.0,0.0156868278812853,0.0,0.0074161688993848,0.0,0.0
ABCA2,3.827369606488536,0.8266942221855478,8.722717903598966,6.519215347738836,1.1113430637492991,1.7303107512969824,1.345216728579435,0.8024281943472257,2.4219779008881366
ABCA3,2.830753337986493,3.3056292823196314,11.399769267510733,6.1761625881148845,2.5624545816560205,4.406221943821369,3.031041652303498,1.4892593388684712,4.354629769523977
ABCA4,0.0233416995274831,0.0,0.0,0.0,0.0,0.0,0.0,0.0201059800490502,0.0
ABCA5,0.8882159133200866,0.1297342862341563,7.23284915981117,4.386694834433299,0.0525377344067467,0.410211960304562,0.0395763856607943,0.2331449994717193,0.4215832145316849
ABCA6,0.0,0.2090779741931988,0.0,0.0566860435983304,0.0402128041150199,0.0287339883029875,0.0270277187460394,0.0,0.3229219894214541
ABCA7,5.357065622882715,3.379060728910797,9.508967788769215,9.927319568819572,5.761570925871892,1.998699481533185e-07,2.3818312001418707,5.995031644570648,3.2334100072915537
ABCA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA9,0.0675880306328065,0.1237957283166637,1.0450461746592643,0.5903832096328735,0.0,0.3029813360685767,0.0148756944709083,0.1066352732220401,0.0551177242512045
ABCB1,7.154207523638863,2.300990667223709,7.192787361009913,8.02153561031386,4.507727377689084,5.3327695141372295,4.379327788088919,2.370999906821985,6.485410749413142
ABCB10,13.034580182657026,8.342503811916185,21.780797638065792,23.578210079833664,16.23509983443355,14.295756336716904,12.50677910183586,12.581351853189974,14.532031925106075
ABCB11,0.0,0.0,0.0448813603276438,0.0,0.0,0.0,0.0,0.0,0.0
ABCB4,1.409881527229029,0.0,1.0772872211953328,0.3280068537196076,0.0,0.664327873411761,0.7405268950968676,1.0170542854131506,0.0
ABCB5,0.0828504477063376,0.6170584789662389,1.2183722403706332,0.633343721804266,0.034456590350217,0.1179675764550794,0.0657917746080485,0.0636744855179779,0.2091474840130682
ABCB6,0.6244313078807305,0.2942190246897663,0.2274612469454573,0.65072494759048,0.7274968927844304,0.8056221688435684,0.4840159575436836,0.6489317435480121,0.300006955071081
ABCB7,18.310184057422127,14.79413989641334,22.04329642539936,20.27813028197804,20.059153012957264,18.142191461871064,17.08766982990882,17.43184837595141,9.555665087083415
ABCB8,4.703376606085056,4.387471767011672,8.873594710678065,9.084726281147278,5.858533364872821,6.965514974867653,5.112774781735549,6.916097104990586,5.913335639257183
ABCB9,0.2559946093400553,0.0126737036092436,0.3315109003682652,0.4990219510326005,0.6209690792183691,0.4638735717408734,0.0306153361908864,0.0,0.5681849886102862
ABCC1,25.01319060009939,13.316772924613277,31.201900351739567,35.56180913139985,30.223819264390727,23.945937284000703,25.47113317575213,20.524843337200288,30.50926726855364
ABCC10,6.115089205766775,3.201392502187244,11.981218392855231,12.422961918018071,5.060268318564077,5.722244991792088,4.263014397844989,5.91455024928248,6.448506906877192
ABCC11,0.0,0.0,0.0730099566393582,0.0,0.0221827204999284,0.0,0.0,0.0,0.0
ABCC12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC2,0.3375908734476239,0.3889593912225029,2.2372181645407165,1.7086160915452933,0.1595479754225407,0.0818186120223715,0.2556240504864221,0.2684298259783385,0.1839433934593446
ABCC3,1.4864108299409802,1.9352394786627083,2.9531898393771834,2.5985527345189,0.7641644281508032,0.8942409581687725,2.277270203339385,5.15679538349277,1.957643451049777
ABCC4,4.056050638225723,1.8233577855424168,3.8125462831411534,2.9710738832514765,3.8485197795556014,2.976421828606315,2.736427997854773,2.72192221408946,4.091755956428397
ABCC5,11.250099046188703,3.9686641129274487,19.97044238898804,11.89357433186668,6.919073075111438,4.374771378091268,9.781448082133965,8.50912501054596,8.143530008113228
ABCC6,3.432855280195481,2.5331885181738665,3.1292177590331,3.974750841940301,4.2838996078531215,2.881617660805167,2.624936011548249,4.07725265988397,2.2711461690989685
ABCC8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD1,20.64479825933041,15.772805101336624,20.44020026545188,28.96439187404002,20.462968001806573,16.195491025343653,17.02628164459097,24.666080956542427,19.335310211955573
ABCD2,5.371979770553066,2.8200152713521667,5.074799586182985,5.796815683122985,4.576633861938181,2.975839579603215,2.6041810307745723,4.308311205073747,5.505191634030175
ABCD3,15.097976567927043,8.648217023006428,18.52291115406305,20.144183690660228,9.330026137270448,11.618736766572152,11.319525519750467,11.130089514507514,10.823555637255971
ABCD4,4.277844220348437,4.562816950760687,2.7205280141001875,4.505947692793307,4.168334482844098,0.321474406212822,5.082582127060845,0.8458056222462581,0.7723689417909706
ABCE1,28.677163691320786,14.981917145039697,20.13498656377072,26.81762583092661,18.861448048475943,17.96497731348175,16.257080591513787,18.968461224183,25.241344000786214
ABCF1,34.09810035435561,14.498697388542697,2.016062027413994,31.486719345817782,24.491229352218998,24.812019066918463,15.639248013537594,25.168153429534048,30.50268146006217
ABCF2,17.37738754364829,16.173962292097496,22.51598813899564,18.846831270759665,17.346654952475163,18.37241131468718,15.169618265792446,14.425434756747595,14.26946864309007
ABCF3,4.790977498485324,1.8304499721963512,0.4094399393216157,7.019756552414303,6.238860494856772,1.870296038729049,3.618053003088189,2.636152568122552,4.805900320799527
ABCG1,8.995428046390881,9.393195994877107,6.053478950527609,11.472275173525803,7.821098022341113,6.699700767032473,5.072524999934845,5.513632203054278,5.1939247736861125
ABCG2,0.1013647262938507,0.1289581843967236,0.2308278885329179,0.1142954575274015,0.20753418765986,0.2198474025030575,0.1734226365292877,0.0569529361778833,0.0619288430296421
ABCG4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCG5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
