sample,Arterial Pericyte,Blood Endothelial Cell,CD209+ moDC,CD4 SELL naive,CD4 TRM,CD4 Tfh,CD4 Th1,CD4 Th17,CD4 Tph,CD4 Treg,CD8 Effector,CD8 IEL,CD8 SELL Naive,CD83+ CLEC9A+ DC,CD83- CLEC9A+ DC,CLEC10A+ DC,Enterocyte,Enteroendocrine Cell,Epithelial M Cell,Epithelial Progenitor Cell,Epithelial Stem Cell,Fibroblast,GC-like B cell,Glial Cell,Goblet Cell,IL7R+ Activated DC,ILC3,Inflammatory Fibroblast,LTB+ DC,Lymphatic Endothelial Cell,MAIT,Mast Cell,Memory B cell,Monocyte Inflammatory,Myofibroblast,NK,Naive B cell,Pericyte,Plasma Cell,Plasmablast,Post-capillary venules,Proliferating Stromal Cell,Proliferating T cells,Proliferating myeloid,Resident Macrophage,Smooth Muscle Cell,Tuft Cell,gd T cell 1,gd T cell 2
CID005226-1,0.0072992700729927,0.0206283719454141,0.0025388765471278,0.0012694382735639,0.1012377023167248,0.0012694382735639,0.0003173595683909,0.0165026975563313,0.0,0.0025388765471278,0.0015867978419549,0.0529990479212948,0.0003173595683909,0.0,0.0,0.0022215169787369,0.1177403998730561,0.0193589336718502,0.0,0.5011107584893685,0.0009520787051729,0.0361789907965725,0.0,0.0114249444620755,0.0145985401459854,0.0003173595683909,0.0022215169787369,0.0,0.0,0.0012694382735639,0.0,0.0009520787051729,0.0034909552523008,0.0028562361155188,0.0057124722310377,0.0022215169787369,0.0006347191367819,0.0034909552523008,0.0428435417327832,0.0,0.0044430339574738,0.0009520787051729,0.0022215169787369,0.0003173595683909,0.0012694382735639,0.0006347191367819,0.0066645509362107,0.0028562361155188,0.0025388765471278
CID005227-1,0.0029688273132112,0.0138545274616526,0.0034636318654131,0.0,0.1687283523008411,0.0024740227610094,0.0004948045522018,0.0178129638792676,0.0,0.0049480455220188,0.0044532409698169,0.0475012370113805,0.0,0.0,0.0,0.0004948045522018,0.2093023255813953,0.0326571004453241,0.0,0.3498268184067293,0.0004948045522018,0.0252350321622958,0.0,0.0133597229094507,0.020286986640277,0.0,0.0049480455220188,0.0,0.0,0.0034636318654131,0.0004948045522018,0.0,0.0029688273132112,0.0004948045522018,0.0014844136566056,0.0019792182088075,0.0009896091044037,0.0014844136566056,0.037110341415141,0.0,0.0103908955962394,0.0004948045522018,0.0019792182088075,0.0,0.0014844136566056,0.0,0.0084116773874319,0.0019792182088075,0.0014844136566056
CID005798-1,0.0,0.0932038834951456,0.0,0.0,0.0699029126213592,0.0019417475728155,0.0,0.0174757281553398,0.0,0.0252427184466019,0.0097087378640776,0.0640776699029126,0.0,0.0,0.0077669902912621,0.0097087378640776,0.0368932038834951,0.003883495145631,0.0,0.1495145631067961,0.0,0.2271844660194174,0.0,0.0097087378640776,0.0058252427184466,0.0,0.0077669902912621,0.0,0.0,0.003883495145631,0.0,0.0,0.0388349514563106,0.0,0.0796116504854368,0.0233009708737864,0.0058252427184466,0.0174757281553398,0.0446601941747572,0.0019417475728155,0.0,0.0,0.0155339805825242,0.003883495145631,0.0019417475728155,0.0116504854368932,0.0097087378640776,0.0,0.0019417475728155
CID005799-1,0.0035945363048166,0.0296549245147376,0.0260603882099209,0.0061107117181883,0.0386412652767792,0.0019769949676491,0.00431344356578,0.0061107117181883,0.0039539899352983,0.014018691588785,0.0068296189791516,0.0061107117181883,0.0,0.007548526240115,0.0019769949676491,0.0300143781452192,0.0244428468727534,0.0,0.0,0.0265995686556434,0.0,0.0212077641984184,0.0,0.0091660675772825,0.0005391804457225,0.0327102803738317,0.0017972681524083,0.0039539899352983,0.0001797268152408,0.0012580877066858,0.0001797268152408,0.00215672178289,0.0307332854061826,0.3632278936017253,0.0030553558590941,0.0127606038820992,0.0016175413371675,0.0230050323508267,0.1897915168943206,0.0025161754133716,0.0337886412652767,0.0014378145219266,0.009705248023005,0.0005391804457225,0.0158159597411933,0.0003594536304816,0.0,0.0005391804457225,0.0
CID005800-1,0.0,0.0050761421319796,0.0,0.0,0.015228426395939,0.0,0.0,0.0050761421319796,0.0,0.0,0.0050761421319796,0.0101522842639593,0.0,0.0,0.0025380710659898,0.0025380710659898,0.0710659898477157,0.0126903553299492,0.0,0.583756345177665,0.0,0.0532994923857868,0.0203045685279187,0.0609137055837563,0.0025380710659898,0.0,0.0076142131979695,0.0,0.0,0.0,0.0,0.0,0.0380710659898477,0.0,0.0,0.0,0.0203045685279187,0.0025380710659898,0.0228426395939086,0.0,0.0,0.0,0.0050761421319796,0.0025380710659898,0.0,0.0025380710659898,0.0406091370558375,0.0,0.0076142131979695
CID005801-1,0.0,0.0049710024855012,0.0012427506213753,0.0037282518641259,0.1205468102734051,0.0024855012427506,0.0008285004142502,0.0178127589063794,0.0008285004142502,0.0223695111847555,0.0236122618061309,0.1350455675227837,0.0,0.0,0.004142502071251,0.0182270091135045,0.1789560894780447,0.0008285004142502,0.0,0.0165700082850041,0.0,0.0012427506213753,0.0020712510356255,0.0070422535211267,0.0004142502071251,0.0,0.008285004142502,0.0,0.0,0.0,0.0,0.0,0.0538525269262634,0.0045567522783761,0.0004142502071251,0.0165700082850041,0.0414250207125103,0.0004142502071251,0.2870753935376968,0.0004142502071251,0.0012427506213753,0.0,0.0037282518641259,0.0,0.0074565037282518,0.0,0.008285004142502,0.0008285004142502,0.0024855012427506
CID006004-1,0.0018111840615802,0.0645234321937966,0.0138102784695494,0.0009055920307901,0.0201494226850803,0.0009055920307901,0.0029431741000679,0.0086031242925062,0.0002263980076975,0.0172062485850124,0.0040751641385555,0.0020375820692777,0.0,0.0029431741000679,0.0011319900384876,0.0190174326465927,0.0063391442155309,0.0009055920307901,0.0,0.0326013131084446,0.0,0.0176590446004075,0.0,0.0027167760923703,0.0031695721077654,0.0115462983925741,0.0002263980076975,0.0092823183155988,0.0,0.0013583880461851,0.0018111840615802,0.2460946343672175,0.0052071541770432,0.3235227529997736,0.0009055920307901,0.0067919402309259,0.0015847860538827,0.0509395517319447,0.0301109350237717,0.0002263980076975,0.0455059995472039,0.0126782884310618,0.017885442608105,0.0009055920307901,0.0081503282771111,0.0011319900384876,0.0,0.0002263980076975,0.0002263980076975
CID007374-1,0.0,0.0061261997141106,0.0032673065141923,0.0265468654278129,0.1313048805391055,0.0106187461711251,0.0163365325709618,0.0061261997141106,0.009189299571166,0.0969981621400857,0.1490708597100265,0.0083724729426179,0.0028588931999183,0.0016336532570961,0.000816826628548,0.0030630998570553,0.0,0.0,0.0,0.0,0.0,0.0046967531141515,0.000204206657137,0.000204206657137,0.0,0.0100061261997141,0.0028588931999183,0.0151112926281396,0.0,0.0,0.0071472329997957,0.0014294465999591,0.1112926281396773,0.0228711455993465,0.0,0.0424749846845007,0.0710639166836838,0.0147028793138656,0.1490708597100265,0.0261384521135389,0.0053093730855625,0.0049009597712885,0.0171533591995099,0.0,0.0014294465999591,0.0,0.000204206657137,0.0193996324280171,0.0
CID007376-1,0.0068098480880041,0.0479308538501833,0.0070717653221581,0.0036668412781561,0.2925615505500262,0.0138816134101623,0.003404924044002,0.0123101100052383,0.000261917234154,0.0639078051335777,0.0426925091671031,0.0785751702462022,0.0,0.000261917234154,0.000523834468308,0.0324777370350969,0.1238868517548454,0.001833420639078,0.0,0.0670508119434258,0.000785751702462,0.0209533787323205,0.0,0.0039287585123101,0.003404924044002,0.0,0.0039287585123101,0.002357255107386,0.0,0.0,0.0081194342587742,0.001833420639078,0.0083813514929282,0.0110005238344683,0.000261917234154,0.0165007857517024,0.000523834468308,0.0191199580932425,0.0523834468308014,0.001047668936616,0.0230487166055526,0.0091671031953902,0.003404924044002,0.0049764274489261,0.0049764274489261,0.0,0.0,0.000785751702462,0.0
CID007378-1,0.0105177993527508,0.0134843581445523,0.0029665587918015,0.0021574973031283,0.1103020496224379,0.0032362459546925,0.000269687162891,0.0080906148867313,0.000539374325782,0.0140237324703344,0.0088996763754045,0.1391585760517799,0.000539374325782,0.0013484358144552,0.000539374325782,0.0172599784250269,0.2745415318230852,0.006202804746494,0.0,0.2219525350593311,0.0070118662351672,0.0129449838187702,0.0,0.0221143473570658,0.0072815533980582,0.0,0.0067421790722761,0.0,0.0,0.0008090614886731,0.000539374325782,0.0013484358144552,0.005933117583603,0.0032362459546925,0.0016181229773462,0.0053937432578209,0.0018878101402373,0.0043149946062567,0.0552858683926645,0.0045846817691477,0.0107874865156418,0.000269687162891,0.000269687162891,0.0,0.0018878101402373,0.0016181229773462,0.005933117583603,0.0021574973031283,0.0
