,CID005093-1,CID005215-1,CID005217-1,CID005219-1,CID005222-1,CID005224-1,CID005225-1,CID005416-1,CID005418-1,CID005420-1,CID005422-1,CID005424-1,CID005425-1,CID005614-1,CID005616-1,CID005618-1,CID005620-1,CID005844-1,CID005845-1,CID005860-1,CID005868-1,CID005874-1,CID005875-1,CID006320-1,CID006322-1,CID006328-1,CID006331-1,CID006336-1,CID006340-1,CID006468-1,CID006469-1,CID006478-1,CID006480-1,CID006484-1,CID006486-1,CID006493-1,CID006494-1,CID006494-2,CID006515-1,CID006527-1,CID006542-1,CID006544-1,CID006548-1,CID006551-1,CID007329-1,CID007330-1,CID007338-1,CID007346-1,CID007352-1,CID007358-1,CID007659-1,CID007661-1,CID007664-1,CID007665-1,CID007666-1,CID007667-1,CID007672-1,CID007676-1,CID007681-1,CID007688-1,CID007694-1,CID007697-1,CID007704-1,CID007707-1,CID007825-1,CID007827-1,CID007829-1,CID007845-1,CID007847-1,CID007849-1,CID008109-1,CID008114-1,CID008122-1,CID008457-1,CID008459-1,CID008460-1
Epithelium,0.0,0.0,0.009590350926585544,0.0,0.0,0.17268716750440952,0.05991291001193341,0.0,0.7657917179352577,0.0,0.071748386690937,0.12912847371209615,0.0,0.0,0.0,0.0,0.0,0.0,0.05651703829268521,0.0,0.05165211701525044,0.0,0.0,0.0,0.026854190278708254,0.0,0.0,0.0,0.0,0.0,0.03127916390350173,0.0,0.0,0.0,0.0,0.0,0.0,0.06364445645217695,0.019082534591515862,0.0,3.326559650682659e-05,0.028091482327228905,0.0,0.06667118472225188,0.0,0.2327039270976455,0.028631578375459488,0.10205354205342239,0.0,0.0,0.046185878321682874,0.06448937346109392,0.023458602444320017,0.0,0.0,0.0,0.0,0.010227000214709334,0.054739741491792976,0.19440011136771188,0.06736023719023422,0.0,0.002787078709612292,0.047737087704870354,0.0,0.0,0.0,0.08838376661514985,0.0,0.0,0.024267497097756465,0.0,0.020325136823498218,0.0,0.0,0.0
Myeloid,0.0,0.016895234450971783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011066936832465419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19896405324738198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroma,0.037312726076298104,0.0,0.0,0.16635271144967873,0.09998948379689816,0.0,0.040018318996244244,0.14551539289664026,0.1425456409059599,0.4680756520510447,0.01742063857988983,0.0,0.0,0.0,0.0072058955731826345,0.07939008153848362,0.0,0.13914201593140965,0.0,0.12200893602690331,0.1453513146369735,0.0,0.0,0.10865483677736833,0.049576950023153134,0.20181862332192702,0.0,0.08151566397852406,0.0,0.0,0.0,0.1028349155391702,0.10245839857852893,0.040589531385545,0.0,0.015038136918402048,0.03196606258519286,0.07972941779462958,0.018332756687061497,0.5206445262073606,0.0,0.09570187747802675,0.05806744326647794,0.4815062117922005,0.13919225911169458,0.2272968157044906,0.060806206130182526,0.09819880666401067,0.0,0.0,0.0,0.1005791121333753,0.14459594264857953,0.03678724686929887,0.03552645456038486,0.0,0.05270633765141506,0.004969089494571452,0.0,0.0764097021906251,0.029333390514500925,0.03413119315541686,0.0887166013131544,0.0,0.0,0.0,0.0,0.13414703352567775,0.0,0.0,0.0,0.0,0.029240978836170252,0.18639277413379277,0.08218860729263018,0.22769882182704534
T Cell,0.0,0.10825148130684205,0.0,0.0,0.0,0.0,0.024493238964657972,0.0,0.0545882866104652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033838706492240266,0.0,0.0,0.02349434607355648,0.0,0.0,0.0,0.000889863393494786,0.0,0.04149795158822869,0.0,0.00913510469196637,0.0,0.0,0.0,0.04018439920974116,0.036098040001750674,0.0,0.0,0.0,0.16322406697783123,0.0,0.3410352039504819,0.0012159687830206342,0.05179797440485864,0.0,0.0,0.0,0.06149125312053885,0.0,0.0,0.0,0.02417942953594208,0.0,0.0,0.0,0.0,0.0,0.0,0.025696512970075948,0.0,0.0,0.0,0.02880203463278354,0.030565958289292205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other3,0.9626872739237019,0.8748532842421862,0.9904096490734144,0.8336472885503212,0.9000105162031018,0.8273128324955906,0.8755755320271644,0.8544846071033597,0.037074354548317194,0.5208574111164899,0.9108309747291732,0.8708715262879039,1.0,1.0,0.9927941044268174,0.9206099184615164,1.0,0.8608579840685904,0.9434829617073147,0.8779910639730967,0.8029965683477761,1.0,1.0,0.8575064567303914,0.9235688596981385,0.7981813766780729,0.9765056539264435,0.9184843360214759,1.0,1.0,0.9678309727030036,0.8971650844608298,0.8560436498332424,0.959410468614455,0.9908648953080337,0.9849618630815979,0.9680339374148071,0.8566261257531934,0.9224003095116814,0.4432574337908888,0.9999667344034932,0.8762066401947444,0.941932556733522,0.28859853650771633,0.8608077408883054,0.0,0.9093462467113373,0.7479496768777082,1.0,1.0,0.953814121678317,0.773440261284992,0.8319454549071005,0.9632127531307011,0.9644735454396152,0.975820570464058,0.9472936623485849,0.9848039102907191,0.945260258508207,0.729190186441663,0.9033063722952648,0.9658688068445831,0.8827998070071573,0.9522629122951296,1.0,1.0,0.9711979653672165,0.7469032415698802,1.0,1.0,0.9757325029022436,1.0,0.9504338843403315,0.8136072258662073,0.9178113927073698,0.7723011781729547
