,CID005226-1,CID005227-1,CID005798-1,CID005799-1,CID005800-1,CID005801-1,CID006004-1,CID007374-1,CID007376-1,CID007378-1,CID007380-1,CID007382-1,CID007384-1,CID007386-1,CID007790-1,CID007792-1,CID007794-1,CID007796-1,CID007798-1,CID007800-1,CID007802-1,CID007804-1,CID008392-1,CID008394-1,CID008396-1,CID008398-1,CID008400-1,CID008402-1,CID008404-1,CID008406-1
B Cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2214773249503133,0.0,0.0,0.0,0.0,0.0,0.0,0.12215820840236608,0.0,0.0,0.0,0.0,0.0,0.006472811731538008,0.0,0.0,0.07236108420040126,0.0,0.0,0.0,0.0,0.0,0.0
Myeloid,0.0,0.0,0.0,0.49494575867367785,0.0,0.0,0.45334393164951015,0.2568230528798785,0.0,0.0,0.0,0.2897047819770406,0.0,0.0,0.18516530501761694,0.0,0.04183827724815814,0.0,0.17321760830300084,0.1732884189784275,0.21700991810975598,0.07145994450602543,0.0,0.41401166399244405,0.07948699743795558,0.0,0.0,0.0,0.0,0.0
Stroma,0.0,0.0,0.2090573437423413,0.32617083307856864,0.0,0.0,0.39747507282558786,0.24267345228350687,0.05859325018270412,0.0,0.050431813346453344,0.2467841389737744,0.0,0.03019199054459949,0.10989083555395361,0.0,0.1790188682811913,0.0,0.3064808718471309,0.11835774264429486,0.32164317707274553,0.0,0.0,0.184291553819359,0.058813470010672025,0.07981736399718106,0.031301839241907235,0.0,0.0,0.06705612268494167
T Cell,0.0,0.018824762549844776,0.12248102375990286,0.1788834082477535,0.0,0.04537313797783025,0.149180995524902,0.2790261698863013,0.06370387327011104,0.0,0.07348210306285283,0.3615129654453364,0.0007871216289593794,0.0,0.36131892653463454,0.12255241098731172,0.18581170070889635,0.0,0.200540779170979,0.1936889403274125,0.4372992142599871,0.11532785951963072,0.0,0.32933569798779566,0.42603061389368063,0.029599578486824468,0.11600749181933072,0.053247940560430834,0.0,0.17088546991583206
Other1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other2,1.0,0.9811752374501552,0.6684616324977558,0.0,1.0,0.9546268620221697,0.0,0.0,0.8777028765471848,1.0,0.8760860835906938,0.1019981136038486,0.9992128783710407,0.9698080094554005,0.2214667244914288,0.8774475890126883,0.5933311537617542,1.0,0.31976074067888927,0.5146648980498651,0.01757487882597337,0.8132121959743439,1.0,0.0,0.4356689186576918,0.8905830575159944,0.852690668938762,0.9467520594395692,1.0,0.7620584073992263
