,CID005226-1,CID005227-1,CID005798-1,CID005799-1,CID005800-1,CID005801-1,CID006004-1,CID007374-1,CID007376-1,CID007378-1,CID007380-1,CID007382-1,CID007384-1,CID007386-1,CID007790-1,CID007792-1,CID007794-1,CID007796-1,CID007798-1,CID007800-1,CID007802-1,CID007804-1,CID008392-1,CID008394-1,CID008396-1,CID008398-1,CID008400-1,CID008402-1,CID008404-1,CID008406-1
B Cell,0.0,0.0,0.0,0.0,0.08926651828991782,0.3424303409717305,0.0,0.025896637185495598,0.0,0.0,0.0,0.0,0.10395495784650838,0.0,0.2719247079314538,0.28071880251867365,0.0,0.0,0.0,0.11670316932440841,0.09719189677634497,0.2114336556400902,0.0,0.0,0.10530169098620926,0.0,0.0,0.0,0.06695483422549263,0.0
Epithelium,0.11113758253268033,0.16680065466981847,0.0,0.0,0.25773229091963634,0.31681293552963025,0.0,0.0,0.0,0.031440748753319196,0.0032832484078735907,0.0,0.25959393129983965,0.007214425523539188,0.10292943729805931,0.2024809567539442,0.0,0.10719810866304944,0.0,0.0,0.0,0.266709927939439,0.06428360118925949,0.0,0.0,0.048680233716590846,0.040051882755985174,0.08855651574965631,0.20059317242270958,0.0
Myeloid,0.0,0.0,0.0,0.031430075219901134,0.0,0.09382223194483783,0.0,0.0,0.0,0.0,0.0,0.022875278519395675,0.013927769247011937,0.0,0.07160739524384449,0.03884735596912117,0.0,0.0,0.0,0.02863951481440088,0.0,0.18619858854332796,0.0,0.11195328861641611,0.0,0.0,0.0,0.0,0.03149565022000278,0.0
T Cell,0.0,0.029307809170818502,0.0,0.0,0.0,0.18456520939010432,0.0,0.016884656659922007,0.03588130999281872,0.0,0.0,0.06287972777140222,0.20508246424835616,0.006867185144671801,0.17258536142021688,0.24162985241496407,0.0004461172705858867,0.008447434273482277,0.0,0.056811736991713956,0.07309489691096903,0.32981629914469646,0.05781855840071844,0.06890094027491325,0.14875042581747758,0.0,0.058180064209598224,0.05546093087612377,0.13769832978766747,0.04372305018707836
Other1,0.0,0.0,0.0,0.0,0.0,0.06236928216369714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005841528732446596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other3,0.8888624174673196,0.803891536159363,1.0,0.968569924780099,0.6530011907904459,0.0,1.0,0.9572187061545824,0.9641186900071812,0.9685592512466809,0.9967167515921264,0.9142449937092021,0.4174408773582839,0.985918389331789,0.3809530981064255,0.23632303234329682,0.9995538827294141,0.8843544570634684,1.0,0.7978455788694767,0.829713206312686,0.0,0.8778978404100221,0.8191457711086706,0.7459478831963132,0.9513197662834093,0.9017680530344167,0.8559825533742199,0.5632580133441276,0.9562769498129217
