,CID005226-1,CID005227-1,CID005798-1,CID005799-1,CID005800-1,CID005801-1,CID006004-1,CID007374-1,CID007376-1,CID007378-1,CID007380-1,CID007382-1,CID007384-1,CID007386-1,CID007790-1,CID007792-1,CID007794-1,CID007796-1,CID007798-1,CID007800-1,CID007802-1,CID007804-1,CID008392-1,CID008394-1,CID008396-1,CID008398-1,CID008400-1,CID008402-1,CID008404-1,CID008406-1
B Cell,0.0,0.0,0.0,0.0,0.15708015417963261,0.04786837447429773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09098006313534504,0.009439642698442115,0.0,0.0,0.0,0.0,0.004251481329662811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Epithelium,0.15552428290601578,0.12353451699500656,0.013580715997324582,0.0,0.3588475577373831,0.04684315594326512,0.0,0.0,0.0,0.06855787770989857,0.0,0.0,0.04073856172795694,0.03307138065885525,0.0,0.0,0.0,0.10545184233037522,0.0,0.0,0.0,0.0,0.023112834002243118,0.0,0.0,0.044487953704229595,0.0,0.044992490545906975,0.0422307554514284,0.0
Myeloid,0.0,0.0,0.0,0.07763407396114076,0.0,0.0,0.10197238855650882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030733492996309852,0.0,0.0,0.0,0.0,0.0,0.0
Stroma,0.01728923941482339,0.0,0.17741552267516128,0.049650389744291146,0.0505526027081969,0.0,0.16735615773577647,0.0,0.026627849323788495,0.004254708384984702,0.0038505916973617374,0.0,0.0,0.050484174826226115,0.0,0.0,0.0,0.0,0.06855976451609035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other3,0.8271864776791608,0.8764654830049934,0.8090037613275142,0.8727155362945681,0.4335196853747874,0.9052884695824371,0.7306714537077147,1.0,0.9733721506762115,0.9271874139051167,0.9961494083026383,1.0,0.959261438272043,0.9164444445149187,0.909019936864655,0.9905603573015579,1.0,0.8945481576696248,0.9314402354839096,1.0,0.9957485186703372,1.0,0.9768871659977568,0.9692665070036901,1.0,0.9555120462957705,1.0,0.9550075094540931,0.9577692445485716,1.0
