,CID003352-2,CID003353-1,CID003354-1,CID003355-1,CID003356-1,CID003357-1,CID003358-1,CID003359-1,CID003360-1,CID003361-1,CID003362-1,CID003363-1,CID003364-1,CID003365-1,CID003366-1,CID003367-2,CID003368-1,CID003369-1,CID003370-1,CID003371-2,CID003372-1,CID003373-1,CID003374-1,CID003375-1,CID003376-1,CID003377-1,CID003378-1,CID003379-1,CID003380-1,CID003381-1,CID003382-1,CID003383-1,CID003384-1,CID003385-1,CID003386-1,CID003665-1,CID003666-1,CID003667-1,CID003669-1,CID003670-1,CID003671-1,CID003672-1,CID003673-1,CID003674-1,CID003675-1,CID003676-2,CID003677-1,CID003678-1,CID003679-1,CID003680-1,CID003681-1,CID003682-1,CID003683-1,CID004696-1,CID004697-1,CID004698-1,CID004699-1,CID004700-1,CID004701-1,CID004702-1,CID004703-1,CID004704-1,CID004705-1,CID004706-1,CID004707-1,CID004708-1,CID004709-1,CID004710-1,CID004711-1,CID004712-1,CID004713-1,CID004714-1,CID004715-1,CID004716-1,CID004717-1,CID004718-1,CID004719-1,CID004720-2,CID004721-1,CID004722-1,CID004723-1,CID004724-1,CID004725-1,CID004726-1,CID004727-1,CID004728-1,CID004729-1,CID004730-1,CID004731-1,CID004732-1,CID004733-1,CID004734-1,CID004735-1,CID004736-1,CID004737-1,CID004738-1,CID004739-1,CID004740-1,CID004741-1,CID004742-1,CID004743-1,CID004744-1,CID004745-1,CID004746-1,CID004747-1,CID004748-1,CID004749-1,CID004750-1,CID004751-1,CID004752-1,CID004753-1,CID004754-1,CID004755-1,CID004756-1,CID004757-1,CID004758-1,CID005704-1,CID005705-1,CID005706-1,CID005707-1,CID005708-1,CID005709-1,CID005710-1,CID005711-1,CID005712-1,CID005713-1,CID005714-1,CID005715-1,CID005716-1,CID005717-1,CID005718-1,CID005719-1,CID005720-1,CID005721-1,CID005722-1,CID005723-1,CID005724-1,CID005725-1,CID005726-1,CID005727-1,CID005728-1,CID005729-1,CID005730-1,CID005731-1,CID005732-1,CID005733-1,CID005734-1,CID005735-1,CID005736-1,CID005737-1,CID005738-1,CID005739-1,CID005740-1,CID005741-1,CID005742-1,CID005743-1,CID005744-1,CID005745-1,CID005746-1,CID005747-1,CID005748-1,CID005749-1,CID005750-1,CID005751-1,CID005752-1,CID005753-1,CID005754-1,CID005755-1,CID005756-1,CID005757-1,CID005758-1,CID005759-1,CID005760-1,CID005761-1,CID005762-1,CID005763-1,CID005764-1,CID005765-1,CID005766-1,CID005767-1,CID005768-1,CID005769-1,CID005770-1,CID005771-1,CID005772-1,CID005773-1,CID005774-1,CID005775-1,CID005776-1,CID005777-1,CID005778-1,CID005779-1,CID005780-1,CID005781-1,CID005782-1,CID006558-1,CID006559-1,CID006560-1,CID006560-2,CID006561-1,CID006562-1,CID006563-1,CID006564-1,CID006565-1,CID006566-1,CID006567-1,CID006568-1,CID006569-1,CID006570-1,CID006571-1,CID006572-1,CID006573-1,CID006574-1,CID006575-1,CID006576-1,CID006577-1,CID006578-1,CID006579-1,CID006580-1,CID006581-1,CID006582-1,CID006583-1,CID006584-1
B Cell,0.20065770034989464,0.0,0.0,0.0031609902159549976,0.03937760123232452,0.010521305174915877,0.0,0.0,0.06479329749527443,0.0,0.0,0.00959371746668696,0.04046979072372222,0.0,0.31080397729662146,0.19316852053797073,0.010097181858503142,0.0,0.011684282057157123,0.035100299951667024,0.11616936039513331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36195669295558275,0.0,0.0,0.22757725841828924,0.19357534063564766,0.26661415244051645,0.23316283639731086,0.10629791309279903,0.0,0.08171286284005878,0.0,0.0,0.0,0.0,0.014235056588945734,0.0,0.0,0.0,0.0,0.0704515700827857,0.06020451677664039,0.056243007294112496,0.0,0.0,0.03147613339470432,0.0,0.15406070606046499,0.0,0.0880123566383228,0.0,0.027133294792383102,0.0,0.1284650791732262,0.0,0.0,0.0,0.013640064805020271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04382656687397499,0.02575238999061506,0.0,0.0,0.0,0.0,0.05047249549702359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06684916855619909,0.0,0.0,0.16612250795222655,0.0,0.021854397732080845,0.0,0.0,0.2085335664005639,0.0,0.0,0.0,0.0,0.04258360669197678,0.0,0.0,0.0,0.0,0.0,0.0,0.053314138286144785,0.12569333771427907,0.0,0.22633980285115826,0.21237830280161482,0.0,0.024892469906224988,0.021659702747171935,0.0,0.0,0.018382130211932347,0.19367215365301,0.0,0.0,0.006918661271657848,0.06167431590788691,0.0,0.18753262184576108,0.0,0.0,0.0,0.17593754887214344,0.011456291746596877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2413575182664555,0.0,0.0665172698670193,0.0,0.05291687847231868,0.13894818200675332,0.0,0.0,0.0,0.0,0.0,0.0,0.006936443908411211,0.1228033732502458,0.04889713718487408,0.0,0.28035719558497935,0.0,0.004768394433239996,0.0,0.03372304202494993,0.25221593794221997,0.02734413509491613,0.006704258735731186,0.0,0.22171534069949214,0.0,0.006772398032492162,0.019567120065797458,0.0,0.0,0.0,0.0,0.1017532195046759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026324729217226745,0.0,0.0,0.0,0.15564004950084162,0.1427316507682118,0.0,0.38040537317549544,0.12021459826964187,0.060715924944933365,0.15971853575493125,0.0,0.0,0.2808453133437397,0.163293871183908,0.0,0.0,0.04290515727708559,0.04724482962131907,0.2432588554242306,0.22156135208007227,0.1310652079842429,0.06212927535994698,0.28399219086505995,0.1594366507171002,0.2141549956918627,0.14442848623057794
Myeloid,0.0386429772892878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08745241139700326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14348300217748694,0.0,0.0,0.037508686042744654,0.06282935024931,0.0,0.05251723643347935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05309929263049062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03784585345769844,0.0,0.03713720854485938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031029328952905028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07834262281170476,0.0,0.1575079804982363,0.0,0.0,0.0,0.0,0.06657060790550856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079850189643004,0.0,0.0,0.0,0.0,0.0,0.011896929704043989,0.09171034134241565,0.0,0.018052067759586825,0.08018291530901461,0.0,0.029287035645097093,0.0
Stroma,0.49449716728246323,0.0,0.0,0.0,0.04450139822475512,0.0,0.0,0.04108100484455795,0.08490291577104109,0.0,0.0,0.0,0.1567352348513644,0.0,0.2841559396434608,0.17751294376887644,0.01578689042497659,0.0,0.0,0.0,0.082207278438443,0.0,0.0,0.0,0.06690109093042924,0.0,0.0,0.0,0.0,0.020130580435207317,0.0,0.0,0.0,0.0,0.20407835408703442,0.0,0.0,0.45494815008149214,0.48129977809819585,0.40372188817960053,0.1833811195255808,0.056410315706671155,0.0,0.1209776800411126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13189894666391844,0.1378655618519142,0.09008632767261031,0.015825321328438943,0.003581804786612851,0.19705466409972835,0.0,0.14901241233657758,0.08365109115845594,0.0,0.0,0.0,0.0,0.13028427662973757,0.09062945319548872,0.0,0.0,2.269481365970374e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016031734758583882,0.0,0.0,0.0,0.0,0.033260462042213806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003122762421821693,0.0,0.0,0.0,0.12412367466187786,0.0,0.04844720201596227,0.2875103779191865,0.0,0.011103265107118744,0.03214905368949552,0.0,0.05045507854563312,0.033705010598039056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575674816488197,0.6696913570252193,0.0028088042108696757,0.4499114118046973,0.21342794038167845,0.0,0.03177123734590172,0.1409918383896521,0.0,0.13116483756470565,0.07942825722309825,0.6233341159464264,0.0,0.0022920340774309866,0.060485554225599786,0.28810660005491123,0.1122141368547105,0.4432348746040109,0.0,0.0,0.13056780642721882,0.30251559416248197,0.1534313836643189,0.0,0.0,0.0,0.0,0.0,0.0,0.062374269207978776,0.0,0.0,0.018291332926991165,0.0,0.0,0.0,0.0,0.23153068885839626,0.0,0.032510569700755776,0.020285874501270833,0.20664887115822353,0.0,0.21631867451472014,0.22696274940721733,0.0,0.0,0.0,0.0,0.15067191776468297,0.0,0.0,0.23514594733442265,0.0,0.0,0.1499315230584102,0.0,0.0,0.0,0.09419269975800781,0.2236080310913447,0.20492033058853001,0.10476456190921943,0.0,0.16737925486498723,0.0011427303846553642,0.06118901694276902,0.0,0.0,0.0,0.0,0.0,0.17102605189857037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038100591302628176,0.024529869983034004,0.06585795583299942,0.12760885093836757,0.1545981050112759,0.0,0.14931303881252914,0.2507088805069091,0.2117413118502567,0.06794493635053661,0.0,0.0,0.32665368667139133,0.2739311292433267,0.0,0.009598453777901042,0.1418391435316936,0.009401995386904593,0.5556939774524767,0.45996400627107964,0.34596031421145124,0.09818715295656007,0.28725547071186286,0.17497356687634233,0.45644055811316153,0.43368084290841974
T Cell,0.12152468244659902,0.0,0.0,0.0,0.07851392367166483,0.0,0.0,0.0,0.019858804726889386,0.0,0.0,0.0,0.031069647744795637,0.0,0.25190775137158533,0.13481206554025674,0.002181586243160046,0.0,0.029462431503538025,0.017116004502097017,0.1645350136623139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059332562824925036,0.0,0.0,0.0,0.0,0.2904819507798959,0.0,0.0,0.19093684813201073,0.17099817279495902,0.09831749592355271,0.13434788446176274,0.090276181575158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087381308252637,0.06850401441062821,0.052649038283602075,0.0,0.0,0.00867059161218634,0.0,0.07443271860435483,0.0,0.06574631919731423,0.0,0.0004002535074812521,0.0,0.07731329022416476,0.013824666363034884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016660619710668272,0.0,0.0,0.0,0.0,0.007295597046891067,0.0,0.0,0.0,0.0,0.10317266439241142,0.0,0.0,0.0,0.021842787731336136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1570956856943892,0.0,0.0,0.0,0.0,0.04781076706092293,0.0,0.0,0.0,0.0,0.0,0.0,0.12948727154441508,0.13769092966395127,0.0,0.18512499911119124,0.10294044216372841,0.0,0.0,0.0,0.0,0.0,0.0,0.14746949282054558,0.0,0.0,0.0,0.15056237221638444,0.0,0.07752875818230669,0.0,0.0,0.0,0.14655457139365174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08526556174601779,0.0,0.0900369674967695,0.0,0.17525171988660093,0.1195002885265465,0.0,0.0,0.0,0.0,0.0,0.0,0.11351058280367808,0.07468337842124183,0.13136931435326107,0.0,0.30658902932040927,0.0,0.09855469852449641,0.0,0.10151807257861355,0.27283354655998826,0.04080665844569875,0.09844298075159623,0.0,0.2114892028148235,0.0,0.0,0.0,0.0,0.0062769419503575985,0.0,0.0054869383872388705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018429704403194982,0.017376233930253223,0.0,0.0,0.0,0.06854527549808866,0.010579924319694246,0.0,0.18749762469751766,0.13741307095275468,0.09938510105272003,0.2941030442860349,0.0,0.0,0.22082345664148945,0.05895345585008586,0.0,0.0,0.10380953387093345,0.05066731105322266,0.16248867067839998,0.19237047807869828,0.09198577716194367,0.13131398617878867,0.26985778917964354,0.05768969729581354,0.229646562451357,0.1255519709146254
Other1,0.14467747263175523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06567992029132914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0912973582218875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07165349239741826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03439382222773421,0.0,0.0,0.0787116339344191,0.0,0.07047084809852182,0.052192496274532506
Other2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other3,0.0,1.0,1.0,0.996839009784045,0.8376070768712556,0.9894786948250841,1.0,0.9589189951554421,0.8304449820067952,1.0,1.0,0.9904062825333131,0.7717253266801177,1.0,0.0,0.49450647015289617,0.9719343414733601,1.0,0.9588532864393049,0.947783695546236,0.6370883475041098,1.0,1.0,1.0,0.9330989090695707,1.0,1.0,1.0,1.0,0.9205368567398676,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.08902905732546326,0.0,0.23134646345633028,0.39659092318186623,0.7470155896253718,1.0,0.7973094571188286,1.0,1.0,1.0,1.0,0.9857649434110543,1.0,1.0,1.0,1.0,0.7102681750006589,0.7334259069608172,0.8010216267496751,0.9841746786715612,0.9964181952133871,0.7627986108933809,1.0,0.6224941629986026,0.9163489088415441,0.8462413241643629,1.0,0.9724664517001357,1.0,0.6639373539728715,0.8955458804414764,1.0,1.0,0.9863372403813201,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9142083529002573,1.0,1.0,1.0,0.956173433126025,0.9336915509202801,1.0,1.0,1.0,1.0,0.8463548401105649,1.0,1.0,1.0,0.9750344498468422,1.0,1.0,1.0,0.809027156781923,1.0,0.9515527979840377,0.546367114128587,1.0,0.9670423371608003,0.9678509463105045,1.0,0.5839156693594139,0.966294989401961,1.0,1.0,1.0,0.9096056262471004,1.0,1.0,1.0,1.0,1.0,1.0,0.24152377368124314,0.029078522138851877,0.9971911957891303,0.10148657768809392,0.4712533146529783,1.0,0.9433362927478733,0.8373484588631759,1.0,0.8688351624352944,0.9021896125649693,0.004494908627112957,1.0,0.997707965922569,0.9325957845027424,0.4996567118208175,0.8877858631452895,0.22005025297050315,1.0,1.0,0.8694321935727812,0.3749922855717227,0.8351123245890842,1.0,1.0,1.0,1.0,1.0,1.0,0.9376257307920212,1.0,1.0,0.9817086670730089,1.0,1.0,1.0,1.0,0.7684693111416037,1.0,0.640866350286771,0.9797141254987292,0.6367968914779877,1.0,0.5555127271263602,0.5145887800594828,1.0,1.0,1.0,1.0,0.849328082235317,1.0,0.8795529732879107,0.5673673009940897,0.7413909256501601,1.0,0.10561427153796489,1.0,0.8966769070422635,1.0,0.7705661856384287,0.18477187650093854,0.7269288758708552,0.7900881986034531,1.0,0.39941620162069724,0.9988572696153446,0.9320385850247388,0.9804328799342026,1.0,0.9937230580496424,1.0,0.9945130616127611,0.7272207285967537,1.0,1.0,1.0,1.0,1.0,1.0,0.981570295596805,0.95629903685252,0.9618994086973718,0.975470130016966,0.9341420441670005,0.6482058240627021,0.692090319900818,1.0,0.28278396331445776,0.49166345027069447,0.6281576621520898,0.47823348360849716,1.0,1.0,0.16369252437907914,0.5038215437226794,1.0,0.9904015462220989,0.7114461653202873,0.8926858639385536,0.026661566740848717,0.0,0.4309887006423622,0.6903175177451175,0.0,0.6079000851107439,0.0,0.24414620367184453
