,CID005093-1,CID005215-1,CID005217-1,CID005219-1,CID005222-1,CID005224-1,CID005225-1,CID005416-1,CID005418-1,CID005420-1,CID005422-1,CID005424-1,CID005425-1,CID005614-1,CID005616-1,CID005618-1,CID005620-1,CID005844-1,CID005845-1,CID005860-1,CID005868-1,CID005874-1,CID005875-1,CID006320-1,CID006322-1,CID006328-1,CID006331-1,CID006336-1,CID006340-1,CID006468-1,CID006469-1,CID006478-1,CID006480-1,CID006484-1,CID006486-1,CID006493-1,CID006494-1,CID006494-2,CID006515-1,CID006527-1,CID006542-1,CID006544-1,CID006548-1,CID006551-1,CID007329-1,CID007330-1,CID007338-1,CID007346-1,CID007352-1,CID007358-1,CID007659-1,CID007661-1,CID007664-1,CID007665-1,CID007666-1,CID007667-1,CID007672-1,CID007676-1,CID007681-1,CID007688-1,CID007694-1,CID007697-1,CID007704-1,CID007707-1,CID007825-1,CID007827-1,CID007829-1,CID007845-1,CID007847-1,CID007849-1,CID008109-1,CID008114-1,CID008122-1,CID008457-1,CID008459-1,CID008460-1
B Cell,0.2186053220872881,0.18240034113996856,0.0026438333165612277,0.257696211776786,0.1568597337512774,0.0,0.0,0.24560889386420084,0.0,0.13173297741297432,0.0,0.0,0.24446951004866047,0.020245028069196654,0.021742016300003858,0.24177031512340516,0.12361315547394415,0.17869305095728752,0.0,0.27817426473993945,0.0,0.007689796594714205,0.07921209136747259,0.062115070988068344,0.0,0.07347444999817747,0.1539063678516839,0.030499160624747706,0.13926158190104337,0.02954759588771242,0.0,0.15703436739738716,0.053157495286245,0.152341702963899,0.10864228314149874,0.04176682573776541,0.09927428519884994,0.0,0.005882546970568968,0.014313178761214565,0.022594399809241463,0.0,0.2858045074988348,0.0,0.21963638762230872,0.0,0.0,0.0,0.08475127197287452,0.16461195466262538,0.006409400495071897,0.0,0.008537444529727262,0.2511470193748888,0.06777940894077678,0.04679160450337694,0.12573922367658805,0.0,0.0,0.0,0.0,0.17792133236393395,0.007536285633289086,0.0,0.11229180571025296,0.06208142947114489,0.3213575905296947,0.0,0.07543233835115862,0.09211981186237156,0.0068408114548989245,0.06802814961763892,0.007926421426183966,0.1447678868709482,0.022390972428747657,0.013597335503122551
Myeloid,0.0,0.25459137789441144,0.0,0.0,0.0,0.0,0.0,0.04624513893076105,0.0,0.1411480035395418,0.0,0.0,0.014872324921417976,0.0,0.0,0.03937192183564992,0.0,0.0,0.0,0.032310647505145694,0.0,0.0,0.0,0.0,0.0,0.0,0.035293128995591956,0.0,0.010690631601904225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011106758645589776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05774243286789257,0.0,0.0,0.0,0.0,0.0,0.0,0.025944407853005485,0.0,0.0
Stroma,0.3678484654151101,0.0,0.0,0.5438071414263602,0.2846709721983787,0.0,0.0,0.46953797942720776,0.0,0.6218424847363749,0.0011179741243302725,0.0,0.17495025363442201,0.0,0.03796924221685641,0.38490262802176645,0.11843504360324895,0.4034644728648708,0.0,0.4832331416201778,0.08573854745419185,0.0,0.0,0.19198993924560256,0.013763032024859661,0.31665862270144796,0.0,0.1062913318147403,0.14321109215298092,0.0,0.0,0.24433696041683733,0.16256791567720358,0.199968680672799,0.019837484817512945,0.08436280348708126,0.15702455969823134,0.03448423265940988,0.04640679801312712,0.6020691937735111,0.0,0.0819559065746341,0.4227874168709724,0.2891276453964123,0.5775414908235965,0.0046790909715762495,0.01899548376780419,0.0,0.06130080069877018,0.17007806279009519,0.0,0.04034525426341782,0.0810797474936927,0.3269527054742759,0.12271663692940989,0.0,0.19844521656950392,0.028351327442329825,0.0,0.0,0.0,0.24431773296914372,0.10830116203906638,0.0,0.0,0.0,0.24497351333329143,0.09248920239579293,0.0,0.0,0.0,0.0,0.0,0.37805394952746585,0.1381051628953617,0.24550147290167204
T Cell,0.11383722175526056,0.4231284121363037,0.0,0.18782884794705815,0.1432766693059267,0.0,0.0,0.16912463448004814,0.0,0.10527653431110894,0.0,0.0,0.012158440845212254,0.0,0.0,0.13915547567368372,0.09128912971798919,0.052033567108084745,0.0,0.12949194498936256,0.0,0.0,0.05202360863373495,0.09554907976926859,0.0,0.002556799643165833,0.18857983729164998,0.0,0.11940835211787847,0.0,0.0,0.07111566956440932,0.10558100410414388,0.07444436060906033,0.1477890477739342,0.006169018552950041,0.08113221932748718,0.0,0.020698350242799,0.058944394936103345,0.015618693762089362,0.0,0.15340646331128846,0.0762692818560867,0.15241810910092132,0.06930742371022032,0.0,0.0,0.0,0.1025603871942424,0.0013623545958091217,0.0,0.0,0.11757541333770812,0.05719551589324884,0.08470077898649109,0.008984438290629075,0.0,0.0,0.0,0.0,0.0721962561762348,0.025278481976070903,0.0,0.016018633110488283,0.0,0.32340014193570266,0.0,0.0301369296832463,0.006295548446823175,0.0,0.05292537550796752,0.0,0.06866269328450483,0.0,0.0
Other1,0.0,0.0,0.0,0.01066779884979571,0.0,0.0,0.0,0.06948335329778237,0.0,0.0,0.0,0.0,0.06549958273521146,0.0,0.0,0.0,0.0,0.0,0.0,0.07679000114537458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03929725380758366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other3,0.2997089907423412,0.1398798688293163,0.9973561666834387,0.0,0.41519262474441715,1.0,1.0,0.0,1.0,0.0,0.9988820258756698,1.0,0.48804988781507586,0.9797549719308033,0.9402887414831398,0.19479965934549476,0.6666626712048177,0.365808909069757,1.0,0.0,0.914261452545808,0.9923102034052859,0.8687642999987925,0.6503459099970605,0.9862369679751404,0.6073101276572087,0.622220665861074,0.863209507560512,0.587428342226193,0.9704524041122876,1.0,0.5275130026213661,0.6786935849324075,0.5732452557542417,0.7237311842670541,0.8677013522222032,0.6625689357754315,0.9655157673405901,0.9270123047735048,0.32467323252917096,0.9617869064286692,0.9180440934253659,0.13800161231890437,0.634603072747501,0.0,0.9260134853182034,0.9810045162321959,1.0,0.8539479273283553,0.562749595353037,0.992228244909119,0.9596547457365822,0.91038280797658,0.3043248618131271,0.7523084382365645,0.868507616510132,0.6668311214632789,0.9716486725576702,1.0,1.0,1.0,0.5055646784906875,0.8588840703515735,1.0,0.8716895611792588,0.9379185705288551,0.05252632133341864,0.907510797604207,0.8944307319655951,0.9015846396908053,0.9931591885451011,0.8790464748743936,0.9920735785738161,0.38257106246407563,0.8395038646758907,0.7409011915952055
