,CID005226-1,CID005227-1,CID005798-1,CID005799-1,CID005800-1,CID005801-1,CID006004-1,CID007374-1,CID007376-1,CID007378-1,CID007380-1,CID007382-1,CID007384-1,CID007386-1,CID007790-1,CID007792-1,CID007794-1,CID007796-1,CID007798-1,CID007800-1,CID007802-1,CID007804-1,CID008392-1,CID008394-1,CID008396-1,CID008398-1,CID008400-1,CID008402-1,CID008404-1,CID008406-1
Epithelium,0.21568583417011658,0.24292501937237854,0.05557430551867831,0.0,0.11855762922330684,0.010830387844807467,0.0,0.0,0.1392851463856649,0.14366285912414525,0.024494430642792782,0.018461995079562837,0.10782358182326882,0.11466709675002973,0.0,0.0,0.0,0.18249283691469903,0.0,0.0,0.0,0.017281947361634114,0.23613833869196077,0.0,0.0,0.09276496227625727,0.04461278918955605,0.20407913707458777,0.10794638075809797,0.10397868237412766
Myeloid,0.0,0.0,0.0,0.10664190908488974,0.0,0.0,0.16109726179941042,0.0,0.050037778449047186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012194980480334504,0.0,0.0,0.0,0.005138648942413261,0.13965160935931362,0.0,0.0,0.0,0.0,0.0,0.0
Stroma,0.07445761960792499,0.0321897305136213,0.2747118655438384,0.1015314644413384,0.0,0.0,0.24473123606833921,0.0,0.2708713705243968,0.08746674100147124,0.043010278197914975,0.0,0.0,0.15792061698202953,0.0,0.0,0.0,0.0077844461025214666,0.14598965258949276,0.0,0.0,0.0,0.12165421759436854,0.05534301644067865,0.0,0.14439267791004476,0.012792984486695495,0.019110257869178245,0.0,0.05158542657854187
T Cell,0.03193298586414254,0.06743561066506024,0.068247258817593,0.0057709989117591355,0.0,0.0,0.03474973641808355,0.0,0.21125883960520184,0.0757269371025722,0.028448896266769864,0.053368560491589785,0.056894816357647565,0.07817831443464739,0.0,0.0,0.0,0.04743733337859907,0.08634682624252987,0.07052841169361672,0.0,0.048668944232907074,0.19691499339704097,0.09922843436700614,0.043303369973592284,0.09846198404656407,0.05165023077873859,0.16361089730683734,0.0,0.2741778850704354
Other1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other3,0.6779235603578159,0.65744963944894,0.6014665701198902,0.7860556275620127,0.8814423707766931,0.9891696121551925,0.5594217657141668,1.0,0.32854686503568925,0.6931434627718113,0.9040463948925224,0.9281694444288474,0.8352816018190835,0.6492339718332933,1.0,1.0,1.0,0.7622853836041804,0.7554685406876428,0.9294715883063833,1.0,0.9340491084054588,0.44015380137421656,0.7057769398330016,0.9566966300264077,0.6643803757671338,0.8909439955450098,0.6131997077493966,0.892053619241902,0.570258005976895
