,CID003352-2,CID003353-1,CID003354-1,CID003355-1,CID003356-1,CID003357-1,CID003358-1,CID003359-1,CID003360-1,CID003361-1,CID003362-1,CID003363-1,CID003364-1,CID003365-1,CID003366-1,CID003367-2,CID003368-1,CID003369-1,CID003370-1,CID003371-2,CID003372-1,CID003373-1,CID003374-1,CID003375-1,CID003376-1,CID003377-1,CID003378-1,CID003379-1,CID003380-1,CID003381-1,CID003382-1,CID003383-1,CID003384-1,CID003385-1,CID003386-1,CID003665-1,CID003666-1,CID003667-1,CID003669-1,CID003670-1,CID003671-1,CID003672-1,CID003673-1,CID003674-1,CID003675-1,CID003676-2,CID003677-1,CID003678-1,CID003679-1,CID003680-1,CID003681-1,CID003682-1,CID003683-1,CID004696-1,CID004697-1,CID004698-1,CID004699-1,CID004700-1,CID004701-1,CID004702-1,CID004703-1,CID004704-1,CID004705-1,CID004706-1,CID004707-1,CID004708-1,CID004709-1,CID004710-1,CID004711-1,CID004712-1,CID004713-1,CID004714-1,CID004715-1,CID004716-1,CID004717-1,CID004718-1,CID004719-1,CID004720-2,CID004721-1,CID004722-1,CID004723-1,CID004724-1,CID004725-1,CID004726-1,CID004727-1,CID004728-1,CID004729-1,CID004730-1,CID004731-1,CID004732-1,CID004733-1,CID004734-1,CID004735-1,CID004736-1,CID004737-1,CID004738-1,CID004739-1,CID004740-1,CID004741-1,CID004742-1,CID004743-1,CID004744-1,CID004745-1,CID004746-1,CID004747-1,CID004748-1,CID004749-1,CID004750-1,CID004751-1,CID004752-1,CID004753-1,CID004754-1,CID004755-1,CID004756-1,CID004757-1,CID004758-1,CID005704-1,CID005705-1,CID005706-1,CID005707-1,CID005708-1,CID005709-1,CID005710-1,CID005711-1,CID005712-1,CID005713-1,CID005714-1,CID005715-1,CID005716-1,CID005717-1,CID005718-1,CID005719-1,CID005720-1,CID005721-1,CID005722-1,CID005723-1,CID005724-1,CID005725-1,CID005726-1,CID005727-1,CID005728-1,CID005729-1,CID005730-1,CID005731-1,CID005732-1,CID005733-1,CID005734-1,CID005735-1,CID005736-1,CID005737-1,CID005738-1,CID005739-1,CID005740-1,CID005741-1,CID005742-1,CID005743-1,CID005744-1,CID005745-1,CID005746-1,CID005747-1,CID005748-1,CID005749-1,CID005750-1,CID005751-1,CID005752-1,CID005753-1,CID005754-1,CID005755-1,CID005756-1,CID005757-1,CID005758-1,CID005759-1,CID005760-1,CID005761-1,CID005762-1,CID005763-1,CID005764-1,CID005765-1,CID005766-1,CID005767-1,CID005768-1,CID005769-1,CID005770-1,CID005771-1,CID005772-1,CID005773-1,CID005774-1,CID005775-1,CID005776-1,CID005777-1,CID005778-1,CID005779-1,CID005780-1,CID005781-1,CID005782-1,CID006558-1,CID006559-1,CID006560-1,CID006560-2,CID006561-1,CID006562-1,CID006563-1,CID006564-1,CID006565-1,CID006566-1,CID006567-1,CID006568-1,CID006569-1,CID006570-1,CID006571-1,CID006572-1,CID006573-1,CID006574-1,CID006575-1,CID006576-1,CID006577-1,CID006578-1,CID006579-1,CID006580-1,CID006581-1,CID006582-1,CID006583-1,CID006584-1
B Cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01776695325593948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22296479515357961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013189544068495804,0.05509364054946064,0.0,0.0,0.0,0.0,0.0,0.07227849417389101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16852709729073925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03543859526558548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033153558546277656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008798586246211037,0.10275747995502914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Epithelium,0.0,0.11450029271623734,0.12087921382256882,0.0,0.0,0.0,0.052436208506627204,0.017337299918668208,0.0,0.0,0.11719504275045721,0.11425007405286781,0.0,0.09339892122729866,0.0,0.0,0.0,0.050421880630490704,0.0,0.0,0.0,0.07190139889968479,0.45552230244560266,0.5221312144702015,0.3629176574942339,0.03922454949600837,0.17362701871686909,0.1335122831330702,0.053687412346108125,0.0,0.0,0.00477176293892536,0.05783682053552037,0.14866425005428754,0.0,0.0836794518841007,0.5838994120923697,0.0,0.0,0.0,0.0,0.0,0.1229082883120134,0.0,0.13123775457218906,0.16573417782510536,0.0,0.1057431358727122,0.0,0.029226002198050476,0.16865155499999596,0.1373560878090371,0.43017974868434483,0.0,0.0,0.0,0.014300615239812811,0.039538250683881594,0.0,0.14548178132056466,0.0,0.0,0.0,0.015634136393333525,0.007704296981589829,0.0,0.0,0.0,0.0,0.0,0.027791629896906048,0.06587861007979559,0.5590423592229878,0.11347939352749782,0.03212817566769664,0.11008203692236934,0.07807989817751829,0.0,0.022180001372676894,0.11133033092724957,0.10556105668566049,0.23657889453019967,0.0,0.030312398669382973,0.21348986473174575,0.02137286805339559,0.07729449949113118,0.0772252534737034,0.0,0.2163775792313996,0.05836996369245688,0.03255042703316663,0.0,0.2088567268002511,0.1537873472657578,0.23189999454747154,0.0,0.028992949158175744,0.039222295387511846,0.059309715125224816,0.1212788748915801,0.05508926114456425,0.020775940422572872,0.20701461791367037,0.0,0.010930623798186875,0.4070572899372384,0.06609964823204639,0.0,0.0,0.0,0.08831241336990227,0.07062469380968207,0.0,0.02533209244814376,0.18537243702477108,0.0,0.0,0.0,0.0,0.0,0.10118335430455908,0.0,0.026113745153158945,0.09245427092069324,0.10107789748137572,0.1476661898049873,0.0,0.12375437138566972,0.02689713041107791,0.0,0.0,0.0,0.0,0.08654749919765055,0.08886567707348443,0.0,0.0,0.04759781746586584,0.2730629165838086,0.4477908586664002,0.1082092595531711,0.3226269491624488,0.1329174545861428,0.06353241539319948,0.06514846245845134,0.41284113038537523,0.04691917242821327,0.11954832109189224,0.14967146723355654,0.0,0.013888878416196203,0.008150847023225093,0.03849647590432944,0.39146836509983707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07490130229836571,0.07214776611270068,0.27357139274704145,0.0,0.0,0.0,0.2273680052082381,0.0,0.2147622637532607,0.0,0.10001845111504933,0.0,0.0,0.0,0.0,0.002895602198403031,0.0,0.07305720004542586,0.2653417166683034,0.0,0.0,0.026121217541363994,0.17061401322010686,0.00645267224460808,0.0,0.11180070895111646,0.07616701551425162,0.07078128941579084,0.1386208407173485,0.17986109804574693,0.24945414937061816,0.0,0.0,0.012616616977395217,0.0,0.011258815168523192,0.0,0.0,0.21397311639427274,0.0,0.0,0.0,0.0,0.0,0.1960984692599146,0.0,0.0,0.16114192809579528,0.08477261347901874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myeloid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017607748907687404,0.0,0.06017121148344134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035555871155118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018931581618044712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07203440131827979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0904495026151594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09474357409892732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007762058066081131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroma,0.20622656353090787,0.0,0.04311398621042913,0.0,0.0,0.0,0.037547918785517484,0.03272931292749425,0.037659768937102045,0.04591962922629502,0.12992332303094645,0.0,0.006479585863030958,0.07114196135531231,0.04271051123214693,0.045670207305987816,0.007869431346134454,0.02589343254825933,0.0,0.0,0.0,0.0,0.24022958913335193,0.44249408336617163,0.37623463754393394,0.037921243013548836,0.04442669864380106,0.03784254093714171,0.0,0.0,0.0,0.024830654907931876,0.04033449663165907,0.10638734988778673,0.0,0.0,0.3753279511692782,0.05701116813692117,0.09884015052879071,0.07125482464497483,0.024321409215933478,0.0,0.018048202969117785,0.06952980879405161,0.12491936155931863,0.15891297400376958,0.0,0.0,0.0,0.0,0.03424711585164792,0.005357437493216973,0.3279238745440308,0.004465977040015954,0.04054420856284475,0.03404405868576405,0.08173986858521916,0.09573400426363357,0.12160684724313882,0.16693469009016187,0.04241426060837195,0.04006335023427554,0.0,0.0,0.0,0.0,0.0008794141036978193,0.02227679680058228,0.010910842770155966,0.0,0.06815775729565852,0.03980486409617495,0.41996527033738623,0.106023377145427,0.0,0.03741745234075752,0.10537438315773846,0.059636578566661755,0.012688706737703535,0.04722715687677656,0.09502198092677604,0.2125502455328453,0.0,0.03019164914478984,0.20009504470697295,0.0027820271513547875,0.11851185928569881,0.043386892946936234,0.0,0.16559912466142263,0.12820398080247897,0.11343560676587766,0.0,0.13459362122699678,0.16902033406619044,0.18227947275948683,0.11293012966057493,0.03505658985712403,0.11175974410010019,0.28277050970549233,0.14033586780500484,0.15178958502845677,0.04408062623108016,0.2148853107550596,0.0002598861221892958,0.021738437703218563,0.30108985441888697,0.05333008471771072,0.0,0.0,0.0,0.06600183806872006,0.0,0.0,0.0,0.2301358294651322,0.14786464292748278,0.2308724868714966,0.03950086230754919,0.08326126569704871,0.08257046636577925,0.0,0.06686983957888472,0.1433738130721032,0.08564625163083632,0.2498972187720597,0.23456326513662806,0.2010604020447737,0.08752398794487405,0.023253637401833487,0.04621827641167562,0.0,0.12738374100619354,0.17453874838060554,0.07386578072352201,0.12865474045717684,0.1278416853220662,0.04929505405800374,0.20053377829643737,0.22599535408489535,0.4684738366414636,0.13026363989540088,0.3295734757993424,0.16938513776051156,0.05557041890047418,0.16029463838605923,0.42443087282557435,0.10921773288085719,0.10648564753329129,0.15273928691321667,0.0,0.07199073539248058,0.08528454223217745,0.22546735376185503,0.34526096351049634,0.0,0.0218926343827584,0.02729270303336902,0.0,0.0,0.011222695019962056,0.0,0.0,0.0,0.0,0.13895134615796945,0.23179400868762542,0.0,0.09317054250461825,0.0,0.11600256761907246,0.0,0.10826024714979222,0.0,0.042451502263131435,0.0,0.0,0.09717919614510062,0.0,0.013402784020931844,0.0,0.11590245209007408,0.40049690494936974,0.0,0.0,0.0,0.14423419768899065,0.0,0.08063475301137653,0.04664140208802706,0.1657029141892733,0.0,0.09153651940633398,0.10788034973878544,0.23960942760021445,0.0,0.0,0.04793148425770839,0.024824076313335153,0.05437009527751588,0.03916360688956511,0.0633776989727571,0.10286908133438541,0.0,0.014275093800191303,0.005458946528603208,0.0,0.0,0.13394206032545686,0.012846717631243036,0.10969564229352687,0.12320465625042507,0.09382314404061656,0.0,0.0,0.06339274445809275,0.09165908867561218,0.1125883465710716,0.0,0.0,0.022036490838225422,0.0,0.05159730201504014
Other1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other2,0.7937734364690922,0.8854997072837627,0.836006799967002,1.0,1.0,1.0,0.9100158727078553,0.9499333871538376,0.962340231062898,0.954080370773705,0.7528816342185963,0.8857499259471322,0.993520414136969,0.835459117417389,0.957289488767853,0.9543297926940122,0.9921305686538655,0.9236846868212499,1.0,1.0,1.0,0.9280986011003152,0.30424810842104544,0.0,0.2608477049618322,0.8626829960070015,0.7819462826393299,0.828645175929788,0.9463125876538919,1.0,1.0,0.9703975821531428,0.9018286828328206,0.7449484000579257,1.0,0.9163205481158992,0.005216765583234032,0.9429888318630788,0.9011598494712093,0.9287451753550252,0.9756785907840665,1.0,0.8590435087188688,0.9304701912059484,0.7438428838684923,0.6753528481711251,1.0,0.8942568641272878,1.0,0.9707739978019495,0.7971013291483561,0.857286474697746,0.0,0.995534022959984,0.9594557914371552,0.9659559413142359,0.9039595161749681,0.8647277450524848,0.8783931527568611,0.6875835285892735,0.957585739391628,0.9599366497657245,1.0,0.9843658636066664,0.9922957030184102,1.0,0.9991205858963021,0.9777232031994177,0.989089157229844,1.0,0.9040506128074354,0.8943165258240294,0.020992370439625974,0.7804972293270752,0.9678718243323035,0.8525005107368732,0.8165457186647432,0.9403634214333383,0.8930968905713398,0.8414425121959739,0.7994169623875634,0.5508708599369551,1.0,0.9394959521858272,0.5864150905612813,0.9758451047952497,0.80419364122317,0.8793878535793603,1.0,0.6180232961071778,0.8134260555050642,0.8540139662009557,1.0,0.6565496519727522,0.6771923186680517,0.5858205326930416,0.8870698703394251,0.9359504609847002,0.849017960512388,0.6579197751692828,0.7383852573034151,0.793121153826979,0.935143433346347,0.5781000713312701,0.9997401138778107,0.9673309384985945,0.29185285564387464,0.8805702670502429,1.0,1.0,1.0,0.8456857485613777,0.9293753061903179,1.0,0.9746679075518563,0.5844917335100968,0.8521353570725172,0.7691275131285034,0.9604991376924508,0.9167387343029513,0.9174295336342208,0.898816645695441,0.9331301604211153,0.8305124417747378,0.8218994774484705,0.6490248837465645,0.6177705450583847,0.7989395979552263,0.7887216406694563,0.9498492321870886,0.9537817235883244,1.0,0.8726162589938065,0.8254612516193944,0.8395867200788274,0.7824795824693388,0.8721583146779338,0.9507049459419963,0.7518684042376967,0.48775218526280023,0.028641664142675563,0.761527100551428,0.34779957503820885,0.6976974076533456,0.8808971657063264,0.7745568991554894,0.0,0.8438630946909296,0.7739660313748165,0.6975892458532268,1.0,0.9141203861913232,0.9065646107445975,0.7360361703338155,0.0,1.0,0.9781073656172417,0.9727072969666309,1.0,1.0,0.9887773049800379,1.0,1.0,1.0,0.9250986977016343,0.7889008877293299,0.4946345985653331,1.0,0.9068294574953818,0.9922379419339189,0.6566294271726895,1.0,0.676977489096947,1.0,0.8575300466218192,1.0,1.0,0.9028208038548994,1.0,0.9837016137806651,1.0,0.8110403478645001,0.29872278311674133,1.0,1.0,0.973878782458636,0.6851517890909025,0.9935473277553919,0.9193652469886234,0.8415578889608565,0.7548147144418473,0.9292187105842091,0.7698426398763175,0.7122585522154676,0.5109364230291674,1.0,1.0,0.9394518987648964,0.9751759236866648,0.934371089553961,0.9608363931104349,0.9278237147810319,0.5804003223163127,1.0,0.9857249061998087,0.9945410534713968,1.0,1.0,0.6699594704146286,0.987153282368757,0.8903043577064731,0.7156534156537796,0.8214042424803647,1.0,1.0,0.9366072555419073,0.9083409113243878,0.8874116534289284,1.0,1.0,0.9779635091617745,1.0,0.9484026979849599
