,CID003352-2,CID003353-1,CID003354-1,CID003355-1,CID003356-1,CID003357-1,CID003358-1,CID003359-1,CID003360-1,CID003361-1,CID003362-1,CID003363-1,CID003364-1,CID003365-1,CID003366-1,CID003367-2,CID003368-1,CID003369-1,CID003370-1,CID003371-2,CID003372-1,CID003373-1,CID003374-1,CID003375-1,CID003376-1,CID003377-1,CID003378-1,CID003379-1,CID003380-1,CID003381-1,CID003382-1,CID003383-1,CID003384-1,CID003385-1,CID003386-1,CID003665-1,CID003666-1,CID003667-1,CID003669-1,CID003670-1,CID003671-1,CID003672-1,CID003673-1,CID003674-1,CID003675-1,CID003676-2,CID003677-1,CID003678-1,CID003679-1,CID003680-1,CID003681-1,CID003682-1,CID003683-1,CID004696-1,CID004697-1,CID004698-1,CID004699-1,CID004700-1,CID004701-1,CID004702-1,CID004703-1,CID004704-1,CID004705-1,CID004706-1,CID004707-1,CID004708-1,CID004709-1,CID004710-1,CID004711-1,CID004712-1,CID004713-1,CID004714-1,CID004715-1,CID004716-1,CID004717-1,CID004718-1,CID004719-1,CID004720-2,CID004721-1,CID004722-1,CID004723-1,CID004724-1,CID004725-1,CID004726-1,CID004727-1,CID004728-1,CID004729-1,CID004730-1,CID004731-1,CID004732-1,CID004733-1,CID004734-1,CID004735-1,CID004736-1,CID004737-1,CID004738-1,CID004739-1,CID004740-1,CID004741-1,CID004742-1,CID004743-1,CID004744-1,CID004745-1,CID004746-1,CID004747-1,CID004748-1,CID004749-1,CID004750-1,CID004751-1,CID004752-1,CID004753-1,CID004754-1,CID004755-1,CID004756-1,CID004757-1,CID004758-1,CID005704-1,CID005705-1,CID005706-1,CID005707-1,CID005708-1,CID005709-1,CID005710-1,CID005711-1,CID005712-1,CID005713-1,CID005714-1,CID005715-1,CID005716-1,CID005717-1,CID005718-1,CID005719-1,CID005720-1,CID005721-1,CID005722-1,CID005723-1,CID005724-1,CID005725-1,CID005726-1,CID005727-1,CID005728-1,CID005729-1,CID005730-1,CID005731-1,CID005732-1,CID005733-1,CID005734-1,CID005735-1,CID005736-1,CID005737-1,CID005738-1,CID005739-1,CID005740-1,CID005741-1,CID005742-1,CID005743-1,CID005744-1,CID005745-1,CID005746-1,CID005747-1,CID005748-1,CID005749-1,CID005750-1,CID005751-1,CID005752-1,CID005753-1,CID005754-1,CID005755-1,CID005756-1,CID005757-1,CID005758-1,CID005759-1,CID005760-1,CID005761-1,CID005762-1,CID005763-1,CID005764-1,CID005765-1,CID005766-1,CID005767-1,CID005768-1,CID005769-1,CID005770-1,CID005771-1,CID005772-1,CID005773-1,CID005774-1,CID005775-1,CID005776-1,CID005777-1,CID005778-1,CID005779-1,CID005780-1,CID005781-1,CID005782-1,CID006558-1,CID006559-1,CID006560-1,CID006560-2,CID006561-1,CID006562-1,CID006563-1,CID006564-1,CID006565-1,CID006566-1,CID006567-1,CID006568-1,CID006569-1,CID006570-1,CID006571-1,CID006572-1,CID006573-1,CID006574-1,CID006575-1,CID006576-1,CID006577-1,CID006578-1,CID006579-1,CID006580-1,CID006581-1,CID006582-1,CID006583-1,CID006584-1
B Cell,0.10805940703792308,0.18724721844404554,0.2042210397982501,0.16855524856742263,0.18538485422780027,0.23297822360851503,0.18150192221933664,0.1952941800473221,0.2521715618717121,0.19953389881204928,0.1950094655740878,0.2801564168453541,0.1728876649185765,0.1991549551310616,0.2194626944758024,0.12036033529921517,0.11646935722419628,0.13525604256749774,0.1985278282064035,0.18332898488159097,0.16291958694619543,0.08603495080152188,0.20316660155878988,0.2560940213211296,0.11090394635926132,0.0,0.1895651813046514,0.17287731343295704,0.15084025365850837,0.13399469738931447,0.16434462040129535,0.1950167190029791,0.2125198287487435,0.21903817613405133,0.14510949265401438,0.09674934907016802,0.12509827393424777,0.21505513572264912,0.14618213161666627,0.26640253645298867,0.11352095628409457,0.25726981451645226,0.1713210007267758,0.12123716120429602,0.23038157847690005,0.20029519442082372,0.19157640385758495,0.2288594561255789,0.2555140514025721,0.131523089497039,0.21794719007369778,0.21830959699368446,0.27208645151052796,0.12045937232783645,0.17971767678922532,0.15765139093492905,0.21163201786501915,0.19382709505599932,0.20668250395502952,0.24301865519975044,0.28613324370506493,0.127148194628699,0.17382683933774568,0.1901871932440063,0.23359346228492475,0.11784324612570689,0.15632379944955468,0.13507870670117125,0.17695617725447027,0.1419397669070131,0.22667789732151955,0.18496103191627364,0.21226655638431619,0.18033375485705158,0.11512163906707623,0.12439522753526994,0.14360807854929328,0.22096129377002643,0.0,0.1625411474784228,0.1612591550602993,0.22848938515414433,0.23402965012154275,0.06209174264787266,0.2369244722503587,0.2767487221580664,0.23764061930773572,0.22514391896969602,0.14241146620889147,0.18927681618873005,0.2044097763525911,0.21804063827669373,0.14172106833559964,0.2570220367505698,0.23125793654896537,0.20741916079407455,0.196093458929762,0.20158069537505022,0.14998439659256105,0.19953909800660774,0.19744683099585283,0.2834991273598128,0.19353959574056961,0.21619801282540518,0.14827140438337505,0.18699039223927788,0.22115774712467642,0.21423296192638647,0.196590737167556,0.07278306051144176,0.12628352467640197,0.2154806080546441,0.07955687872298368,0.21612475174395737,0.16153324510964825,0.18660106767107365,0.08489676948830767,0.15398126140580345,0.12264921384220678,0.18315858588888662,0.17076129509431828,0.21098183215675712,0.2800791004329609,0.22385877044361058,0.30395440586628875,0.19855422380811705,0.25358344311128345,0.16461882918995493,0.26698882091949633,0.19621943728883437,0.22031755603686906,0.18039329772722357,0.08277015886834764,0.23742061070134074,0.16079254326884782,0.1337928322411894,0.1723178302012083,0.2092073253184111,0.22664260424331734,0.20491851811296805,0.21721591274884694,0.11404870989631159,0.2130308956152487,0.19164317379528195,0.19071354241318256,0.20164321540255228,0.20737157667758088,0.2486365776740282,0.18937308395574773,0.23958562241415352,0.22770827628312948,0.2295734887794161,0.19302842445113785,0.13662065660134223,0.2637990907915495,0.388923834881703,0.13546350273560165,0.09613449614160452,0.14735855417535243,0.13643212849319855,0.2250903328662159,0.1650882934674296,0.21054093717418,0.1535487574086717,0.28994711178611765,0.18009129578006092,0.18103489041595858,0.0,0.21893984162708024,0.0,0.20517582551029553,0.06449172177503482,0.20121947757433697,0.06527900048354944,0.1657275334183774,0.022481764193564024,0.11387094962149742,0.17076386881732297,0.08581748335306003,0.1304177887915935,0.1893148808278312,0.1871263948899837,0.2612319791089243,0.12937836016158805,0.14459794116436792,0.16138643362421703,0.14932461906050473,0.18521349618859784,0.23771851551471998,0.22519761305618535,0.3052832097133608,0.01964043029996878,0.24046790692713235,0.20561993489845193,0.21264730301751206,0.1336514538299379,0.19439989711984204,0.1475025598858968,0.10340330333129971,0.14975718052748782,0.3089232030766273,0.3229787194401733,0.32216604545207594,0.4063574099356249,0.19280628134408884,0.13882183816268415,0.19494766060064625,0.218088617587002,0.2635456708590213,0.33276285850741943,0.28364599655453604,0.2250773662043284,0.21107441280265815,0.04249546396672688,0.14408797720965832,0.2243475440915687,0.18968103962295915,0.22411424889427403,0.0356989414969967,0.16312246253487303,0.32764831543767503,0.20456835822120267,0.2571186478706421
Epithelium,0.0,0.445523949794508,0.3233614265930142,0.16634240496783811,0.17404057315784277,0.2243224595149867,0.2732896968482347,0.2715465785818866,0.1603204354765822,0.22220686480474663,0.34360108563632275,0.22415731071896627,0.11295574130848517,0.3198302228708337,0.0,0.0,0.1330757880023614,0.22583795325742617,0.19513066846767693,0.15457354173074153,0.036029463842833835,0.35752157769666326,0.41482919814575203,0.4177697678535281,0.19039713114100243,0.033424586766324385,0.5026733002236283,0.3957375328139139,0.3542591611844859,0.15325419055281994,0.21107188717235925,0.3591962292263624,0.3706435079464258,0.3395769106329672,0.0,0.35624736130633766,0.398255788501234,0.0,0.0,0.0,0.0,0.16117618435150957,0.4220248562335048,0.0999153783229364,0.2122735591568387,0.2654799590853236,0.22170553103906704,0.4743337645454829,0.2518933342169908,0.32390947473846676,0.30362663752200586,0.4437750921684701,0.42603992135150975,0.04080955953284006,0.07877293275123262,0.036997406233190935,0.2632465327715052,0.31550904084681103,0.1513052229875672,0.3811149882010364,0.0797189666314748,0.20620180168321509,0.10180486588283673,0.2873591076657264,0.14439177726811053,0.34406511096890235,0.04689916947420821,0.12888019694867953,0.27526739899170266,0.24256240798787826,0.22624401528529567,0.2905047893752597,0.5171092649014821,0.4176235518245252,0.3274159404034883,0.41277274743672127,0.40614695265482764,0.260248303468325,0.00559506699117081,0.3050258799061107,0.30848521479881874,0.4310952712204028,0.16430163774349135,0.09663720972480079,0.3808525646984744,0.25718406657673337,0.3435544758511906,0.3547391646776963,0.09257787219812488,0.4125442834181805,0.29872005650181377,0.31333898959250645,0.22521378860912164,0.42382392601522983,0.302839669718229,0.2908623584706994,0.08676244963456015,0.29218311143640496,0.3200492114092133,0.0338902106452125,0.3401555850737411,0.2436754628784608,0.31117079074456355,0.4079442702749087,0.01639389959830023,0.36535408204495,0.5368741266392034,0.3400878532719866,0.28185850512618843,0.09160538939013962,0.2514364478282303,0.46875797007398395,0.44135101596558474,0.2829139616028989,0.28529889221798654,0.3864989683787184,0.04084323174860068,0.0,0.1673468402499411,0.0,0.0,0.277277188438508,0.22032425588586166,0.19943518513581948,0.3947871902199887,0.16974361793503195,0.25023927191967743,0.0,0.38628671152855304,0.2853927891689872,0.20843245610943337,0.10184650279587627,0.15235204486051465,0.016134692333430196,0.3442963736671185,0.35338720962690323,0.1767960558821279,0.050704992724331696,0.15614284198520223,0.29325434021848423,0.32578851741369813,0.38380136241316704,0.4698857723228455,0.41894418608792516,0.399108350328479,0.2603722602897213,0.4726681872720186,0.341366388368263,0.2767948059476677,0.38129195057216264,0.2935531552212662,0.29963361445940967,0.2926008545372186,0.19795658145335554,0.4992856531583725,0.10757017946311073,0.20280044190061117,0.019119801611711732,0.20320154083943495,0.04298967189520509,0.0250419356121476,0.34657625548827037,0.22493221969295596,0.2488054895352948,0.4035814068477317,0.1939606700777493,0.36836606120934895,0.0,0.0780703139034675,0.0,0.37363650022017275,0.0,0.36309252870056313,0.13093782974660684,0.3820101364276521,0.04639933637251185,0.0,0.12202086824138475,0.0712011415437521,0.23110172045445115,0.039047361091848885,0.34686742837503204,0.3229081149752362,0.10219261701609778,0.16282847735779288,0.2098822881583274,0.29850719416221816,0.20630372967039082,0.1770939503764222,0.3010176155378994,0.3412554017371194,0.3183937774595002,0.30212865209830153,0.3818870591629474,0.35019881871396086,0.12257550684994038,0.14044317148998053,0.24822125850073112,0.29876351116710814,0.2825323002713961,0.09801686658991136,0.08735788257816866,0.3494646803966776,0.0041926135970622985,0.03640969013973283,0.08274941784759825,0.0,0.31004824499487593,0.4007403930801658,0.012012495754285568,0.06944448201108461,0.29052855727679944,0.2870695834278502,0.0,0.13700292266166095,0.0,0.0,0.059770587353168314,0.0,0.0,0.1362483075930278,0.0,0.0991160855955388
Stroma,0.4743596088818897,0.10920778115903751,0.21049589413054123,0.0,0.2715561373049968,0.08307656176231686,0.22835095934176883,0.30147997100298934,0.23790433110254894,0.1754940226390791,0.2601268934126486,0.19726174123027715,0.38132309911277756,0.3259782817326894,0.23289850718094487,0.18762119145665923,0.1549449718701947,0.040544576638229995,0.0,0.02266818040268644,0.1120637682673581,0.1420919808909483,0.19722083759744458,0.2362751541628523,0.31338217691105885,0.0,0.20250194758434398,0.21646653066640023,0.013097797810143575,0.05474861348918715,0.151688702735068,0.23497130884516274,0.24992881785655588,0.21617417867845906,0.0912759563244951,0.010491743906500655,0.1875438547085636,0.4140844633471132,0.4088169425154061,0.38801301684559875,0.04090389581907006,0.1400712814770455,0.03748098824640976,0.2386852550920621,0.21248463701199516,0.24446161644218775,0.05667590111147858,0.038398621678251844,0.010038416538651692,0.05077109517569468,0.19346976653856326,0.09009700770071788,0.11572701843079854,0.3132192776561685,0.25041747750205506,0.3399711132088159,0.31325862767251456,0.2855277208178963,0.380433345242982,0.24331206634349012,0.2848923523247259,0.36848962612266495,0.006763882633972168,0.17780321286074852,0.1394983030178048,0.009728698970712206,0.2171368652027971,0.3135051753048636,0.11344207138827248,0.0,0.2828790831697862,0.2737732458427033,0.231728187717138,0.29203525968003513,0.014236853908739348,0.24032678327942103,0.2994404060343039,0.25390455506796433,0.0,0.25493832788442683,0.23295247831959748,0.19255275610228909,0.0,0.11866703144734128,0.28757068867249036,0.23673054191848067,0.23904943946372348,0.12034611623878534,0.006414917081616501,0.2651141137675507,0.37752221887578075,0.3338596336671576,0.18397704676175694,0.19204888543600887,0.23333209022856746,0.26451415347062734,0.26474413239688177,0.22741782932907836,0.3723914582568228,0.3957069746514331,0.3520612728762298,0.2524555168948702,0.2526680464889669,0.29281153155203965,0.1040327385258031,0.25426003150811594,0.19238314624728292,0.2196815152435106,0.02390807530448385,0.005919786818504821,0.05313709012619486,0.14721971239068646,0.0800708745868118,0.023548978435845188,0.17838057437465446,0.29636076304988335,0.6236223331367857,0.5984803687082022,0.24151222487527188,0.3818739424615162,0.19214016968952727,0.0,0.3296432711383222,0.3676570929469348,0.14587991205437692,0.40063155245127996,0.36923058439429746,0.5709589792449723,0.19124306282605594,0.2976731339248891,0.279319536267816,0.4413909074903356,0.32777043523672666,0.5117923120004019,0.2679539668730404,0.33482517732312045,0.4624884423599847,0.3495457814605218,0.3444254708909506,0.29786246244246767,0.29343903851525743,0.3834113145121838,0.23601390245660964,0.26978319438343407,0.18045871526004145,0.32592875658419346,0.3019171691156846,0.2282992431340479,0.2857207966676518,0.21767549783514956,0.21759900000876534,0.27549718333451934,0.27162238092946406,0.5297127872242952,0.19919695364079626,0.07104232099775115,0.19386700906606483,0.23947287156474703,0.03251747625317696,0.2966153528626089,0.2962647454776534,0.1101500401399358,0.26020081278201684,0.05811299477737038,0.00876448559418629,0.3341318283761988,0.28311522202486405,0.0,0.3201486726907506,0.0,0.2420972718017392,0.11382718353815051,0.26388792647419024,0.015488570768034008,0.24025228347177777,0.12705663692102773,0.11408742359614553,0.2778272091440689,0.2088112923222847,0.1938455925439235,0.195266624771164,0.2940019520165335,0.32445348931545825,0.043374699101860745,0.1773222426451721,0.11591659586950274,0.3141437214819446,0.08839452671418274,0.33986432213410045,0.22123061442956268,0.23430866160039573,0.1924776054590907,0.25189910425335743,0.17738905379909592,0.256787732423339,0.03035386459184682,0.12367432998059093,0.30882323639337284,0.3440604621908359,0.3362159161161436,0.35383327152044985,0.3293125667140814,0.19509620694736016,0.2199630058506041,0.3531546250222822,0.3691283216711825,0.2020019695408941,0.22049908247792113,0.14961533667438992,0.39110407339446707,0.4265102971527956,0.27902271931326406,0.292453814519442,0.16709537386499657,0.14616986482260563,0.5495235746254968,0.48701021467256744,0.43559086676773,0.06725832433799084,0.2781515928889918,0.29690314844904486,0.47439768392004966,0.4684661947442713
T Cell,0.12245145797451192,0.19245507087447172,0.16153325184834827,0.09297011184812067,0.27008658076496933,0.163631050448226,0.1966082618053621,0.15245637970074044,0.1638023920818194,0.1283122476260373,0.1043315240198928,0.09655950773825123,0.18355483690810231,0.13683980553169353,0.1486875448097346,0.09823472608825119,0.1322701136172298,0.06216706695576043,0.21285591330684708,0.14145454604205468,0.21010845219834737,0.14669797973930984,0.09475340019406553,0.05488987239656083,0.03519885727641024,0.0,0.10525957088737624,0.11503918900075742,0.13847613585141896,0.2033216945735193,0.13487390021070692,0.14541448683598746,0.1521160080109597,0.13960780176918844,0.09403477708713037,0.10172797916677155,0.0,0.10580434149110424,0.09216664851872708,0.09448926973764477,0.012171006010501398,0.2181687804704112,0.13135818839833452,0.049043847668571776,0.10803084883456493,0.09730766980725418,0.240543039471331,0.18066148858236794,0.19331206404185708,0.13296496994570856,0.1832978755607551,0.15661279623631957,0.09865378233043809,0.14733294379975595,0.13102305849927728,0.18358451890995006,0.13459801131795285,0.14806905695498987,0.16878961779391433,0.10670199916327677,0.2369062012218367,0.1970375078140543,0.1564178758932673,0.1913064365856276,0.20297628825024144,0.19353698366698688,0.1329073004913938,0.15332962077857118,0.13041574778252082,0.10817409943238794,0.20272447748577507,0.1647898939841873,0.03889599099706374,0.11000743363838805,0.11892542359677857,0.14541761980667492,0.11426810961413736,0.171582856138253,0.0,0.17222115537731342,0.14899632857736145,0.1276807952033691,0.0913753893951801,0.07299899536323878,0.09175182156513155,0.17767816043935364,0.1362165595606478,0.12831933230402356,0.18581375845361672,0.08967036433739012,0.11606079415604337,0.13476073846364225,0.22292858794723716,0.10358557313118906,0.12487110420614415,0.11324362169165009,0.07513338749697616,0.14378898965012768,0.11747283540511891,0.09871083018469569,0.10732289109422906,0.10097326417993545,0.15115940582566764,0.07814243977955485,0.08463229618209134,0.1643129883637059,0.04958497998883719,0.09553993734220392,0.13244756589528509,0.14222418198894368,0.13925274777952082,0.1372487952274479,0.17964543502198646,0.16844960141142035,0.17429569294435343,0.11730210996890962,0.1419940348815304,0.11226285002522911,0.11036879968463764,0.11905967182971466,0.0696388591962983,0.09356876526079692,0.15877174402318542,0.13379458297998603,0.138535646229473,0.1497067452596149,0.11418577106798176,0.11077546728259942,0.09969574471536871,0.16943885200460296,0.14597714774533482,0.2763692919865646,0.14624777645029424,0.11942406259669734,0.17041558171026658,0.1539675330029262,0.10495796866295568,0.21077382169819273,0.11816019211584321,0.13137838969575405,0.07868361956960353,0.10257483836550345,0.08106942960529613,0.11036242926134805,0.1040479413575439,0.12743155902452483,0.018043066934715846,0.14074475989326213,0.16269941399618498,0.1149720415872253,0.19786443349245977,0.1466904727324772,0.17688553296276582,0.10395462998288517,0.03771830240928173,0.17817422190126667,0.09690929730146054,0.12044622653500285,0.1259664213756116,0.2259654059855261,0.1712352652667853,0.16583802395673683,0.19172913192049035,0.197214502088785,0.17815203176140854,0.13728282641605533,0.09561981764746644,0.0906566527966016,0.14118929911746667,0.029310309605590758,0.1407174590082644,0.04960053719425581,0.12575588815932867,0.15288029278663798,0.15529765893702543,0.16185095815710576,0.13603982090901587,0.0870001517305508,0.24021956386683865,0.12981538020605565,0.2281136560274846,0.14074318405458786,0.0914064166003813,0.08074748203905985,0.1937262711422095,0.2684818361457693,0.12800569698812028,0.23166586725144112,0.15626453620549566,0.17246994321976727,0.11915272694912406,0.12016292559633192,0.1563431483474173,0.13331846205356734,0.09664334233457408,0.20304836916193927,0.1951523926704409,0.15556787661747082,0.17874552136406274,0.12179057739389423,0.1869482785656927,0.11660133023866023,0.09381067607274564,0.19258125949213997,0.2211690968244061,0.22227877404073582,0.329068318046369,0.25136405494020087,0.1254210331452981,0.23139051720056936,0.16469709800140284,0.1362538053362767,0.08145957458783319,0.13268656099674125,0.18042350958989387,0.15302170118174704,0.1291960744953541,0.14048256096968087,0.09346118710793568,0.30000878244293244,0.21539017793313928,0.22092205000226395,0.15918472461429578
Other1,0.05309319140949037,0.06556597972793728,0.10038838762984623,0.0,0.058839531178531544,0.0,0.12024915978529782,0.07922289066706152,0.0,0.02148253224238673,0.07959715788299969,0.04649908872532442,0.0011058293501784195,0.01819673473372181,0.0,0.0,0.0,0.0,0.0,0.0,0.01229448827411105,0.0,0.09002996250394778,0.03497118426592921,0.0041067506379170535,0.0,0.0,0.09987943408597148,0.0,0.0,0.0,0.027704046422629,0.014791837437315079,0.08560293278533387,0.0,0.0,0.0,0.017173413233455805,0.0,0.0,0.0,0.0,0.0,0.0,0.04041830857323797,0.07658481099785243,0.0,0.0,0.0,0.0,0.10165853030497791,0.0912055069008081,0.08749282637672559,0.02616211528332809,0.0,0.06108955544329361,0.07726481037300825,0.05706708632430346,0.09278931002050686,0.025852291092446255,0.1095717586525066,0.0,0.0,0.11671115234015497,0.08609557151322152,0.0,0.0,0.0,0.0,0.0,0.061474526737623374,0.021858363835810274,0.0,0.0,0.003372003005307565,0.07708762194191288,0.03653645314743778,0.09330299155543141,0.0,0.10527348935372642,0.14830682324392297,0.02018179231979454,0.0,0.0,0.002900452813545002,0.05165850890736591,0.04353890581670253,0.0,0.0,0.0433944222881486,0.0032871541137709124,0.0,0.0,0.009111011063703657,0.10769919929809402,0.12396070557294865,0.0,0.0,0.0,0.11260712740188762,0.0,0.0,0.07103048565239709,0.004903745568091631,0.0,0.029082505843950158,0.0,0.06667157007531933,0.0,0.0,0.0,0.007036602887440884,0.0,0.0,0.0,0.013237090931415,0.0,0.0,0.0,0.0,0.0,0.0,0.011181628519669792,0.07525436849364904,0.016842845629872656,0.0,0.012760929506759732,0.0,0.055785660010526004,0.016306245612863132,0.0,0.0,0.0,0.11522832236812973,0.05654153448072654,0.024027247805860737,0.0,0.0,0.0,0.07258628953032598,0.0848729117525939,0.016163774812834073,0.0,0.0,0.0,0.08462420869900808,0.0,0.04095303093039877,0.08541189943274775,0.04647488759130904,0.0,0.04860524069417767,0.06586280711941365,0.031755344738121916,0.0,0.0314234213847461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15453337934993572,0.07186400870236202,0.0,0.0,0.0,0.038372943459528096,0.0,0.04604417909158101,0.0,0.056712387745167424,0.0,0.0,0.0,0.0,0.0,0.0,0.03126104066386297,0.0,0.0,0.0,0.0,0.11001876830721226,0.0,0.08905867576926166,0.08008421375658514,0.0,0.004819322399484043,0.0,0.10178549008593742,0.01928610157641348,0.0,0.0,0.13988506860252845,0.030103393910108397,0.04119960077133986,0.05227838024731882,0.0,0.039462391131140646,0.0,0.0,0.0,0.0,0.0,0.06067756624112481,0.03273005514325846,0.054930786459095854,0.06911755186933129,0.12794261466221635,0.0,0.0,0.0,0.0,0.0,0.0,0.011557584085766879,0.01816510481272719,0.056921881372544086,0.016114347175251998
Other2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other3,0.2420363346961848,0.0,0.0,0.5721322346166186,0.04009232336585945,0.2959917046659554,0.0,0.0,0.18580127946733735,0.252970433875701,0.017333873474048387,0.1553659347418268,0.14817282840188,0.0,0.3989512535335181,0.5937837471558745,0.4632397692860179,0.5361943605810857,0.3934855900190726,0.4979747469429264,0.4665842404711542,0.2676535108715568,0.0,0.0,0.3460111376743501,0.9665754132336756,0.0,0.0,0.34332665149544317,0.4546808039951591,0.3380208894805706,0.03769720966687926,0.0,0.0,0.6695797739343602,0.4347835665502221,0.28910208285595457,0.24788264620567757,0.3528342773492006,0.2510951769637679,0.8334041418863339,0.22331393918458145,0.2378149663949752,0.49111835771213364,0.19641106794646318,0.11587074924655831,0.28949912452053833,0.07774666906831837,0.2892421337999284,0.36083137064309107,0.0,0.0,0.0,0.35201673140007084,0.3600688544582097,0.2207060152698205,0.0,0.0,0.0,0.0,0.002777477464390931,0.10112286975136675,0.5611865362521781,0.036632897303736214,0.1934445976656969,0.3348259602676917,0.44673286538204615,0.26920630026671444,0.30391860458303377,0.5073237256727207,0.0,0.06411267504576584,0.0,0.0,0.42092814001861,0.0,0.0,0.0,0.9944049330088292,0.0,0.0,0.0,0.5102933227397858,0.6496050208167465,0.0,0.0,0.0,0.17145146780979875,0.5727819860577504,0.0,0.0,0.0,0.22615950834628454,0.014408567603298957,0.0,0.0,0.3772665715418199,0.13502937420933878,0.04010209833628394,0.15954575911016328,0.003013419959947252,0.11939662868692069,0.020431675547835308,0.0,0.6466696613104304,0.0,0.0,0.06378616214059309,0.3651951165064867,0.6874675812909701,0.429890189589652,0.024256311365796635,0.21937579570263338,0.30896270680587823,0.20049159535335725,0.0,0.10864363074477555,0.1352755198607652,0.3581229213479427,0.31590779981988254,0.5674596760198561,0.4181722141439379,0.0,0.0,0.0,0.08136386054595612,0.0,0.15364672428247328,0.0,0.03496954199982324,0.1459533038405467,0.0,0.2908595845841168,0.0,0.0,0.0,0.08343970289372343,0.17976807879854265,0.15462889076468658,0.0,0.0,0.0,0.0,0.009267016472010808,0.12567145064075308,0.0,0.0,0.0,0.0,0.0,0.06327513499437916,0.0,0.0,0.0,0.0,0.22286602137142233,0.3709597489962618,0.5248266041469338,0.49095600735642414,0.29799744076346135,0.28236772077719774,0.2123473869476275,0.11259689843035678,0.3423182561898781,0.11955496401055574,0.0,0.0,0.9093433472033984,0.24165187266123506,0.9706896903944092,0.0,0.7720805574925589,0.0,0.6354143062151718,0.0,0.6422113043557907,0.6360018058733412,0.3423879020666726,0.3939505189140645,0.3148195180039763,0.3482574772816714,0.0,0.0,0.6443068416813936,0.32152506769045763,0.24433284620218348,0.0,0.28842238017538757,0.0,0.0,0.0,0.3445059387856243,0.04916118837379128,0.0,0.06443670193420054,0.5103708055663356,0.3463302087391456,0.0,0.044923808036585106,0.06850442491973835,0.0,0.14374950102891632,0.0,0.1769057111245686,0.19646030666949005,0.18702164827779935,0.2739820518120907,0.0,0.0,0.0,0.0007713398210849564,0.0,0.0,0.6577226011715354,0.3923157257161812,0.0731071801011874,0.1941126712091193,0.1400417360151468,0.8035815470570767,0.2471595780474359,0.005644945774386006,0.04319002648393971,0.0
