,CID005093-1,CID005215-1,CID005217-1,CID005219-1,CID005222-1,CID005224-1,CID005225-1,CID005416-1,CID005418-1,CID005420-1,CID005422-1,CID005424-1,CID005425-1,CID005614-1,CID005616-1,CID005618-1,CID005620-1,CID005844-1,CID005845-1,CID005860-1,CID005868-1,CID005874-1,CID005875-1,CID006320-1,CID006322-1,CID006328-1,CID006331-1,CID006336-1,CID006340-1,CID006468-1,CID006469-1,CID006478-1,CID006480-1,CID006484-1,CID006486-1,CID006493-1,CID006494-1,CID006494-2,CID006515-1,CID006527-1,CID006542-1,CID006544-1,CID006548-1,CID006551-1,CID007329-1,CID007330-1,CID007338-1,CID007346-1,CID007352-1,CID007358-1,CID007659-1,CID007661-1,CID007664-1,CID007665-1,CID007666-1,CID007667-1,CID007672-1,CID007676-1,CID007681-1,CID007688-1,CID007694-1,CID007697-1,CID007704-1,CID007707-1,CID007825-1,CID007827-1,CID007829-1,CID007845-1,CID007847-1,CID007849-1,CID008109-1,CID008114-1,CID008122-1,CID008457-1,CID008459-1,CID008460-1
B Cell,0.0,0.0711991487047022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036915606254401045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008074983207493669,0.04643392519950414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2519693160939239,0.04435700279785524,0.0,0.0,0.0,0.0027120685866279695,0.0,0.0,0.0,0.0,0.0,0.0
Epithelium,0.0,0.0,0.0,0.0,0.0,0.19644463754446753,0.0,0.0,0.1377301372163816,0.0,0.0,0.03505955092971911,0.0,0.0,0.0,0.0,0.0,0.0,0.35366644149059356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18432454780027457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041691025778418565,0.0,0.0,0.0,0.0,0.05677554703755011,0.0,0.0,0.12219420991717905,0.00032854021536044383,0.0,0.0,0.0,0.0,0.2750546870002569,0.05837234812912114,0.0,0.0,0.0,0.0,0.18389336112268426,0.0,0.0,0.0,0.0,0.0
Myeloid,0.0,0.41867241795631294,0.0,0.0,0.0,0.003391393715711009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01595336535877251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08406578952640253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03180556117876168,0.0,0.0,0.0,0.0,0.0
T Cell,0.0,0.5101284333389849,0.03572878684293485,0.0,0.0,0.0,0.0007699676364381664,0.0,0.0,0.0,0.0,0.022435475201422802,0.0,0.0,0.0,0.0,0.002991151171870401,0.0,0.6094179522550054,0.0,0.0,0.0,0.04031717860359838,0.0,0.0,0.0,0.1670431931357034,0.0,0.015281322117162223,0.10676699488513015,0.2663646376978693,0.0,0.03582450314258752,0.040554905608152864,0.09650687972956688,0.0,0.0,0.0,0.04060354164900734,0.0,0.07505765744121447,0.0,0.0,0.0,0.0,0.1684017948619082,0.0,0.0015891872948589844,0.0,0.0,0.23222957550493503,0.04098602562784786,0.0,0.0,0.0,0.21739551309049704,0.0,0.0,0.09264043368918552,0.0,0.03750700219248151,0.0,0.0,0.03976851161216747,0.4729759969058191,0.26560990668919854,0.14990353961919867,0.004046694389275167,0.0,0.0,0.43076489243180727,0.16388423981602643,0.0,0.0,0.0,0.0
Other1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other2,1.0,0.0,0.9642712131570651,1.0,1.0,0.8001639687398214,0.9992300323635618,1.0,0.8622698627836184,1.0,1.0,0.9425049738688581,1.0,1.0,1.0,1.0,0.9970088488281296,1.0,0.0,1.0,1.0,1.0,0.9596828213964016,1.0,1.0,1.0,0.8170034415055241,1.0,0.9847186778828377,0.8851580219073761,0.5028768893023521,1.0,0.9641754968574124,0.9594450943918471,0.9034931202704332,1.0,1.0,1.0,0.9593964583509926,1.0,0.9249423425587855,1.0,1.0,1.0,1.0,0.7475324156116893,1.0,0.998410812705141,1.0,1.0,0.7260793987166464,0.9590139743721522,1.0,1.0,1.0,0.7258289398719528,1.0,1.0,0.7851653563936354,0.9996714597846396,0.9624929978075185,1.0,1.0,0.9602314883878326,0.0,0.6316607423838251,0.8500964603808013,0.9959533056107248,1.0,0.997287931413372,0.3535361852667468,0.8361157601839736,1.0,1.0,1.0,1.0
