,CID005226-1,CID005227-1,CID005798-1,CID005799-1,CID005800-1,CID005801-1,CID006004-1,CID007374-1,CID007376-1,CID007378-1,CID007380-1,CID007382-1,CID007384-1,CID007386-1,CID007790-1,CID007792-1,CID007794-1,CID007796-1,CID007798-1,CID007800-1,CID007802-1,CID007804-1,CID008392-1,CID008394-1,CID008396-1,CID008398-1,CID008400-1,CID008402-1,CID008404-1,CID008406-1
B Cell,0.0,0.0,0.0,0.0,0.07927332751166458,0.22044683722558947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01871991750269223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Epithelium,0.3813920155950965,0.3500295346394798,0.21236948361756522,0.0,0.35645579044434966,0.34150160778364197,0.0,0.0,0.06983540221838143,0.2389856026180177,0.11207143206384734,0.0,0.05880937035613604,0.31446941815537804,0.0,0.11554311845694384,0.0,0.4312496763501938,0.0,0.0,0.0,0.0,0.16759427299561985,0.0,0.0,0.1988258693899856,0.18173923940584907,0.10826349391777407,0.08635566830440639,0.07498573674400892
Stroma,0.3015604904782021,0.2798858917810198,0.44774275452859164,0.0,0.3344903343907557,0.0,0.0,0.0,0.14072344184767632,0.12625015939522405,0.17976692292140622,0.0,0.0,0.3735343307922238,0.0,0.0,0.1218438713231649,0.2958456910528449,0.0879183778356024,0.0,0.06244529562771652,0.0,0.0483710495024126,0.0,0.0,0.32628570230298354,0.2298914766720329,0.0922392159119468,0.0,0.15542316740153217
T Cell,0.31704749392670145,0.3700845735795004,0.3398877618538431,0.0,0.22978054765323006,0.43805155499076853,0.0,0.05840842131195404,0.14654985387526273,0.16608295884836166,0.21038530323478732,0.03891239950368334,0.05463141838999862,0.3093556496439013,0.11694041977845607,0.29661583427953603,0.12791759219059673,0.2541847150942691,0.018529018443451936,0.012717253460501884,0.13331371948403675,0.038566280146531934,0.13825085468110834,0.0,0.27533545266509746,0.2463797216936587,0.3612876348260885,0.18001737912417207,0.04693359996349878,0.2829981454477934
Other1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.941591578688046,0.6428913020586795,0.4686812791383966,0.4977763417799591,0.9610876004963167,0.8865592112538654,0.0026406014084968924,0.883059580221544,0.58784104726352,0.7502385364862384,0.0,0.8935526037209457,0.9872827465394981,0.8042409848882467,0.961433719853468,0.6457838228208592,1.0,0.7246645473349026,0.22850870661337216,0.2270816490960295,0.6194799110461071,0.8667107317320948,0.4865929504066655
