,CID005093-1,CID005215-1,CID005217-1,CID005219-1,CID005222-1,CID005224-1,CID005225-1,CID005416-1,CID005418-1,CID005420-1,CID005422-1,CID005424-1,CID005425-1,CID005614-1,CID005616-1,CID005618-1,CID005620-1,CID005844-1,CID005845-1,CID005860-1,CID005868-1,CID005874-1,CID005875-1,CID006320-1,CID006322-1,CID006328-1,CID006331-1,CID006336-1,CID006340-1,CID006468-1,CID006469-1,CID006478-1,CID006480-1,CID006484-1,CID006486-1,CID006493-1,CID006494-1,CID006494-2,CID006515-1,CID006527-1,CID006542-1,CID006544-1,CID006548-1,CID006551-1,CID007329-1,CID007330-1,CID007338-1,CID007346-1,CID007352-1,CID007358-1,CID007659-1,CID007661-1,CID007664-1,CID007665-1,CID007666-1,CID007667-1,CID007672-1,CID007676-1,CID007681-1,CID007688-1,CID007694-1,CID007697-1,CID007704-1,CID007707-1,CID007825-1,CID007827-1,CID007829-1,CID007845-1,CID007847-1,CID007849-1,CID008109-1,CID008114-1,CID008122-1,CID008457-1,CID008459-1,CID008460-1
B Cell,0.06641577781038507,0.0,0.08079192948728643,0.04628877192842066,0.00042603574037476536,0.004726465562490932,0.0,0.06585382844640783,0.0,0.11970681519590627,0.0,0.033427841887849204,0.09827359869224589,0.03358403043302862,0.03765429996950936,0.07920006244014012,0.0050639580265584875,0.11284171220415506,0.03831199367853919,0.14150373599766083,0.2288876907373949,0.019723340840248373,0.03730759148791753,0.0,0.05868184563869112,0.08327277895147364,0.0,0.04626627667115204,0.018404490662680108,0.09531005082756003,0.017537134186686145,0.09399520661935726,0.0,0.03829112939514905,0.0,0.04716971175929961,0.0,0.035266651127853495,0.0,0.0,0.01921369355982842,0.049359595684492955,0.075234698404562,0.0,0.06348006713214828,0.0,0.002487839841642754,0.0,0.1663862145175872,0.0622458483309374,0.006380089664582011,0.0,0.06690195520288232,0.0752993365928484,0.07477953947004756,0.016539129689415313,0.09691470095262783,0.014373635705589749,0.06094102137890293,0.08043757774934343,0.017133578122316372,0.10419772172616194,0.0,0.05805557379526708,0.07572807543058112,0.05053908658548601,0.0,0.0,0.054563069662129,0.08963893753091981,0.04263010803888724,0.015144296133776252,0.11087635609370604,0.03809215118275449,0.04587368222016181,0.07653651581988828
Epithelium,0.0,0.0,0.08121696850841024,0.0,0.0,0.2521139871245885,0.013527691013896505,0.0,0.5862623131323363,0.0,0.06435074883181006,0.1621975709964284,0.0004137249742544843,0.015375374313016102,0.020424539479576977,0.0,0.0,0.0,0.10292125374463192,0.0,0.31282187820821467,0.0,0.0,0.0,0.10297897062310209,0.02487162558249503,0.0,0.0,0.0,0.04969801855228551,0.043533324896711516,0.0,0.0,0.0,0.0,0.006520951131820663,0.0,0.12438185161146496,0.0,0.0,0.008248298415044732,0.06019311408741599,0.0,0.0,0.0,0.0,0.05244258458952645,0.08768223267696217,0.01714986787740087,0.0,0.05548872818648986,0.011706462174653477,0.08111366220441468,0.0,0.0,0.0,0.0,0.009724327523737988,0.11403598757826684,0.3410210563190001,0.022615809655917626,0.0,0.0,0.14725304376826628,0.0,0.001435467884301082,0.0,0.028990921548191443,0.0,0.0,0.08707016500862039,0.0,0.14748651967067783,0.0,0.030236938826293965,0.05601766917971725
Myeloid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12825765692996613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015121831162242336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroma,0.13152807622296947,0.0,0.0,0.22473629995094058,0.05848747872636664,0.0,0.03632252636520489,0.24627000980510508,0.05956891399916193,0.6909586371910573,0.11769803947716521,0.0,0.1617001080722626,0.025339247143838305,0.055246944983817395,0.1719649622964452,0.0,0.2857965968108148,0.0,0.3090237990512533,0.43529079613914196,0.0,0.0,0.13183979954663316,0.133388685108103,0.339089177875059,0.0,0.15191495557277665,0.0014660349264265723,0.0,0.0,0.1446025654969192,0.06222046404944297,0.08066536762337964,0.0,0.07799482759872386,0.0315167951412465,0.1377676114329283,0.015666311730814984,0.3981189629457418,0.0,0.1566020974640799,0.13295590279301364,0.14742398698342413,0.3269145551429584,0.0,0.06354381232299929,0.0030052080334899357,0.09893827189328712,0.0396015416982809,0.0,0.04338893050603678,0.14606577675672355,0.12962644618236338,0.07171838403182282,0.0,0.18311410084307453,0.03459741964114971,0.0,0.17707027536903805,0.0519973761003187,0.1500743528899045,0.059065294012055077,0.0,0.0,0.0,0.0,0.14864355983759173,0.0,0.0,0.0,0.0,0.10415898045298273,0.23834758396879618,0.18300108003202764,0.33295987899290025
Other1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007877803753006122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other3,0.8020561459666454,1.0,0.8379911020043034,0.7289749281206388,0.9410864855332586,0.7431595473129206,0.9501497826208986,0.687876161748487,0.35416877286850185,0.061076890683070324,0.8179512116910248,0.8043745871157224,0.739612568261237,0.925701348110117,0.8866742155670962,0.7488349752634147,0.9949360419734415,0.6013616909850301,0.8587667525768289,0.5494724649510858,0.0,0.9802766591597517,0.9626924085120825,0.8681602004533668,0.7049504986301038,0.5527664175909723,1.0,0.8018187677560713,0.9801294744108933,0.8549919306201544,0.9389295409166024,0.7614022278837236,0.9377795359505571,0.8810435029814713,1.0,0.8683145095101559,0.9684832048587535,0.7025838858277533,0.984333688269185,0.6018810370542582,0.9725380080251268,0.7338451927640112,0.7918093988024244,0.8525760130165758,0.6096053777248933,1.0,0.8815257632458314,0.9093125592895479,0.7175256457117247,0.8981526099707817,0.9381311821489281,0.9449046073193097,0.7059186058359795,0.7950742172247882,0.8535020764981296,0.9834608703105847,0.7199711982042977,0.9413046171295226,0.8250229910428304,0.40147109056261826,0.9082532361214474,0.7457279253839335,0.9409347059879448,0.7946913824364665,0.9242719245694189,0.9480254455302128,1.0,0.8223655186142169,0.945436930337871,0.9103610624690802,0.8702997269524924,0.9848557038662238,0.6374781437826333,0.7235602648484494,0.7408882989215166,0.5344859360074942
