,T Lineage,Fibroblast,B Cell,Plasma Cell,Myeloid Cell,Endothelial Cell,ILC,Mast Cell,Glial Cell,Epithelial Cell
AC025265.1,4.122845e-05,0.0,0.00026105146,0.00018094826,0.00047104614,0.000120719946,0.00015011991,0.0,0.0,0.0004862648
NT5DC3,0.0011935601,0.0055424892,0.0020323892,0.0013863326,0.0063587627,0.0019140212,0.0011657616,0.0,0.003774738,0.006435286
AC012555.2,1.3734276e-05,0.0,0.0,1.5256003e-05,0.0,0.0,0.0,0.0,0.0,0.0
AC012555.1,0.0,0.00019498737,0.0,0.0,0.0,0.0,0.00010916644,0.0,0.0,0.00010550131
HSP90B1,0.16023648,0.54630286,0.11390588,0.8216219,0.385278,0.47683588,0.25017506,0.25206193,0.32118583,0.49648753
C12orf73,0.0065570665,0.012741064,0.0071077375,0.0034760495,0.0133217815,0.013392781,0.014581932,0.010596965,0.02562593,0.017398676
TDG,0.045803696,0.042196583,0.040901296,0.016807588,0.062543765,0.07212571,0.086145215,0.03165146,0.068989165,0.06310773
GLT8D2,0.0001201438,0.10346837,0.00034145624,0.00090554944,0.00017699113,0.04490657,0.00016034476,0.0,0.056224998,0.0
HCFC2,0.008466343,0.022348667,0.0053937747,0.0073503144,0.007449426,0.025403123,0.01515921,0.0053425194,0.037051685,0.009827429
NFYB,0.019067992,0.042167105,0.018543558,0.017479695,0.022505946,0.04385625,0.022168737,0.016203234,0.028581489,0.038336307
LINC02385,0.0,0.0,0.0,0.0,0.0,0.00034805038,0.0,0.0,0.0,0.0
TXNRD1,0.015058965,0.029638788,0.011884742,0.007982338,0.029270781,0.040652454,0.024953233,0.008131972,0.034874,0.051756248
AC089983.1,0.0,0.00035257547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EID3,0.015469927,0.015127995,0.007317686,0.005259937,0.004830229,0.009470709,0.020023994,0.0036165921,0.0087432815,0.0073956884
CHST11,0.047106814,0.032844137,0.032307472,0.020355882,0.07535065,0.02147225,0.0726739,0.025008624,0.008502638,0.0013913064
SLC41A2,0.0017925064,0.0066119977,0.0024067624,0.011497402,0.031205514,0.0021385723,0.0051644356,0.0023015523,0.0,0.034141045
C12orf45,0.01807434,0.022888524,0.026613278,0.09171622,0.101841465,0.027594635,0.01509157,0.011187849,0.011214776,0.045047976
ALDH1L2,0.00039883103,0.01672897,0.00030995067,0.016907038,0.0011015418,0.00019410106,0.0,0.0,0.0066675525,0.00076869375
AC016257.1,1.3734276e-05,0.0004500211,0.00012841995,0.0001188584,5.8804675e-05,0.0,0.0,0.0,0.0,0.0
WASHC4,0.02559056,0.07687452,0.06860376,0.017078193,0.075741135,0.08465703,0.0414217,0.015277316,0.092336856,0.036252934
APPL2,0.006342943,0.030273056,0.004426368,0.0048359237,0.010256311,0.02457725,0.012684701,0.0017850919,0.030268112,0.049429655
C12orf75,0.0545386,0.057064828,0.05512959,0.025672229,0.040666144,0.008324305,0.044757646,0.011598556,0.007116773,0.08907152
AC011313.1,1.9215931e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASC18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC011595.2,0.0,0.000522094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUAK1,0.00017447142,0.021068191,3.3522825e-05,0.00018164463,0.00041140823,0.15229191,0.000272279,0.0,0.0,0.0007247466
AC011595.1,0.0,0.0,0.0,1.0591159e-05,0.0,0.00019824687,0.0,0.0,0.0,0.0
CKAP4,0.0019159887,0.120534375,0.0031334248,0.04515538,0.011075845,0.033953134,0.0053312574,0.003682443,0.065319374,0.07272789
AC079174.2,0.0002474658,0.003086165,0.00052439276,0.00188561,0.0007164512,0.0006363375,0.00036894204,0.0,0.0058540576,0.0018863969
TCP11L2,0.014335122,0.0065846522,0.015312286,0.004926937,0.0039706444,0.019273449,0.011343139,0.0,0.009460989,0.0031406393
POLR3B,0.0019936657,0.0028748559,0.0015660904,0.0019277041,0.0030858393,0.006360654,0.0026038357,0.0032721069,0.003810437,0.0066937027
AC079385.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RFX4,0.00035977128,0.00011990393,0.00017615859,0.00010057398,0.0,0.0,0.00042941215,0.0,0.0016955467,0.00014687485
AC079385.2,5.2300275e-05,0.00014345664,0.0,3.79454e-05,7.4178606e-05,0.0,0.0,0.0,0.0,0.0
AC079385.3,5.5303706e-05,0.0,0.0,0.000112194924,0.0,0.0,0.00035190696,0.0,0.0,0.0
RIC8B,0.0075844135,0.013769593,0.0032456992,0.0038785744,0.005334578,0.02260423,0.010362799,0.002450315,0.017513057,0.011678572
AC007541.1,0.005631204,0.0145701235,0.0009882255,0.0036346437,0.0007645964,0.008830635,0.0052876975,0.0037402923,0.01703583,0.00046616318
TMEM263,0.028538823,0.054393835,0.01915708,0.035636105,0.010683306,0.04028353,0.028491253,0.014630832,0.032170657,0.040182326
MTERF2,0.013186734,0.03403596,0.0038590508,0.005483814,0.0054127285,0.023828303,0.014500163,0.006898066,0.03185646,0.020918822
CRY1,0.024103262,0.020892473,0.0033812735,0.003388112,0.011444464,0.025814682,0.024128415,0.011807205,0.017491285,0.022682527
AC078929.1,3.9298364e-05,0.0,0.0,0.0,8.505659e-05,0.0,0.0,0.0,0.0,0.0
BTBD11,0.007066582,0.0005641704,0.000298037,0.0004270032,0.0024344705,0.00054839725,0.004596147,0.0,0.0,0.0004762413
AC007540.1,0.0,0.0,0.0,1.7372116e-05,0.0,0.0,0.0,0.0,0.0,0.0
PWP1,0.033957794,0.06314539,0.07269235,0.023606427,0.03725342,0.09065302,0.037849315,0.021998197,0.067735605,0.057316836
PRDM4,0.0048047327,0.011182961,0.031683736,0.0019699382,0.005700613,0.014064922,0.0050738873,0.0053445403,0.010029522,0.017259507
AC007622.2,0.00011937209,0.00029218174,0.0009330141,2.8525363e-05,9.9123885e-05,0.0001433455,0.0,0.0,0.0,0.0009705681
ASCL4,0.0,0.0,0.0,0.0,0.001903583,0.0,0.0,0.0,0.0,3.940781e-05
AC126177.2,0.0,0.0,0.0,1.7576498e-05,0.0,0.0,0.0,0.0,0.0,0.0
AC126177.8,0.0,0.0,0.0,0.0,0.00012029309,0.0,0.0,0.0,0.0,0.0
AC126177.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSCD2,6.872232e-05,0.00085224543,0.00012049308,0.0,9.544206e-05,0.0,0.0012909691,0.0041433563,0.0,0.0001077804
CMKLR1,0.00010459386,0.0029801286,9.315757e-05,0.0001368406,0.022816941,0.009537137,0.00012608255,0.0013751826,0.0,0.0
LINC01498,0.0,0.0,0.0,8.764558e-06,0.0,0.0,0.0,0.0,0.0,0.0
FICD,0.0026626282,0.0056123137,0.0035979794,0.017697413,0.0037859187,0.004648206,0.0055731516,0.0013814736,0.007985288,0.0037705607
SART3,0.0149485115,0.018212248,0.016588964,0.008596222,0.014618379,0.02851773,0.013906219,0.0105129285,0.017814798,0.022301255
ISCU,0.160049,0.29307467,0.16566244,0.25851652,0.1660285,0.25171047,0.13036913,0.085632384,0.2970126,0.18859245
TMEM119,0.000467023,0.11615669,0.0001336026,0.00024372412,0.0008709265,0.0003261821,0.00019081632,0.0,0.0,0.00017956895
SELPLG,0.038518794,0.0028795176,0.0051291147,0.019571012,0.06094885,0.0038356623,0.032590143,0.0076818676,0.003974296,0.0011627479
AC007569.1,0.00015940047,0.0,0.00066103885,0.007926399,6.02481e-05,0.0,0.0,0.0,0.0,0.0
CORO1C,0.0051875585,0.0814917,0.020297099,0.02106627,0.07519151,0.07798295,0.0076561878,0.01578487,0.15156665,0.056105234
SSH1,0.012215771,0.0311879,0.005157552,0.005130019,0.024197657,0.055828374,0.032849696,0.011165462,0.04281041,0.010329753
DAO,0.0,0.0,0.0,0.0,0.00015595576,0.0,0.0,0.0,0.0,0.0
SVOP,0.0010778728,0.0012155883,0.00043449536,0.0013591697,0.00087962014,0.0022110646,0.00069461646,0.0,0.0,0.0004889663
USP30,0.0024372316,0.007763644,0.0020656127,0.0037333989,0.0029794045,0.0074797203,0.003494618,0.00077924965,0.0,0.0112423515
USP30-AS1,0.01839218,0.0012333409,0.018020513,0.019045798,0.013175096,0.0038209795,0.020096675,0.0040781563,0.0,0.014610709
ALKBH2,0.008263055,0.028110623,0.012628713,0.0061535263,0.009464966,0.019940278,0.008322901,0.0,0.020699643,0.02342412
UNG,0.018097043,0.01876627,0.0071948254,0.0040305904,0.008440571,0.033577126,0.03307656,0.0011331986,0.009780783,0.044726387
ACACB,0.005180219,0.021807987,0.0027672315,0.0045289285,0.0037438783,0.078432836,0.0032450135,0.0013387061,0.017793922,0.024118522
FOXN4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYO1H,3.9614995e-05,0.00025058843,0.0,0.0,0.0001685175,0.000525976,0.0,0.0,0.0,0.0
LINC01486,0.0,0.0,3.5715715e-05,1.3503922e-05,0.0,0.0,0.0,0.0,0.0,0.0
AC007570.1,9.025118e-05,0.0,0.000111174675,0.0,0.0,0.0001283348,0.0004089255,0.0,0.0,9.142623e-05
KCTD10,0.005245165,0.04280265,0.004932053,0.0027114102,0.0103112105,0.044498205,0.016728848,0.009783701,0.009122597,0.008624121
UBE3B,0.010561597,0.024034569,0.008316218,0.0101753175,0.015446926,0.02964564,0.011655057,0.004242638,0.020144098,0.019633498
MMAB,0.0145161655,0.034596637,0.017802244,0.02006668,0.021971509,0.054778513,0.019613912,0.00986769,0.029321555,0.10219478
MVK,0.00401284,0.0061828564,0.004068724,0.0024999229,0.003920165,0.010868832,0.0062930686,0.0012851753,0.010697762,0.024311187
FAM222A,0.0009151296,0.00034934576,0.0003902789,0.0003653487,0.00090047915,0.002550732,0.0032006032,0.0039231214,0.0065941825,0.0044017565
FAM222A-AS1,2.3873254e-05,0.0,0.0,3.23524e-05,5.0091083e-05,0.0,0.0,0.0,0.0,8.244238e-05
TRPV4,0.0,0.005630826,0.0,1.3763033e-05,0.0006039583,0.0025213128,0.00016483714,0.0,0.002079006,0.00025644162
GLTP,0.023819786,0.04089476,0.024038194,0.010446545,0.03616633,0.0698052,0.04128006,0.008843185,0.08731061,0.06733976
AC007834.1,1.928383e-05,0.0,0.0,0.0,7.9704936e-05,0.0,0.0,0.0,0.0,0.0
TCHP,0.010710517,0.012756811,0.008137625,0.0049271705,0.010091119,0.025284106,0.012896907,0.0056213527,0.0087980265,0.028626772
GIT2,0.028265238,0.034912176,0.04678052,0.013364566,0.05177399,0.063112184,0.036757164,0.01871572,0.025443906,0.01897315
AC084876.1,3.8064052e-05,0.0,0.0,6.782241e-05,0.0,0.0,0.0,0.0,0.0,0.00014355914
ANKRD13A,0.018998995,0.021616612,0.06256394,0.016083997,0.03451577,0.03872506,0.0287009,0.010127005,0.01683011,0.018481174
C12orf76,0.026878078,0.037281144,0.022316135,0.009617405,0.028932234,0.0481834,0.027809633,0.008804705,0.0543902,0.016617676
IFT81,0.0017852589,0.03921745,0.0018649622,0.001651743,0.0025646174,0.019143194,0.0041048974,0.0020946425,0.0690293,0.009495696
ATP2A2,0.024092812,0.12398222,0.011648084,0.023378637,0.08002463,0.08484834,0.028354557,0.04943476,0.046905223,0.11342835
ANAPC7,0.012550554,0.030265745,0.010271117,0.008768053,0.013375907,0.029218554,0.013963764,0.011266004,0.032856796,0.020225188
ARPC3,0.4071459,0.3056909,0.60071594,0.2171409,0.80125064,0.42484555,0.45529884,0.26981664,0.25958356,0.50101286
GPN3,0.017167056,0.038757205,0.02358882,0.01540142,0.031113364,0.03999691,0.017286332,0.022109268,0.048753068,0.026022423
FAM216A,0.0029927008,0.021534929,0.0072386996,0.0026583557,0.0047657453,0.005358238,0.0042315265,0.0036328032,0.012744102,0.001436514
VPS29,0.09220257,0.15366067,0.0788978,0.07719104,0.21116136,0.20016435,0.11462168,0.11531905,0.1628487,0.23577796
RAD9B,0.00035555268,0.0006748875,0.00041622418,0.00010746007,0.00081072503,0.00017551368,0.000552692,0.0,0.0,3.9195584e-05
PPTC7,0.015895037,0.024794385,0.020157162,0.013606231,0.03284695,0.025329415,0.019219568,0.008642889,0.031176774,0.026154526
TCTN1,0.003418305,0.042473968,0.016508238,0.012587215,0.007114215,0.021075392,0.0066577774,0.009428213,0.04282071,0.0077785794
HVCN1,0.0026339178,0.018051703,0.09759304,0.009692735,0.0391917,0.020442571,0.011107655,0.005279065,0.011454536,0.00032244858
PPP1CC,0.09750227,0.16439256,0.13271756,0.12674806,0.11485006,0.11946319,0.07934429,0.0729242,0.07849808,0.26371598
AC002375.1,3.681899e-05,0.0,0.0,2.6075999e-05,0.0,0.0,0.0,0.0,0.0,0.0
CCDC63,1.1627861e-05,0.0,4.3080378e-05,2.6093205e-05,0.00016803994,0.0,0.0,0.0,0.0,0.0
MYL2,0.00016303678,0.0007460955,0.0007569285,0.009777548,0.00028306816,0.0010192025,0.0,0.0,0.0,0.00022284209
LINC01405,1.485467e-05,0.0,0.00011836586,9.90695e-05,0.0,0.0,0.00011112786,0.0,0.0,0.0
AC002351.1,0.0,0.0,4.1391224e-05,3.5359004e-05,0.0,0.00024518548,0.0,0.0,0.0,0.0
CUX2,9.644969e-06,0.0,0.00012132888,1.8387911e-05,0.0010740443,0.0,0.0,0.0,0.0,0.0
PHETA1,0.00049243844,0.007275555,0.0006143026,0.0014323639,0.0043686153,0.0063563534,0.0012290982,0.005316743,0.012330703,0.025758082
LINC02356,4.7792e-05,0.0,6.0509734e-05,0.00032252294,0.0006887152,0.0031032702,0.0,0.0,0.0,4.1704225e-05
SH2B3,0.0075636134,0.014242432,0.016503094,0.0020603326,0.11690557,0.07591415,0.014496938,0.014990282,0.0019421111,0.005504027
ATXN2,0.033705413,0.08827109,0.024224797,0.015763756,0.03436168,0.08876877,0.048017047,0.028801486,0.06881698,0.036407173
ATXN2-AS,9.542512e-05,0.0,0.0,8.2098195e-05,0.0,0.0,0.0,0.0,0.0,0.00033130756
BRAP,0.010314672,0.013176257,0.008948163,0.005819594,0.009684863,0.016697144,0.012352135,0.0050265654,0.005372121,0.016887011
ACAD10,0.004790566,0.012025367,0.006485198,0.0054989755,0.0051702084,0.00946191,0.0071688327,0.0,0.010745848,0.012941408
AC002996.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDH2,0.004182064,0.13618419,0.0093411505,0.021532409,0.22397253,0.0951048,0.0051231086,0.008670419,0.049263656,0.34469813
MAPKAPK5-AS1,0.023213943,0.029089857,0.022392433,0.017943166,0.024182536,0.06469069,0.0289749,0.008174773,0.029021883,0.039708745
MAPKAPK5,0.017287403,0.027977766,0.016914427,0.011109446,0.02140009,0.027879898,0.021838473,0.007648104,0.016849363,0.052833155
TMEM116,0.023384726,0.010946809,0.008028772,0.0055979295,0.0080714645,0.0100428825,0.011154504,0.006533508,0.009466326,0.016941333
ERP29,0.2248902,0.18963128,0.34396416,0.2546712,0.28971615,0.18801142,0.18474714,0.09456837,0.12613198,0.28901345
AC073575.2,0.00037671716,0.0005315469,0.00028749567,0.00025832182,0.0006783925,0.0011186841,0.00063980574,0.0,0.001711902,0.00016134481
NAA25,0.018907594,0.028249796,0.021186523,0.0085841045,0.037738547,0.037593655,0.023795383,0.0079615,0.016689966,0.024007645
AC073575.1,7.006994e-05,0.0,0.0,4.8124843e-05,0.00014922365,0.00010304754,0.0,0.0,0.0,0.00011153983
TRAFD1,0.007864331,0.016974648,0.009030047,0.0029988717,0.021601005,0.01580612,0.009476726,0.0010676718,0.023477398,0.013904532
HECTD4,0.0090941,0.020115184,0.008483856,0.006398687,0.010919193,0.025593342,0.012547965,0.007878548,0.013219278,0.012877664
AC004217.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL6,1.1698788,1.1782758,1.2669926,0.90929204,1.1614861,1.0417762,1.1928536,0.71775055,0.682786,0.89696354
PTPN11,0.017127858,0.03779028,0.012441801,0.007962921,0.02884121,0.05943648,0.020653069,0.012138332,0.02082319,0.034917034
RPH3A,2.4211313e-05,0.00042913074,0.0,5.0254825e-05,0.00047800285,0.0,0.0,0.0,0.0,0.0
OAS1,0.0084484015,0.03022934,0.014690346,0.025904076,0.024404509,0.022977786,0.0075154523,0.0012065,0.0026471422,0.07763941
AC004551.1,1.29383925e-05,0.0,0.0,3.264463e-05,0.0,0.0,0.0,0.0,0.0,3.834463e-05
OAS3,0.009633031,0.01697784,0.0054619242,0.002506206,0.016984487,0.03674941,0.00951794,0.0,0.0041221837,0.023591783
OAS2,0.013015483,0.010254784,0.011981729,0.009238533,0.02059402,0.032527342,0.012264944,0.0006270027,0.001711902,0.008110153
DTX1,0.0035779474,0.006136653,0.0047248458,0.001006483,0.00060038426,0.0062609147,0.0039673857,0.0,0.0,0.0
RASAL1,0.00040913833,0.0,0.00019810154,0.00041958084,0.0010493429,0.0,0.0,0.0011994395,0.0,0.0025681139
CFAP73,0.00029677077,0.0,0.00016008597,0.00011855989,0.0013792778,0.00017328958,0.0004587224,0.0,0.0,0.000653071
DDX54,0.02391794,0.03355266,0.028248845,0.016689494,0.033895902,0.040971912,0.025739567,0.008116058,0.021312017,0.050751373
RITA1,0.005589964,0.012494788,0.0068565155,0.005903236,0.006558143,0.013742596,0.008344744,0.00393619,0.008395859,0.027480962
AC089999.1,0.0,0.0,0.0,2.0964098e-05,0.0,0.0,0.0,0.0,0.0,0.0
IQCD,0.00013637693,0.0030565995,0.00012827953,0.00014731145,0.003595787,0.00067905325,0.00028640963,0.0,0.011823452,0.00094122114
TPCN1,0.0026190528,0.030742314,0.004263247,0.0027329936,0.0140180895,0.016233757,0.0053446926,0.0067565395,0.012691341,0.020030392
SLC8B1,0.010134469,0.02188994,0.0040635513,0.0019579618,0.030481705,0.022297282,0.006611983,0.0031493423,0.0026393137,0.01302731
PLBD2,0.0035112093,0.027905416,0.0023389347,0.004176528,0.024225404,0.014396745,0.0034122195,0.0042196773,0.011270266,0.005996746
SDS,0.00071270735,0.0017069472,0.00029868959,0.0010596946,0.14270258,0.0017182531,0.0015431199,0.0013976096,0.0018882747,0.00072130864
