,T Lineage,Fibroblast,B Cell,Plasma Cell,Myeloid Cell,Endothelial Cell,ILC,Mast Cell,Glial Cell,Epithelial Cell
AL358613.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYP26A1,8.888762e-08,1.5081912e-07,9.3408445e-08,1.4690895e-06,7.956533e-08,3.4974966e-07,1.2728316e-05,0.0,0.0,5.784901e-08
MYOF,5.8139466e-07,7.5961936e-05,5.734589e-07,1.4535216e-06,3.1416293e-05,6.8609035e-05,5.018214e-07,0.0,3.4540597e-05,1.847217e-05
CEP55,3.9049933e-06,1.7852198e-06,1.6059716e-06,1.8236093e-06,4.3206323e-06,1.6574469e-06,1.973197e-06,1.2358881e-06,0.0,2.0776686e-05
FFAR4,1.2484978e-06,7.565966e-07,1.0174796e-06,3.821683e-07,8.722859e-07,1.0338749e-06,1.8761373e-06,0.0,2.5256318e-06,1.006238e-05
RBP4,9.932691e-08,3.2050532e-06,0.0,1.652594e-08,2.9825395e-07,0.0,2.132854e-07,0.0,0.0,7.300211e-06
PDE6C,1.00686265e-07,1.4855655e-07,9.393117e-08,7.379743e-08,2.4219523e-07,0.0,0.0,0.0,0.0,0.0
FRA10AC1,4.9411294e-05,8.4655294e-05,4.5851128e-05,5.4920332e-05,3.0252118e-05,7.64649e-05,4.933663e-05,3.494958e-05,0.00011357222,5.4560423e-05
LGI1,5.247802e-07,2.1277906e-06,4.955398e-07,2.7676228e-07,7.387389e-07,9.004442e-07,2.0820148e-07,2.5541076e-06,5.3758205e-05,3.740805e-07
AL358154.1,0.0,0.0,0.0,5.7481255e-08,0.0,0.0,0.0,0.0,0.0,0.0
SLC35G1,4.963376e-06,1.1123835e-05,3.7269056e-06,4.59077e-06,1.910614e-06,1.1189008e-05,2.2208258e-06,0.0,5.976999e-06,2.9101016e-05
PLCE1,1.0124357e-05,3.2779615e-05,2.5550835e-05,1.0084269e-05,3.9217903e-06,2.2384571e-05,1.6588543e-05,6.0281895e-06,0.00014089757,2.7201278e-05
PLCE1-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL389885.1,2.0806045e-08,1.8512517e-06,9.996561e-08,0.0,0.0,1.3045641e-06,0.0,0.0,1.356169e-05,6.3417025e-07
PLCE1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL139124.1,2.6319998e-07,0.0,2.9325173e-07,4.901135e-07,2.395998e-07,0.0,0.0,1.2532182e-06,0.0,4.252221e-08
NOC3L,1.9303408e-05,3.4974e-05,4.9353293e-05,2.7796132e-05,2.3274113e-05,2.9935987e-05,1.9342602e-05,2.258073e-05,2.5588231e-05,2.4245071e-05
TBC1D12,5.4684364e-07,2.2915216e-05,3.4602099e-06,1.0817567e-05,2.3171566e-05,2.2126123e-05,5.284108e-06,5.8082746e-06,1.7414213e-05,1.8845414e-05
HELLS,1.7394663e-05,1.8949722e-05,2.3482957e-05,1.2764242e-05,1.149083e-05,1.5761358e-05,2.12142e-05,1.05053505e-05,8.579265e-06,4.7335074e-05
CYP2C18,2.3053691e-07,0.0,0.0,4.104377e-07,5.632105e-07,0.0,0.0,0.0,0.0,5.2046555e-05
AL583836.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYP2C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3122996e-06
CYP2C9,1.4497962e-07,0.0,1.7551977e-07,3.9458033e-07,0.0,1.0977872e-06,8.0971756e-07,2.3719854e-06,0.0,3.3991062e-05
CYP2C8,0.0,0.0,5.1019146e-07,1.241737e-07,0.0,0.0,6.6507585e-07,0.0,0.0,1.4293721e-06
AL157834.1,2.4362384e-08,0.0,0.0,4.823169e-08,0.0,0.0,0.0,0.0,0.0,0.0
ACSM6,1.6076486e-08,0.0,7.518588e-08,0.0,0.0,2.1146088e-06,4.2504408e-07,0.0,0.0,0.0
AL157834.2,3.1267692e-08,0.0,3.3853885e-07,0.0,5.0343335e-08,0.0,0.0,0.0,0.0,1.0745515e-07
PDLIM1,1.1259254e-05,0.0005319761,0.0002242305,8.5863656e-05,2.8796054e-05,0.0005480305,3.369639e-05,3.0074686e-06,0.0001766687,0.0005127209
SORBS1,5.8363275e-07,2.5475849e-05,7.008331e-07,1.7055297e-06,5.9960905e-07,1.8539164e-05,9.4142706e-07,1.13017295e-05,0.00017016722,4.8501997e-06
ALDH18A1,1.3357811e-05,3.529552e-05,1.3005911e-05,3.66015e-05,7.348475e-06,1.2590675e-05,1.7691587e-05,1.320723e-05,1.0922796e-05,8.6377586e-05
TCTN3,4.656679e-05,6.761283e-05,3.5730358e-05,6.717997e-05,6.3657935e-05,5.45601e-05,0.00013666782,7.979305e-06,2.8842995e-05,3.1409952e-05
ENTPD1,6.607934e-05,5.6136956e-05,9.942951e-05,9.273719e-05,0.00023943583,0.00022006774,9.634096e-05,1.2294724e-05,1.0835157e-05,3.3582191e-06
ENTPD1-AS1,1.8000781e-05,2.3777513e-05,2.0479294e-05,9.550962e-06,1.2990998e-05,1.0602297e-05,2.6192783e-05,7.1601194e-06,1.2061814e-05,7.17007e-06
AL365273.2,0.0,0.0,1.265734e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC2D2B,0.0,0.0,0.0,1.3633418e-07,3.035532e-07,3.366117e-07,0.0,0.0,0.0,0.0
CCNJ,2.6599482e-06,4.0565483e-06,3.282252e-06,2.1623525e-06,6.312278e-06,7.3453543e-06,4.9958253e-06,5.0394674e-06,1.399207e-05,4.7558524e-06
ZNF518A,5.203467e-05,7.383156e-05,5.5664976e-05,4.5303863e-05,4.7278474e-05,7.2232484e-05,7.982085e-05,5.610443e-05,9.152457e-05,7.1893985e-05
BLNK,2.260622e-06,3.7400189e-06,0.0001674761,0.00013011329,1.7501216e-05,1.3093966e-06,2.5894358e-06,0.0,6.8672284e-06,7.586195e-05
AL136181.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNTT,8.931025e-08,0.0,1.9860828e-07,3.246678e-07,0.0,2.9727923e-07,7.072285e-07,0.0,0.0,0.0
OPALIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLL2,7.354578e-07,2.9822565e-06,1.6242074e-06,3.3447857e-06,2.9990437e-07,2.1498029e-06,1.567744e-06,0.0,7.695366e-06,1.8087235e-06
TM9SF3,6.7333305e-05,0.00012329541,4.0024803e-05,8.6054744e-05,9.064762e-05,0.00014098914,8.2530845e-05,4.3083946e-05,9.463372e-05,0.00026823103
PIK3AP1,9.582679e-06,1.0094535e-06,8.2221115e-05,5.5215132e-06,8.918822e-05,1.9606143e-06,7.0392125e-05,2.7339414e-05,0.0,7.0348538e-06
LCOR,4.0608815e-05,2.8515053e-05,4.4681074e-05,2.109826e-05,5.659337e-05,3.987471e-05,5.977619e-05,6.3531385e-05,5.7326157e-05,8.073977e-05
SLIT1,1.5660103e-08,0.0,0.0,1.4637629e-06,4.5620428e-07,0.0,3.3060383e-07,0.0,0.0,4.2827955e-07
SLIT1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARHGAP19-SLIT1,2.6510078e-08,3.4985771e-07,0.0,9.890247e-08,0.0,5.4105345e-07,0.0,0.0,0.0,0.0
ARHGAP19,4.269754e-06,6.272313e-06,3.9992437e-06,2.1762642e-06,6.3230477e-06,1.50348005e-05,6.6451817e-06,3.0424326e-06,1.7928343e-05,5.3503663e-06
FRAT1,3.8062276e-06,1.8356683e-06,2.7047588e-06,2.073892e-06,1.8774344e-05,7.028124e-06,3.6526476e-06,0.0,4.027763e-06,4.446658e-06
FRAT2,5.0815815e-06,4.907636e-06,2.9195464e-06,3.958252e-06,1.59617e-05,9.759076e-06,8.534754e-06,2.7660135e-06,9.786275e-06,3.826051e-05
RRP12,1.1200104e-05,1.4399872e-05,1.191719e-05,2.9528084e-05,2.4888523e-05,2.3282737e-05,8.296569e-06,1.1727557e-05,1.2230813e-05,1.6713086e-05
AL355490.2,4.3263816e-07,0.0,8.7902464e-08,6.1606477e-07,9.468148e-08,0.0,0.0,0.0,0.0,3.6685563e-07
PGAM1,0.0001889731,0.00026952435,0.00015546255,0.00016513889,0.0002267224,0.00019600852,0.0001542458,0.00013564953,0.00021547588,0.0002568466
EXOSC1,8.0296464e-05,7.566045e-05,7.5128584e-05,0.00010611725,6.097327e-05,6.605488e-05,6.427619e-05,3.710813e-05,4.5325472e-05,5.5247245e-05
ZDHHC16,9.50871e-06,3.0328905e-05,1.2101372e-05,1.8839615e-05,1.3508361e-05,2.4730918e-05,1.1392978e-05,1.1129925e-05,1.4099591e-05,3.6664645e-05
MMS19,1.31372535e-05,1.7473041e-05,1.0950335e-05,1.2329679e-05,1.1703893e-05,2.7934797e-05,1.3945428e-05,5.6423974e-06,1.9242503e-05,1.6364973e-05
UBTD1,1.0270618e-06,2.0498888e-05,3.010518e-07,2.1605354e-06,7.012592e-06,3.9036473e-05,1.3003443e-06,0.0,5.738708e-06,1.3701759e-06
ANKRD2,6.1162404e-09,1.1113115e-06,0.0,4.323665e-08,0.0,0.0,0.0,0.0,0.0,0.0
HOGA1,2.0809706e-07,8.603452e-07,9.362872e-08,5.85489e-07,3.5094305e-07,6.731921e-07,2.5136546e-07,0.0,0.0,9.330366e-08
AL355315.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C10orf62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MORN4,1.1566174e-06,6.907417e-06,9.4863543e-07,3.5568012e-06,1.861716e-07,4.185097e-06,0.0,3.269373e-06,2.842894e-06,2.422454e-06
PI4K2A,5.4508423e-06,1.3304492e-05,6.932302e-06,5.606349e-06,1.9024543e-05,5.7724587e-06,1.0388402e-05,2.6449e-06,0.0,8.982223e-06
AVPI1,1.4999663e-05,1.9875588e-05,1.0401544e-05,1.5315474e-05,8.789927e-05,1.8987543e-05,2.3263432e-05,2.853044e-06,5.6669636e-05,0.00012382695
MARVELD1,4.388977e-07,4.774764e-05,1.5751509e-07,1.829664e-06,1.51169315e-05,2.2187658e-05,1.1885546e-06,3.534726e-06,0.00019539593,6.767225e-06
ZFYVE27,2.5241594e-05,2.0511889e-05,3.4227895e-05,1.8204473e-05,1.6546823e-05,2.0923653e-05,2.7418064e-05,1.9549667e-05,3.0208326e-05,2.6168664e-05
SFRP5,2.5369335e-08,4.992689e-07,9.95892e-08,2.0521591e-07,0.0,0.0,3.3137184e-07,0.0,1.9971743e-05,1.0269385e-05
LINC00866,1.8553837e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7062212e-07
GOLGA7B,2.8825575e-06,5.8458045e-07,1.5077934e-07,2.6321408e-07,3.6057438e-07,4.5068685e-07,0.0,0.0,0.0,3.6670472e-06
CRTAC1,0.0,3.275714e-06,0.0,0.0,0.0,4.1109774e-06,0.0,0.0,2.6958298e-05,1.8185188e-08
R3HCC1L,1.4395424e-05,8.02331e-06,1.0727586e-05,9.634825e-06,1.1060175e-05,1.5692363e-05,1.1879499e-05,1.3970529e-05,5.0945114e-06,1.21898265e-05
LOXL4,4.0595538e-08,2.7601522e-05,0.0,7.346573e-07,3.1044388e-07,2.0896089e-06,2.874454e-07,0.0,1.6415748e-05,2.4880487e-08
AL139241.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PYROXD2,4.188045e-06,1.7293676e-05,3.8671546e-06,1.8184401e-06,3.045111e-06,6.1765036e-06,1.0849695e-05,0.0,6.6016255e-06,4.9808446e-06
HPS1,5.262525e-05,5.6968183e-05,7.830455e-05,5.485867e-05,8.8833556e-05,3.683801e-05,6.684752e-05,4.6611105e-05,3.8613387e-05,7.310604e-05
HPSE2,2.1795063e-07,5.8339454e-05,0.0,1.4678342e-07,1.3184281e-07,1.1933175e-06,5.205921e-07,0.0,0.0,1.2891576e-07
CNNM1,4.050764e-06,8.801581e-06,1.9007769e-06,2.6283292e-06,4.2439706e-06,2.5097324e-06,1.8590197e-06,6.078904e-06,4.759966e-06,1.1668667e-06
GOT1,1.4398771e-05,2.334298e-05,2.4631729e-05,2.0952748e-05,1.8586094e-05,3.315046e-05,1.759697e-05,1.4770498e-05,2.2003838e-05,0.00011854061
AL391684.1,6.7367677e-07,4.0975347e-06,7.092234e-07,1.474977e-06,8.8216507e-07,2.5226361e-06,0.0,0.0,3.174455e-06,1.032824e-06
LINC01475,0.0,5.3440704e-06,0.0,5.418838e-08,0.0,9.4550256e-07,0.0,0.0,0.0,0.0
