,B Cell,Epithelium,Myeloid,Stroma,T Cell,Neutrophil,rho_Spearman,rho_Pearson
CID003352-2,0.08132750137436354,0.11162772359589687,0.12496228328361361,0.5216755340569179,0.15907993508029755,0.0013270226089105257,0.7690048381108974,0.7060094695159491
CID003353-1,0.004750975556241477,0.6215266271182186,0.0013874205432536715,0.1381870254579155,0.2306082601019657,0.0035396912224050308,0.9181805118411355,0.8147789589174506
CID003354-1,0.004548260626887861,0.44305014096995,0.0005736000322109682,0.3705112545016884,0.1798807616691597,0.0014359822001030443,0.8854497520557404,0.7720672484496306
CID003355-1,0.4183764284110232,0.3162293999821714,0.0016522339054928122,0.03169877340395345,0.22976506393688317,0.002278100360476055,0.7069410066830552,0.5587661951779752
CID003356-1,0.05532865589284481,0.21570082441046667,0.002647689014041868,0.37041710377362724,0.35584840481834845,5.73220906709466e-05,0.839584923725853,0.7298248090247255
CID003357-1,0.18093644951992563,0.3412258518139271,0.002925464976912236,0.2004932464352865,0.26989306591805945,0.004525921335889079,0.6572133994518026,0.45933077412500967
CID003358-1,0.00024346325184202716,0.5396446577342421,0.0028916479055513585,0.2567951443980684,0.19925164242712876,0.0011734442831673813,0.8784138997373001,0.7501046019575401
CID003359-1,0.002559930259561257,0.3286241944337457,0.0007816625594461256,0.41796996916609647,0.24301519295008417,0.007049050631066262,0.859193619943634,0.7498521819504119
CID003360-1,0.35567574000877106,0.07908422831912232,0.034450391289154336,0.3633706758258208,0.1629781406587439,0.004440823898387595,0.7452890375632881,0.5889686611271983
CID003361-1,0.25393051588604965,0.30382329669059505,0.026000124822144983,0.2950838717679173,0.11449587103100743,0.006666319802285741,0.809791874641073,0.6366267292640949
CID003362-1,0.09224961166612898,0.3899458596940281,0.00033103872615237106,0.41593846565157283,0.10108027713718758,0.00045474712493013555,0.8994272762228563,0.73292058737654
CID003363-1,0.3101026475290325,0.35864637116777154,0.0009070688439687442,0.21382199587160397,0.11595625371339026,0.0005656628742330876,0.7673284358367232,0.6664094262484989
CID003364-1,0.22418466006172696,0.19793072880384455,0.00015273417957876315,0.3057842284789848,0.2682014266144822,0.0037462218613827838,0.7581769979560035,0.6720163435961292
CID003365-1,0.08088928899831753,0.42729595234480366,0.005938608266735002,0.30817229220824205,0.17706779958607483,0.0006360585958269779,0.8362434986744379,0.7449296255758678
CID003366-1,0.07798275208582152,0.0007452828200877762,0.20947570192118756,0.4279291284954325,0.27029158704022604,0.0135755476372446,0.7305881130866848,0.6589504014410661
CID003367-2,0.2658600457829957,0.0059152876374161814,0.05799765444293406,0.34276642804225677,0.3253392698713643,0.002121314223032969,0.8366547862064573,0.6516142175824694
CID003368-1,0.30018657469003385,0.204875695956267,0.02193719056427898,0.1922193845340951,0.27971521105150937,0.00106594320381576,0.8221257563798999,0.6961464248626745
CID003369-1,0.14818240290441378,0.3823119532893803,0.03063676550624096,0.30620893070070365,0.13242485588940625,0.00023509170985501748,0.6733221339058588,0.4212692989719504
CID003370-1,0.32839467340318046,0.22711157263406775,0.005353710231763,0.14398322836827984,0.2947690773099222,0.000387738052786753,0.8459726123234257,0.711399801017153
CID003371-2,0.2854583333223213,0.13745006755559955,0.011325580670684463,0.2870903841369538,0.2755165957807468,0.003159038533694097,0.8266336074320507,0.6594458939132735
CID003372-1,0.13778885693147208,0.140218469223003,0.11125281253910023,0.24182085726835426,0.3276715353880671,0.041247468650003345,0.8542156650925441,0.6529745583389918
CID003373-1,0.05478081981705512,0.4397449481657297,0.0002568095900613837,0.2736433414456981,0.23063507159171745,0.000939009389738302,0.6852868674123258,0.49598569343919363
CID003374-1,0.027353164480772494,0.7020214543395612,0.003967672042972982,0.23176566202327228,0.032237164884020494,0.0026548822294005497,0.9304331642457715,0.7937551930639825
CID003375-1,0.0003261971387528752,0.5304533105101285,0.0033178509965465716,0.4630440044089595,0.002269198661220062,0.0005894382843925192,0.9368427967286765,0.7881654931275857
CID003376-1,0.000281047032591491,0.4915225194232919,0.00038293891388490556,0.5071213474736145,0.00023630764170020502,0.0004558395149170696,0.8854127456337402,0.6965682050661759
CID003377-1,0.003605328007712127,0.2288140704677326,0.2359570097828126,0.16406421254756223,0.1089996341849137,0.25855974500926676,0.6909369630749921,0.44330267466703344
CID003378-1,0.02888888510529853,0.6366667019536926,0.016659976580389712,0.17110042264915026,0.14601959849379592,0.0006644152176730179,0.9198513930307501,0.75981957278381
CID003379-1,0.0017979707526408447,0.7536861901198264,0.0007158568981309208,0.14280869255095205,0.1008438371357635,0.0001474525426862298,0.9178278359322886,0.7870877064524874
CID003380-1,0.04166645990859557,0.4674444749895351,0.09161298262101737,0.18589835055784507,0.21219400827674853,0.0011837236462582128,0.8608921193831981,0.6575400587662904
CID003381-1,0.012947611342173806,0.3214335206085007,0.055506200320853946,0.25311508148756334,0.3515259545439175,0.005471631696990683,0.6383450239326588,0.47654900639866715
CID003382-1,0.019887885942468844,0.43101065700179153,0.051259595408998576,0.19805911114607191,0.29896020822072755,0.0008225422799415846,0.6589581689029202,0.4279518893705151
CID003383-1,0.09007675833620195,0.33222092899430145,0.0027263870321100033,0.3698453445590223,0.2043635088459599,0.0007670722324044064,0.8443304393580637,0.694406707824943
CID003384-1,5.7415259829372067e-05,0.46774334350527047,0.0005691035319012601,0.3793723650375239,0.15098020044110697,0.001277572224368014,0.9213587763898479,0.7900303247559399
CID003385-1,0.003688018197106182,0.5256112599963457,0.0010951429474938023,0.4583305106928461,0.009981104187082415,0.0012939639791258559,0.9095013914171532,0.7547809688423212
CID003386-1,0.006374109864114495,0.0001378408627427332,0.22500751797769447,0.2667846963559231,0.19990858860292557,0.30178724633659965,0.5359665255594375,0.5293691619742843
CID003665-1,0.15692239942556033,0.5194241385057414,0.01233751854411916,0.10923773847810785,0.20031190264777712,0.0017663023986941055,0.7563815990356718,0.6298654499505137
